label,entry_mode,config_path,config_hash,git_commit,data_start,data_end,data_file,data_file_hash,run_timestamp,data_coverage_status,initial_balance,final_balance,total_return_pct,total_trades,win_rate_pct,gross_profit,gross_loss,net_profit,profit_factor,average_trade,median_trade,geometric_mean_trade_return_pct,longest_losing_streak,total_fee,total_slippage_cost,gross_profit_before_cost,gross_loss_before_cost,max_drawdown_pct,annualized_return_pct,calmar,avg_win,avg_loss,payoff_ratio,top_5_profit_contribution,top_10_profit_contribution,avg_mae_atr,avg_mfe_atr,longest_drawdown_duration_bars,top_1_profit_contribution,top_3_profit_contribution,avg_effective_leverage,max_effective_leverage,median_effective_leverage,longest_drawdown_duration
B1,strong_breakout,/Users/muce/PycharmProjects/20260621/eth/configs/stage2_b1_frozen.json,2485d37826627208760ecfdd54cac391f2f7c0ac8f794df2360f3a863b552f0d,66dea51e969a477e48306587f786d39267c85583,2024-01-01 00:00:00+00:00,2026-06-24 12:05:00+00:00,/Users/muce/PycharmProjects/20260621/eth/backtest_results/stage2/data_audit/merged_ethusdt_1m.csv,fa3d0dd15bf29373981dda90d218532084e3d7562f0ef58c533aa527564ddcd1,2026-06-24T14:47:58.171220+00:00,below_original_minimum,1000.0,857.6083824665085,-14.23916175334915,324,30.864197530864196,6438.253183389279,-6580.6448009227715,-142.39161753349265,0.9783620569349791,-0.4394803010292983,-18.960180711074983,-0.21875530256991738,15,784.1961313388254,0.0,6679.692452732417,-6037.887938927086,-55.31041741399638,-6.01121465410327,-0.1086814190735455,64.38253183389278,-29.37787857554809,2.191531007534353,0.0,0.0,-2.0315307968176652,4.960872935036839,631017,0.0,0.0,2.0,2.0000000000000004,2.0,631017
B2,pullback_engulfing,/Users/muce/PycharmProjects/20260621/eth/configs/stage2_b2_frozen.json,bbffe1e16b31462558136968d192dd6099dbc4ec10d72e55d3df1da64a98303a,66dea51e969a477e48306587f786d39267c85583,2024-01-01 00:00:00+00:00,2026-06-24 12:05:00+00:00,/Users/muce/PycharmProjects/20260621/eth/backtest_results/stage2/data_audit/merged_ethusdt_1m.csv,fa3d0dd15bf29373981dda90d218532084e3d7562f0ef58c533aa527564ddcd1,2026-06-24T14:48:23.427326+00:00,below_original_minimum,1000.0,1415.9964741634892,41.599647416348915,195,29.743589743589745,4464.93432774634,-4048.9378535828514,415.99647416348853,1.1027421237881878,2.133315252120454,-18.781254253067427,0.019378054675844858,12,510.44766178434605,0.0,4620.335460149232,-3693.8913242013964,-39.2484828094146,15.071389491151699,0.3839992889492406,76.98162634045414,-29.554290902064608,2.6047529475686506,316.94436201938504,485.2135364397932,-1.873507279639984,4.7795218897232745,635956,94.31979461027535,232.83286658945883,2.0,2.0000000000000004,2.0,635956
B3,bullish_hikkake,/Users/muce/PycharmProjects/20260621/eth/configs/stage2_b3_frozen.json,c44fc4b6e908c55c5ca3c22d9f4230c3afeb40a780cee0ec1d6a8bf61e0d8dec,66dea51e969a477e48306587f786d39267c85583,2024-01-01 00:00:00+00:00,2026-06-24 12:05:00+00:00,/Users/muce/PycharmProjects/20260621/eth/backtest_results/stage2/data_audit/merged_ethusdt_1m.csv,fa3d0dd15bf29373981dda90d218532084e3d7562f0ef58c533aa527564ddcd1,2026-06-24T14:48:49.806181+00:00,below_original_minimum,1000.0,2040.0613560454558,104.00613560454559,84,36.904761904761905,2820.716213563642,-1780.654857518186,1040.061356045456,1.5840892476462605,12.381682810064953,-14.875832050518515,0.8982614686481982,9,229.06564376145528,0.0,2908.0859356324904,-1638.9589358255794,-24.68845705024463,33.34270781011372,1.3505383403367988,90.99084559882716,-33.597261462607285,2.708281616943606,126.05173093883492,189.09433001812206,-1.6938526268559368,5.529811976545604,305513,49.126207775485405,94.94822663805684,2.0,2.0000000000000004,2.0,305513
