symbol,prototype,trade_id,entry_time,base_leverage,final_leverage,atr_pct,atr_pct_rank,equity_drawdown_before_entry,recent_3_loss_count,reason
ETHUSDT,P4_BREAKOUT_TOP20,1,2024-01-01 15:31:00+00:00,3.0,8.0,0.0025616991033591253,0.07042253521126761,0.0,0,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,2,2024-01-08 17:46:00+00:00,3.0,8.0,0.005047718137846859,0.5524256651017214,0.0,0,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,3,2024-01-10 09:16:00+00:00,3.0,3.0,0.005423716187133723,0.6306729264475743,0.0,0,default_3x
ETHUSDT,P4_BREAKOUT_TOP20,4,2024-01-10 23:01:00+00:00,3.0,2.0,0.014366337774023895,0.9929577464788732,0.053115164282471206,1,atr_pct_rank_gt_80pct
ETHUSDT,P4_BREAKOUT_TOP20,5,2024-01-12 11:16:00+00:00,3.0,3.0,0.005421495944212066,0.6283255086071987,0.030633178181434295,1,default_3x
ETHUSDT,P4_BREAKOUT_TOP20,6,2024-01-16 15:16:00+00:00,3.0,3.0,0.005865841310212491,0.702660406885759,0.03750451800719368,2,default_3x
ETHUSDT,P4_BREAKOUT_TOP20,7,2024-01-28 01:16:00+00:00,3.0,8.0,0.0024241094671209446,0.05555555555555555,0.0,1,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,8,2024-02-06 16:16:00+00:00,3.0,8.0,0.004404852757689208,0.3951486697965571,0.006662168909206567,2,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,9,2024-02-08 15:16:00+00:00,3.0,8.0,0.004072250525573672,0.32316118935837246,0.0,1,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,10,2024-02-09 08:46:00+00:00,3.0,3.0,0.0024650244713270075,0.06025039123630673,0.06435964442268083,2,default_3x
ETHUSDT,P4_BREAKOUT_TOP20,11,2024-02-11 03:46:00+00:00,3.0,8.0,0.0027305406950857763,0.08685446009389672,0.034329256592070645,1,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,12,2024-02-12 15:31:00+00:00,3.0,3.0,0.003994350766741664,0.30985915492957744,0.05053538548364889,2,default_3x
