symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
ETHUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,179,118.17373359821069,,-0.11308899398343275,4.464114854836432,0.5642458100558659,1507.7962541454647,-437.3549752625807,3.447534244329126,0,0.0,1000.0,119173.73359821069,0.10791127400970757,0.24010044231781913,0.3537754529116609,66 days 10:30:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,179,985.5534739025991,,-0.16605248199998568,4.216677777429399,0.5642458100558659,12791.505906975844,-3928.059265409759,3.256444224153397,0,0.0,1000.0,986553.4739025991,0.13088876719175332,0.31488700128395514,0.4421791711342135,73 days 09:45:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_5x,179,44657.24659228462,,-0.26515763467603237,3.9589601756609354,0.5642458100558659,591578.7722508586,-193489.86416733472,3.057414789124287,0,0.0,1000.0,44658246.59228462,0.1558428469980171,0.4190555797463603,0.5722847274019142,73 days 09:45:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_8x,179,5965027.860836803,,-0.3977464628335763,3.8229134527915036,0.5642458100558659,79981216.50207877,-27090705.203501943,2.952349003145913,0,0.0,1000.0,5965028860.836803,0.22802212103635922,0.5086770517935779,0.7216039624841136,73 days 09:45:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_10x,179,99652086.27228674,,-0.47616629480446604,3.7769537896834624,0.5642458100558659,1341955269.5084898,-460069178.82142025,2.9168554019337627,0,0.0,1000.0,99652087272.28674,0.26965574047630175,0.5456509496008115,0.78960185159273,73 days 09:45:00
ETHUSDT,P4_BREAKOUT_TOP20,adaptive_3x_8x_v1,179,3654.3577488685382,,-0.20326418799500068,2.907239464202721,0.5642458100558659,55152.5082246918,-24564.68694647863,2.2451948337407153,0,0.0,1000.0,3655357.748868538,0.15166578501708747,0.41524152230180217,0.6419259390981874,85 days 14:30:00
ETHUSDT,P4_BREAKOUT_TOP20,adaptive_4x_10x_v1,179,14573.285907786658,,-0.2231880166192053,2.7817721652858305,0.5642458100558659,225271.10976376772,-104860.20741479336,2.1482992959633145,0,0.0,1000.0,14574285.907786658,0.17797340137018988,0.5131306999506343,0.7124157864442113,85 days 14:30:00
ETHUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1,179,16296.874857069448,,-0.23480683780760692,2.5618088403674397,0.5642458100558659,264668.2221389937,-133777.1228072937,1.9784266291946566,0,0.0,1000.0,16297874.857069448,0.23727542753561504,0.5601355207932219,0.7304580072498664,91 days 02:20:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,198,104.73843248612908,,-0.11308899398343275,3.383068808743982,0.5303030303030303,1416.0905336706714,-472.5921887020583,2.996432373458956,0,0.0,1000.0,105738.43248612908,0.10802742625479449,0.24125153207806319,0.36417118888209254,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x,198,808.2772221512487,,-0.16605248199998557,3.2258935974388185,0.5303030303030303,11156.209969072408,-3904.5680064661756,2.8572200434458104,0,0.0,1000.0,809277.2221512487,0.130917865783233,0.314957005520447,0.4621619001985114,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_5x,198,30295.058024569862,,-0.2651576346760325,3.045692884060327,0.5303030303030303,429564.28283599275,-159238.6201420363,2.697613697310575,0,0.0,1000.0,30296058.02456986,0.15584450137333408,0.4190600282996365,0.5849553879264026,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,198,2824691.7168970034,,-0.41153186628990834,2.9297817551941794,0.5303030303030303,40842172.13602422,-15739100.617048822,2.594949554600559,0,0.0,1000.0,2824692716.897003,0.22802216353445917,0.5086771465993276,0.7216040969745621,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,198,35463874.95945623,,-0.5022860239619682,2.886056395116442,0.5303030303030303,516829181.05819637,-202184828.5124128,2.556221378531706,0,0.0,1000.0,35463875959.45623,0.26965574537400366,0.5456509595113578,0.7896018659341063,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1,198,1375.4561280397752,,-0.2032641879950009,2.461191569736929,0.5303030303030303,22064.58200010903,-10121.773999695408,2.1799125331955658,0,0.0,1000.0,1376456.1280397752,0.17340700409164875,0.42983689182514534,0.6255214459943339,106 days 04:00:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_4x_10x_v1,198,4584.3198840738005,,-0.24059742593447564,2.350798670324518,0.5303030303030303,75981.94858858256,-36492.30879276741,2.0821359651445728,0,0.0,1000.0,4585319.8840738,0.2031703184723059,0.5002363344346347,0.6879080856507561,91 days 02:20:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1,198,8443.599585481425,,-0.23480683780760703,2.317963748925115,0.5303030303030303,141429.98831881143,-68887.62567735242,2.053053606190816,0,0.0,1000.0,8444599.585481424,0.24744768924431132,0.5703262074630236,0.7479506085136384,106 days 15:30:00
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,185,29.07603814288347,,-0.15458232924045479,2.9319682597818946,0.5567567567567567,428.40771434518336,-183.5360540813463,2.3341883233215084,0,0.0,1000.0,30076.03814288347,0.05565303931603052,0.16296323774429147,0.2634124816071154,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,185,141.21465430156314,,-0.2239124179000057,2.715546581896105,0.5567567567567567,2170.187634629959,-1003.8374642112522,2.1618914535483555,0,0.0,1000.0,142214.65430156313,0.06987571196190913,0.20296200620611246,0.3265014241533035,96 days 06:22:00
