symbol,event_time,known_funding_rate,next_realized,forward_1,spot_close_at_event,funding_period_start,funding_rate_known_at_entry,realized_funding_rate
ETHUSDT,2024-12-01 00:00:00+00:00,0.00011863,0.00013737,1.874e-05,3706.13,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.00013737
ETHUSDT,2024-12-01 08:00:00+00:00,0.00013737,0.00015064,1.3270000000000014e-05,3705.28,2024-12-01 08:00:00+00:00,2024-12-01 08:00:00+00:00,0.00015064
ETHUSDT,2024-12-01 16:00:00+00:00,0.00015064,0.00036131,0.00021067,3728.12,2024-12-01 16:00:00+00:00,2024-12-01 16:00:00+00:00,0.00036131
ETHUSDT,2024-12-02 00:00:00.001000+00:00,0.00036131,0.0002931,-6.820999999999997e-05,3716.53,2024-12-02 00:00:00.001000+00:00,2024-12-02 00:00:00.001000+00:00,0.0002931
ETHUSDT,2024-12-02 08:00:00.001000+00:00,0.0002931,0.00028383,-9.270000000000025e-06,3665.81,2024-12-02 08:00:00.001000+00:00,2024-12-02 08:00:00.001000+00:00,0.00028383
ETHUSDT,2024-12-02 16:00:00+00:00,0.00028383,0.00026464,-1.9189999999999984e-05,3673.2,2024-12-02 16:00:00+00:00,2024-12-02 16:00:00+00:00,0.00026464
ETHUSDT,2024-12-03 00:00:00+00:00,0.00026464,0.00034689,8.224999999999997e-05,3644.8,2024-12-03 00:00:00+00:00,2024-12-03 00:00:00+00:00,0.00034689
ETHUSDT,2024-12-03 08:00:00+00:00,0.00034689,0.00014297,-0.00020391999999999999,3620.4,2024-12-03 08:00:00+00:00,2024-12-03 08:00:00+00:00,0.00014297
ETHUSDT,2024-12-03 16:00:00+00:00,0.00014297,0.00018732,4.4349999999999994e-05,3574.56,2024-12-03 16:00:00+00:00,2024-12-03 16:00:00+00:00,0.00018732
ETHUSDT,2024-12-04 00:00:00+00:00,0.00018732,0.00015899,-2.8329999999999995e-05,3621.87,2024-12-04 00:00:00+00:00,2024-12-04 00:00:00+00:00,0.00015899
ETHUSDT,2024-12-04 08:00:00+00:00,0.00015899,0.00019842,3.9429999999999993e-05,3722.78,2024-12-04 08:00:00+00:00,2024-12-04 08:00:00+00:00,0.00019842
ETHUSDT,2024-12-04 16:00:00+00:00,0.00019842,0.00023652,3.8100000000000005e-05,3828.92,2024-12-04 16:00:00+00:00,2024-12-04 16:00:00+00:00,0.00023652
ETHUSDT,2024-12-05 00:00:00.001000+00:00,0.00023652,0.00049482,0.0002583,3836.22,2024-12-05 00:00:00.001000+00:00,2024-12-05 00:00:00.001000+00:00,0.00049482
ETHUSDT,2024-12-05 08:00:00+00:00,0.00049482,0.00031177,-0.00018304999999999998,3856.58,2024-12-05 08:00:00+00:00,2024-12-05 08:00:00+00:00,0.00031177
ETHUSDT,2024-12-05 16:00:00+00:00,0.00031177,0.00014294,-0.00016883,3896.33,2024-12-05 16:00:00+00:00,2024-12-05 16:00:00+00:00,0.00014294
ETHUSDT,2024-12-06 00:00:00+00:00,0.00014294,0.0002554,0.00011245999999999996,3789.84,2024-12-06 00:00:00+00:00,2024-12-06 00:00:00+00:00,0.0002554
ETHUSDT,2024-12-06 08:00:00+00:00,0.0002554,0.0002635,8.100000000000034e-06,3901.55,2024-12-06 08:00:00+00:00,2024-12-06 08:00:00+00:00,0.0002635
ETHUSDT,2024-12-06 16:00:00+00:00,0.0002635,0.0003059,4.24e-05,4000.55,2024-12-06 16:00:00+00:00,2024-12-06 16:00:00+00:00,0.0003059
ETHUSDT,2024-12-07 00:00:00+00:00,0.0003059,0.00024299,-6.291e-05,4003.64,2024-12-07 00:00:00+00:00,2024-12-07 00:00:00+00:00,0.00024299
ETHUSDT,2024-12-07 08:00:00+00:00,0.00024299,0.00023099,-1.1999999999999994e-05,3990.23,2024-12-07 08:00:00+00:00,2024-12-07 08:00:00+00:00,0.00023099
ETHUSDT,2024-12-07 16:00:00+00:00,0.00023099,0.00020864,-2.235e-05,4007.58,2024-12-07 16:00:00+00:00,2024-12-07 16:00:00+00:00,0.00020864
ETHUSDT,2024-12-08 00:00:00+00:00,0.00020864,0.00023941,3.0770000000000005e-05,4002.3,2024-12-08 00:00:00+00:00,2024-12-08 00:00:00+00:00,0.00023941
ETHUSDT,2024-12-08 08:00:00+00:00,0.00023941,0.00018574,-5.367000000000002e-05,3984.13,2024-12-08 08:00:00+00:00,2024-12-08 08:00:00+00:00,0.00018574
ETHUSDT,2024-12-08 16:00:00+00:00,0.00018574,0.00020272,1.6980000000000017e-05,3995.33,2024-12-08 16:00:00+00:00,2024-12-08 16:00:00+00:00,0.00020272
ETHUSDT,2024-12-09 00:00:00+00:00,0.00020272,0.0001,-0.00010272,4006.98,2024-12-09 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.0001
ETHUSDT,2024-12-09 08:00:00+00:00,0.0001,0.00013421,3.421e-05,3918.71,2024-12-09 08:00:00+00:00,2024-12-09 08:00:00+00:00,0.00013421
ETHUSDT,2024-12-09 16:00:00.001000+00:00,0.00013421,0.0001,-3.421e-05,3827.75,2024-12-09 16:00:00.001000+00:00,2024-12-09 16:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-10 00:00:00.007000+00:00,0.0001,0.0001,0.0,3711.16,2024-12-10 00:00:00.007000+00:00,2024-12-10 00:00:00.007000+00:00,0.0001
ETHUSDT,2024-12-10 08:00:00+00:00,0.0001,0.0001,0.0,3732.62,2024-12-10 08:00:00+00:00,2024-12-10 08:00:00+00:00,0.0001
ETHUSDT,2024-12-10 16:00:00+00:00,0.0001,0.0001,0.0,3560.7,2024-12-10 16:00:00+00:00,2024-12-10 16:00:00+00:00,0.0001
ETHUSDT,2024-12-11 00:00:00+00:00,0.0001,0.0001,0.0,3631.09,2024-12-11 00:00:00+00:00,2024-12-11 00:00:00+00:00,0.0001
ETHUSDT,2024-12-11 08:00:00+00:00,0.0001,0.0001,0.0,3654.2,2024-12-11 08:00:00+00:00,2024-12-11 08:00:00+00:00,0.0001
ETHUSDT,2024-12-11 16:00:00.001000+00:00,0.0001,0.0001,0.0,3789.24,2024-12-11 16:00:00.001000+00:00,2024-12-11 16:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-12 00:00:00.001000+00:00,0.0001,0.0001,0.0,3829.99,2024-12-12 00:00:00.001000+00:00,2024-12-12 00:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-12 08:00:00+00:00,0.0001,0.0001,0.0,3907.44,2024-12-12 08:00:00+00:00,2024-12-12 08:00:00+00:00,0.0001
ETHUSDT,2024-12-12 16:00:00.001000+00:00,0.0001,0.0001,0.0,3961.42,2024-12-12 16:00:00.001000+00:00,2024-12-12 16:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-13 00:00:00+00:00,0.0001,0.0001,0.0,3878.89,2024-12-13 00:00:00+00:00,2024-12-13 00:00:00+00:00,0.0001
ETHUSDT,2024-12-13 08:00:00+00:00,0.0001,0.0001,0.0,3886.69,2024-12-13 08:00:00+00:00,2024-12-13 08:00:00+00:00,0.0001
ETHUSDT,2024-12-13 16:00:00.001000+00:00,0.0001,0.0001,0.0,3899.82,2024-12-13 16:00:00.001000+00:00,2024-12-13 16:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-14 00:00:00+00:00,0.0001,0.0001,0.0,3907.99,2024-12-14 00:00:00+00:00,2024-12-14 00:00:00+00:00,0.0001
ETHUSDT,2024-12-14 08:00:00+00:00,0.0001,0.0001,0.0,3922.68,2024-12-14 08:00:00+00:00,2024-12-14 08:00:00+00:00,0.0001
ETHUSDT,2024-12-14 16:00:00+00:00,0.0001,0.0001,0.0,3886.4,2024-12-14 16:00:00+00:00,2024-12-14 16:00:00+00:00,0.0001
ETHUSDT,2024-12-15 00:00:00+00:00,0.0001,0.0001,0.0,3864.28,2024-12-15 00:00:00+00:00,2024-12-15 00:00:00+00:00,0.0001
ETHUSDT,2024-12-15 08:00:00+00:00,0.0001,9.404e-05,-5.960000000000004e-06,3843.54,2024-12-15 08:00:00+00:00,2024-12-15 08:00:00+00:00,9.404e-05
ETHUSDT,2024-12-15 16:00:00+00:00,9.404e-05,8.662e-05,-7.420000000000007e-06,3894.95,2024-12-15 16:00:00+00:00,2024-12-15 16:00:00+00:00,8.662e-05
ETHUSDT,2024-12-16 00:00:00+00:00,8.662e-05,0.0001,1.338000000000001e-05,3957.04,2024-12-16 00:00:00+00:00,2024-12-16 00:00:00+00:00,0.0001
ETHUSDT,2024-12-16 08:00:00.001000+00:00,0.0001,0.0001,0.0,3973.45,2024-12-16 08:00:00.001000+00:00,2024-12-16 08:00:00.001000+00:00,0.0001
ETHUSDT,2024-12-16 16:00:00+00:00,0.0001,0.0001,0.0,3940.91,2024-12-16 16:00:00+00:00,2024-12-16 16:00:00+00:00,0.0001
ETHUSDT,2024-12-17 00:00:00+00:00,0.0001,0.0001,0.0,3987.99,2024-12-17 00:00:00+00:00,2024-12-17 00:00:00+00:00,0.0001
ETHUSDT,2024-12-17 08:00:00+00:00,0.0001,0.0001,0.0,3994.51,2024-12-17 08:00:00+00:00,2024-12-17 08:00:00+00:00,0.0001
ETHUSDT,2024-12-17 16:00:00+00:00,0.0001,8.046e-05,-1.9540000000000006e-05,3927.04,2024-12-17 16:00:00+00:00,2024-12-17 16:00:00+00:00,8.046e-05
ETHUSDT,2024-12-18 00:00:00+00:00,8.046e-05,0.0001,1.9540000000000006e-05,3891.99,2024-12-18 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.0001
ETHUSDT,2024-12-18 08:00:00+00:00,0.0001,0.0001,0.0,3848.4,2024-12-18 08:00:00+00:00,2024-12-18 08:00:00+00:00,0.0001
ETHUSDT,2024-12-18 16:00:00+00:00,0.0001,6.104e-05,-3.8960000000000006e-05,3864.97,2024-12-18 16:00:00+00:00,2024-12-18 16:00:00+00:00,6.104e-05
