scenario,gate_type,episode_count,valid_execution_count,skipped_execution_count,mean_hold_periods,gross_funding_income,gross_two_leg_pnl,gross_carry_pnl,total_fees,total_slippage,total_borrow_cost,total_cost,net_pnl,mean_net_return,median_net_return,positive_episode_rate,profit_factor,fee_to_gross_carry_ratio,cost_to_gross_carry_ratio
base_cost,legacy_0.5bp + explicit,680,680,0,2.8808823529411764,1329.6989,0.0,1329.6988999999999,5440.0,1360.0,0.0,6800.0,-5470.301100000001,-0.0008044560441176471,-9.111949999999998,0.01764705882352941,0.012031279571396155,4.091151763756442,5.113939704695552
high_cost,legacy_0.5bp + explicit,680,680,0,2.8808823529411764,1329.6989,0.0,1329.6988999999999,10880.0,4079.999999999999,0.0,15613.0,-14283.3011,-0.002100485455882353,-21.818733333333334,0.0,0.0,8.182303527512884,11.741755971972303
stress_cost,legacy_0.5bp + explicit,680,680,0,2.8808823529411764,1329.6989,0.0,1329.6988999999999,20400.0,8159.999999999998,0.0,32505.0,-31175.301099999997,-0.004584603102941177,-45.61403333333333,0.0,0.0,15.341819114086658,24.445383838401312
