symbol,n_events,mean_known,mean_realized,mean_forward_delta,pos_realized,pos_delta,mean_realized_bp,est_cost_coverage
BTCUSDT,1365,4.927388278388278e-05,4.919343108504399e-05,-1.4813782991202347e-07,0.8593406593406593,0.43736263736263736,0.4919343108504399,0.09838686217008798
ETHUSDT,1365,4.56532673992674e-05,4.559976539589443e-05,-1.3965542521994134e-07,0.8227106227106227,0.4249084249084249,0.4559976539589443,0.09119953079178886
SOLUSDT,1365,3.7106813186813195e-06,3.628541055718476e-06,-2.484604105571849e-07,0.5934065934065934,0.463003663003663,0.03628541055718476,0.0072570821114369514
