event_id,symbol,side,signal_time,execution_time,p4_exit_context,bars_since_p4_exit,trend_strength_bucket,volatility_regime,fwd_ret_16,fwd_mae_16,fwd_mfe_16,reversion_hit,continuation_breakout,case_type
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-12-15T16:00:00+00:00,SOLUSDT,long,2021-12-15 16:00:00+00:00,2021-12-15 16:00:00+00:00,after_p4_exit_5_16_bars,12.0,0.5_1.0,high_vol,0.1112450818631805,-0.005584465033633856,0.12641198121589015,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-12-15T16:15:00+00:00,SOLUSDT,long,2021-12-15 16:15:00+00:00,2021-12-15 16:15:00+00:00,after_p4_exit_5_16_bars,13.0,0.5_1.0,high_vol,0.10889280765839526,-0.004471595918881577,0.12174077339715339,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2024-04-19T02:45:00+00:00,SOLUSDT,long,2024-04-19 02:45:00+00:00,2024-04-19 02:45:00+00:00,after_p4_exit_5_16_bars,9.0,0_0.5,high_vol,0.10669246423285617,-0.00946595954612739,0.10999167488899864,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-16T15:30:00+00:00,SOLUSDT,long,2021-01-16 15:30:00+00:00,2021-01-16 15:30:00+00:00,after_p4_exit_5_16_bars,14.0,0.5_1.0,mid_vol,0.10462117304366281,-0.0007585641897017714,0.11648511697059805,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-04T10:15:00+00:00,SOLUSDT,long,2021-01-04 10:15:00+00:00,2021-01-04 10:15:00+00:00,after_p4_exit_5_16_bars,11.0,1.0_1.5,high_vol,0.10309385923723058,-0.0513904106015548,0.12944122710909367,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-02-19T05:00:00+00:00,SOLUSDT,long,2021-02-19 05:00:00+00:00,2021-02-19 05:00:00+00:00,after_p4_exit_5_16_bars,13.0,1.5_2.5,high_vol,0.10086796881354365,-0.0004996339890543933,0.11167400625123447,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-05-16T19:15:00+00:00,SOLUSDT,long,2021-05-16 19:15:00+00:00,2021-05-16 19:15:00+00:00,after_p4_exit_5_16_bars,8.0,1.0_1.5,high_vol,0.10027485112230883,-0.041250572606504665,0.11683463124141102,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-02-19T04:45:00+00:00,SOLUSDT,long,2021-02-19 04:45:00+00:00,2021-02-19 04:45:00+00:00,after_p4_exit_5_16_bars,12.0,1.5_2.5,high_vol,0.0983606557377048,-0.003157943621418302,0.11078344866019574,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-05T06:15:00+00:00,SOLUSDT,long,2021-01-05 06:15:00+00:00,2021-01-05 06:15:00+00:00,after_p4_exit_5_16_bars,9.0,1.0_1.5,high_vol,0.09679139201240794,-0.0007754943776658862,0.11957153935633946,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-12-15T15:45:00+00:00,SOLUSDT,long,2021-12-15 15:45:00+00:00,2021-12-15 15:45:00+00:00,after_p4_exit_5_16_bars,11.0,0.5_1.0,mid_vol,0.0963204822303152,-0.016074343840261185,0.11452969986186123,True,True,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-05-16T19:30:00+00:00,SOLUSDT,long,2021-05-16 19:30:00+00:00,2021-05-16 19:30:00+00:00,after_p4_exit_5_16_bars,9.0,1.0_1.5,high_vol,0.09481671671901148,-0.04039338850553631,0.11783315375621828,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-01-05T06:00:00+00:00,SOLUSDT,long,2021-01-05 06:00:00+00:00,2021-01-05 06:00:00+00:00,after_p4_exit_5_16_bars,8.0,1.0_1.5,high_vol,0.09195237412135993,-0.018457418830392425,0.10452828384258583,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2021-05-16T19:00:00+00:00,SOLUSDT,long,2021-05-16 19:00:00+00:00,2021-05-16 19:00:00+00:00,after_p4_exit_5_16_bars,7.0,1.0_1.5,high_vol,0.09018251769070451,-0.041404264089587084,0.11665559804886994,True,False,sol_bnb_max_profit
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2020-09-08T12:15:00+00:00,BNBUSDT,long,2020-09-08 12:15:00+00:00,2020-09-08 12:15:00+00:00,after_p4_exit_5_16_bars,9.0,0.5_1.0,mid_vol,0.08765258215962435,-0.0023474178403756207,0.09511737089201877,True,True,sol_bnb_max_profit
