event_id,symbol,side,signal_time,execution_time,p4_exit_context,bars_since_p4_exit,trend_strength_bucket,volatility_regime,fwd_ret_16,fwd_mae_16,fwd_mfe_16,reversion_hit,continuation_breakout,case_type
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_short_2024-05-20T16:00:00+00:00,ETHUSDT,short,2024-05-20 16:00:00+00:00,2024-05-20 16:00:00+00:00,after_p4_exit_5_16_bars,13.0,0_0.5,high_vol,-0.10309083209280834,-0.09904295570888055,0.0025345118170005954,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_short_2024-05-20T16:30:00+00:00,ETHUSDT,short,2024-05-20 16:30:00+00:00,2024-05-20 16:30:00+00:00,after_p4_exit_5_16_bars,15.0,0_0.5,high_vol,-0.1006517920281067,-0.09868720835664557,0.002315579488199049,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_short_2024-05-20T15:45:00+00:00,ETHUSDT,short,2024-05-20 15:45:00+00:00,2024-05-20 15:45:00+00:00,after_p4_exit_5_16_bars,12.0,0_0.5,high_vol,-0.09186677840173885,-0.09881076388888888,0.002194556085066468,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2022-01-20T23:30:00+00:00,ETHUSDT,long,2022-01-20 23:30:00+00:00,2022-01-20 23:30:00+00:00,after_p4_exit_5_16_bars,12.0,0_0.5,high_vol,-0.06074848385483422,-0.06486219722638997,0.004216390597415742,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2022-01-20T21:45:00+00:00,ETHUSDT,long,2022-01-20 21:45:00+00:00,2022-01-20 21:45:00+00:00,after_p4_exit_5_16_bars,5.0,1.0_1.5,high_vol,-0.05852387991885355,-0.061496470648466195,0.0,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2022-01-20T22:00:00+00:00,ETHUSDT,long,2022-01-20 22:00:00+00:00,2022-01-20 22:00:00+00:00,after_p4_exit_5_16_bars,6.0,1.0_1.5,high_vol,-0.058465476136341454,-0.06111266297251461,0.008448261301701399,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2022-01-20T23:45:00+00:00,ETHUSDT,long,2022-01-20 23:45:00+00:00,2022-01-20 23:45:00+00:00,after_p4_exit_5_16_bars,13.0,0_0.5,high_vol,-0.05763224414711299,-0.07144558700917136,0.0031299215203610675,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2022-01-20T23:15:00+00:00,ETHUSDT,long,2022-01-20 23:15:00+00:00,2022-01-20 23:15:00+00:00,after_p4_exit_5_16_bars,11.0,0_0.5,high_vol,-0.05696747155731885,-0.06381539189153673,0.0,False,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2021-09-24T05:30:00+00:00,ETHUSDT,long,2021-09-24 05:30:00+00:00,2021-09-24 05:30:00+00:00,after_p4_exit_5_16_bars,14.0,1.5_2.5,low_vol,-0.05610590247066449,-0.0645740380394546,0.020880424029194655,True,False,btc_eth_max_loss
IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2022-01-20T23:45:00+00:00,BTCUSDT,long,2022-01-20 23:45:00+00:00,2022-01-20 23:45:00+00:00,after_p4_exit_5_16_bars,14.0,0_0.5,high_vol,-0.054700838387123474,-0.0652231950915898,0.005637780839865103,False,False,btc_eth_max_loss
