period,event_count,mean_fwd_ret_16,positive_symbol_count,dominant_symbol,volatility_regime_mix,trend_strength_mix,p4_proxy_return,s28_return_proxy,failure_reason
2020Q1,91,-0.00019383170718234832,2,BTCUSDT,high_vol:0.66;mid_vol:0.21;low_vol:0.13,0.5_1.0:0.30;1.5_2.5:0.26;0_0.5:0.26,0.19756670719751962,-0.00019383170718234832,high_vol_failure
2020Q2,171,0.0022212085440607493,3,BNBUSDT,high_vol:0.71;mid_vol:0.23;low_vol:0.06,0_0.5:0.32;1.5_2.5:0.26;0.5_1.0:0.25,0.05408899116622459,0.0022212085440607493,valid_positive_period
2020Q3,128,0.0035223409435,3,SOLUSDT,high_vol:0.52;mid_vol:0.31;low_vol:0.16,1.5_2.5:0.41;1.0_1.5:0.30;0.5_1.0:0.18,-0.020301963149813473,0.0035223409435,valid_positive_period
2020Q4,223,0.00330889738023497,3,BNBUSDT,high_vol:0.69;mid_vol:0.21;low_vol:0.11,1.5_2.5:0.33;0_0.5:0.24;0.5_1.0:0.22,0.3871626141934101,0.00330889738023497,valid_positive_period
2021Q1,199,0.010809124178211223,4,SOLUSDT,high_vol:0.64;mid_vol:0.26;low_vol:0.11,1.5_2.5:0.39;0.5_1.0:0.21;0_0.5:0.20,3.55305155049722,0.010809124178211223,valid_positive_period
2021Q2,208,0.00792848832182713,3,SOLUSDT,high_vol:0.56;low_vol:0.24;mid_vol:0.20,1.5_2.5:0.39;1.0_1.5:0.25;0_0.5:0.20,-0.23935598529661323,0.00792848832182713,valid_positive_period
2021Q3,247,-0.0030846890453988434,0,BTCUSDT,high_vol:0.64;mid_vol:0.23;low_vol:0.13,1.5_2.5:0.42;0.5_1.0:0.21;1.0_1.5:0.19,0.4953797809412165,-0.0030846890453988434,broad_symbol_failure
2021Q4,252,-0.001878589825336726,1,SOLUSDT,high_vol:0.55;mid_vol:0.27;low_vol:0.18,1.5_2.5:0.34;0_0.5:0.28;0.5_1.0:0.21,0.2379932380957271,-0.001878589825336726,single_symbol_drag
2022Q1,214,-0.007385081590976081,1,BNBUSDT,high_vol:0.79;mid_vol:0.16;low_vol:0.06,1.5_2.5:0.33;1.0_1.5:0.25;0_0.5:0.23,-0.063083763472178,-0.007385081590976081,single_symbol_drag
2022Q2,222,-0.0033956635255327247,2,SOLUSDT,high_vol:0.73;mid_vol:0.22;low_vol:0.05,0_0.5:0.39;0.5_1.0:0.24;1.5_2.5:0.24,-0.3322219192234312,-0.0033956635255327247,high_vol_failure
2022Q3,334,-0.001136050421197966,1,ETHUSDT,high_vol:0.66;mid_vol:0.26;low_vol:0.08,0_0.5:0.30;1.5_2.5:0.26;0.5_1.0:0.24,-0.151533231949537,-0.001136050421197966,single_symbol_drag
2022Q4,101,-0.002035066998951928,1,ETHUSDT,high_vol:0.60;mid_vol:0.25;low_vol:0.15,0.5_1.0:0.32;0_0.5:0.30;1.5_2.5:0.30,0.144120040048216,-0.002035066998951928,single_symbol_drag
2023Q1,120,0.006152009316114237,4,BNBUSDT,high_vol:0.54;mid_vol:0.23;low_vol:0.23,1.5_2.5:0.31;0.5_1.0:0.25;0_0.5:0.23,1.0430932568280804,0.006152009316114237,valid_positive_period
2023Q2,149,0.0028258031899441186,3,BNBUSDT,high_vol:0.69;mid_vol:0.23;low_vol:0.07,1.5_2.5:0.26;0_0.5:0.26;1.0_1.5:0.25,0.22439966202670902,0.0028258031899441186,valid_positive_period
2023Q3,172,-0.0014111798330170096,0,ETHUSDT,high_vol:0.72;mid_vol:0.19;low_vol:0.10,0_0.5:0.31;1.5_2.5:0.27;0.5_1.0:0.23,0.010519976839539508,-0.0014111798330170096,broad_symbol_failure
2023Q4,177,0.0030266070859982313,4,SOLUSDT,high_vol:0.46;low_vol:0.31;mid_vol:0.24,1.5_2.5:0.42;0_0.5:0.27;0.5_1.0:0.16,1.0542960059129907,0.0030266070859982313,valid_positive_period
2024Q1,167,0.00237083351064472,2,SOLUSDT,high_vol:0.63;mid_vol:0.21;low_vol:0.16,1.5_2.5:0.51;0_0.5:0.24;1.0_1.5:0.15,0.6277405645371461,0.00237083351064472,valid_positive_period
2024Q2,206,-0.006809402170387409,0,SOLUSDT,high_vol:0.70;mid_vol:0.21;low_vol:0.09,0_0.5:0.33;0.5_1.0:0.30;1.5_2.5:0.20,0.05027307378834249,-0.006809402170387409,broad_symbol_failure
2024Q3,277,0.0006549413242953512,2,BNBUSDT,high_vol:0.65;mid_vol:0.21;low_vol:0.14,1.5_2.5:0.43;0_0.5:0.24;0.5_1.0:0.19,0.0985936449528792,0.0006549413242953512,valid_positive_period
2024Q4,211,0.0010126298605116464,3,BNBUSDT,high_vol:0.52;low_vol:0.26;mid_vol:0.22,1.5_2.5:0.34;0_0.5:0.24;0.5_1.0:0.21,-0.08467420006116662,0.0010126298605116464,valid_positive_period
2025Q1,254,0.005466061630187677,3,SOLUSDT,high_vol:0.39;mid_vol:0.32;low_vol:0.29,1.5_2.5:0.28;0.5_1.0:0.27;0_0.5:0.26,0.2760258982183631,0.005466061630187677,valid_positive_period
2025Q2,264,0.004989139337057563,4,ETHUSDT,high_vol:0.80;mid_vol:0.13;low_vol:0.07,0_0.5:0.32;0.5_1.0:0.28;1.5_2.5:0.23,0.1820030129419024,0.004989139337057563,valid_positive_period
2025Q3,223,0.0029756803362606817,3,ETHUSDT,high_vol:0.60;mid_vol:0.27;low_vol:0.13,1.5_2.5:0.42;1.0_1.5:0.25;0.5_1.0:0.19,0.5771932530734515,0.0029756803362606817,valid_positive_period
2025Q4,272,-0.0006025061430762904,2,SOLUSDT,high_vol:0.79;mid_vol:0.11;low_vol:0.10,0.5_1.0:0.28;0_0.5:0.26;1.5_2.5:0.25,-0.5216352124621203,-0.0006025061430762904,high_vol_failure
2026Q1,197,0.0004335829917364936,1,ETHUSDT,high_vol:0.60;mid_vol:0.21;low_vol:0.18,1.5_2.5:0.42;0.5_1.0:0.23;1.0_1.5:0.22,-0.11858043846847639,0.0004335829917364936,single_symbol_drag
2026Q2,279,-0.0006968481193354971,1,BNBUSDT,high_vol:0.68;mid_vol:0.22;low_vol:0.10,1.5_2.5:0.35;0_0.5:0.26;0.5_1.0:0.20,-0.3483124406254899,-0.0006968481193354971,single_symbol_drag
