symbol,side,event_count,mean_reversion_rate_16,continuation_breakout_rate_16,mean_fwd_ret_when_reverted,mean_fwd_ret_when_continued,mae_when_continued,diagnosis
BNBUSDT,long,1346,0.4814264487369985,0.06835066864784546,0.008840907491616097,0.020111995239801148,-0.005006132941257682,mixed_state
BNBUSDT,short,87,0.6436781609195402,0.2988505747126437,0.0023470098195388744,0.003922440178571121,-0.006838213746133286,mixed_state
BTCUSDT,long,1248,0.40064102564102566,0.052884615384615384,0.006299489084439539,0.013947838176720974,-0.004744326214585788,mixed_state
BTCUSDT,short,71,0.5774647887323944,0.39436619718309857,0.009884674601987173,0.012073787595387905,-0.007125511103566439,mixed_state
ETHUSDT,long,1239,0.44390637610976597,0.04600484261501211,0.009403836359626098,0.024329498019770964,-0.005417135960571121,mixed_state
ETHUSDT,short,80,0.675,0.4125,0.008556666834746658,0.010892126619439838,-0.006668542466626189,mixed_state
SOLUSDT,long,1198,0.46410684474123537,0.09015025041736227,0.019646201197784735,0.048721045803928345,-0.00863004965154943,mixed_state
SOLUSDT,short,89,0.7303370786516854,0.48314606741573035,0.006746822500377194,0.005417172113212383,-0.016944271316609128,mixed_state
