symbol,side,event_count,mean_fwd_ret_16,remove_top3_mean_fwd_ret,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,failure_reason
BNBUSDT,long,1346,0.0010061249923478675,0.0008266748536894229,0.4888558692421991,0.4687964338781575,-0.012703856977550717,0.010708301280558915,positive_and_stable
BNBUSDT,short,87,-0.0015860756653432943,-0.0025916801391301474,0.4482758620689655,0.5172413793103449,-0.009076683358828788,0.008253475657466045,negative_mean
BTCUSDT,long,1248,-0.0009276882679094171,-0.0011430431937374855,0.43373493975903615,0.5116465863453815,-0.010320548225829326,0.007600651321767421,negative_mean
BTCUSDT,short,71,0.0014459422681233737,-0.001161841275473502,0.49295774647887325,0.4647887323943662,-0.010884844503904995,0.010892679587980715,positive_but_top_trade_dependent
ETHUSDT,long,1239,0.0003419164868786068,3.849336038136006e-05,0.45278450363196127,0.4858757062146893,-0.013066591385284097,0.011280901835037672,positive_and_stable
ETHUSDT,short,80,-0.0012036372939249723,-0.00266741163449604,0.525,0.4625,-0.013704319301266329,0.012207307682321578,negative_mean
SOLUSDT,long,1198,0.0037391754523497544,0.0032087272935371965,0.4769874476987448,0.4903765690376569,-0.018460082552714942,0.020661141362663716,positive_and_stable
SOLUSDT,short,89,0.001998326391141106,-0.0007111980266203797,0.5730337078651685,0.4044943820224719,-0.01920056046152571,0.0224163589420396,positive_but_top_trade_dependent
