p4_state_bucket,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
after_p4_exit_0_4_bars,1032,-0.00011907110129301434,-0.00047930772817598625,-0.0003849124952858488,0.0003175101813482271,0.000820863758341547,0.0004775716029152832,0.45155038759689925,0.5222868217054264,-0.010497470347056241,0.009481215350165604,0.03530369882337331,-6.506142968630014e-05
after_p4_exit_5_16_bars,1562,3.9298888795009096e-05,0.0004129371596918209,0.0011899250507595445,0.0019145152258236917,0.002876469957940667,0.000748814687863586,0.4723650385604113,0.4569408740359897,-0.008874491197486869,0.01034399996157156,0.025729888460722546,0.0015038467222923664
after_p4_exit_17_64_bars,5031,8.358142328361519e-05,9.680374117557299e-06,-5.414381615172206e-05,0.0003339662822159619,0.0009018336645335664,0.0008683559429891741,0.49075362895207797,0.48578246172201234,-0.009222839029653757,0.008586942110240034,0.005060754110015875,0.0002938729254959551
deep_idle,16442,-4.6497026183251116e-05,-0.00023940251215038763,-0.0003892054110754443,-0.00032591939827413165,0.00010125701981224653,0.00043423337352666014,0.47578191554095167,0.4975051722039674,-0.011612536527443519,0.010171299030606923,0.0016395028197026369,-0.00034992136400966724
