symbol,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,ambiguous_rate_16,mean_mae_16,mean_mfe_16,mean_reversion_rate_32,top1_positive_contribution,top3_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,371,0.000120621281106569,0.0004867414958266366,0.0004167857791129496,0.0006109741273009477,0.0013253955863497934,0.0010313394104730644,0.48787061994609165,0.4555256064690027,0.008086253369272238,-0.007602069149270253,0.007808238933887503,0.49595687331536387,0.02557495757207916,0.0753286690967193,0.0002945197381755005
BTCUSDT,424,-0.00011033318825434626,-0.0003339596768578044,-3.4458379553395015e-05,0.0001586963297015188,0.0029306007141899717,0.000596347462149982,0.4916864608076009,0.45605700712589076,0.014251781472684086,-0.007094859018980876,0.0062919311919570784,0.4834905660377358,0.019328020850232646,0.054087260801376144,-2.9400058823121017e-06
ETHUSDT,387,9.081396742475352e-05,0.000629398457897446,0.0014557011448306128,0.002030688485583511,0.001104405344385471,0.0004200769689413075,0.4573643410852713,0.4263565891472868,0.00516795865633075,-0.00935251927682101,0.010828388545075314,0.4444444444444444,0.06578967192064818,0.18526676021469796,0.001067238828410379
SOLUSDT,380,7.439640903613241e-05,0.0009538117059693146,0.0030435470850649514,0.005038797589994309,0.006161622954442967,0.001124701251230098,0.4509283819628647,0.4907161803713528,0.0,-0.01162328923551624,0.016867156225397893,0.44473684210526315,0.06010122516478217,0.17695009861087446,0.0033585961491075797
