volatility_regime,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,ambiguous_rate_16,mean_mae_16,mean_mfe_16,mean_reversion_rate_32,top1_positive_contribution,top3_positive_contribution,remove_top3_mean_fwd_ret
high_vol,1000,-7.467608912329782e-06,-1.187168991990628e-05,0.0002052651827731874,0.0006948253178836831,0.0010647772574429537,0.00075462514487179,0.447,0.457,0.006,-0.009450642484064766,0.009053723006389246,0.394,0.015337392484180245,0.03596266594892687,0.0005426776305496032
low_vol,237,-0.00016377923393086515,0.0009539333072132292,0.004860212803051754,0.005987971369513272,0.009445388442988884,0.0004151467341593773,0.44871794871794873,0.5427350427350427,0.008547008547008548,-0.008658273718832257,0.01596980011800514,0.6033755274261603,0.09295071027990774,0.2736655917559965,0.003279972159326778
mid_vol,325,0.0003312866204669201,0.00132553027553537,0.0015680744197926354,0.0027421586119002347,0.003749559068131594,0.001007643236055955,0.5683229813664596,0.3944099378881988,0.009316770186335404,-0.007242328475211347,0.01026275685156179,0.5938461538461538,0.07151445447821188,0.16855094992314676,0.0017813034020692765
