trend_strength_bucket,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,ambiguous_rate_16,mean_mae_16,mean_mfe_16,mean_reversion_rate_32,top1_positive_contribution,top3_positive_contribution,remove_top3_mean_fwd_ret
0.5_1.0,378,0.00016956018427833375,0.0011059571479921397,0.0022159881404667505,0.0023768439616966173,0.003319084617648952,0.000575162216835956,0.4656084656084656,0.42857142857142855,0.007936507936507936,-0.008573574832037554,0.011368480280145046,0.42063492063492064,0.09012166318361545,0.22858179687342622,0.0010479356989389198
0_0.5,367,-0.0002696450923558408,-0.00015179444835656725,9.354890573291934e-05,0.001114662448677649,0.002128084731565048,0.0009648824001988743,0.43956043956043955,0.4725274725274725,0.013736263736263736,-0.010861657085863905,0.009462063043007224,0.35149863760217986,0.07122510882403722,0.11761697924562198,0.0005130633302970815
1.0_1.5,322,9.936004711808069e-05,0.0005514127860121953,0.0027496435416315165,0.004061025973410994,0.004884794862316274,0.000895998551528554,0.4720496894409938,0.4720496894409938,0.003105590062111801,-0.008448004244051788,0.01327582055879805,0.5217391304347826,0.0895556059360587,0.26366972150890655,0.002081939284566521
1.5_2.5,495,0.00012981197649124373,0.0002123428019162199,0.00019620515413605483,0.0007462422339498748,0.0017766038532287885,0.000535446871483658,0.5020325203252033,0.4573170731707317,0.0040650406504065045,-0.007914626973455761,0.008290595989274218,0.5535353535353535,0.03201558998498313,0.09108477185577982,0.0003842618368681944
