block_type,event_count,p05,p50,p95,positive_rate,bootstrap_status
month,1562,9.778857032251898e-05,0.0018878208097073937,0.004038717347404309,0.958,robust
symbol,1562,0.00048684834321401186,0.0017553707627380774,0.003715007235237051,1.0,robust
