entry_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,avg_mae_atr,avg_mfe_atr,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,top10_profit_contribution,longest_drawdown_duration,avg_effective_leverage,max_effective_leverage,positive_year_count,pf_gt_1_year_count,walk_forward_positive_window_rate,walk_forward_pf_gt_1_rate
C0_RANDOM_MATCHED_ENTRY,84,144.82808833822722,43.52942983496648,-14.36812532998214,2.033814256605555,44.047619047619044,77.00516301442234,-29.806598896837343,2.5834937854178674,-1.5741337740589971,4.789630099636101,24.673898790212608,61.89695009539772,85.37023048579306,130.4516432052286,15,2.0,2.0000000000000004,3,3,0.6666666666666666,0.6666666666666666
C1_FIRST_BREAKOUT_AFTER_FLAT,371,205211.7422066663,2072.0055164986757,-11.567394099928197,3.587156417254578,53.63881401617251,14298.04826936496,-4611.594090331188,3.1004568028532025,-1.2005118663498189,6.858716210797492,9.975671571547554,27.358409736760137,39.54465627397426,62.52561781646856,16,2.0,2.0000000000000004,3,3,1.0,1.0
C2_FIXED_DELAY_1_BAR,371,276.78758704566894,70.80771775317896,-37.739165787287845,1.202723967397699,35.04043126684636,126.31767570126134,-56.653203197955534,2.229665201098811,-2.1131773738691004,4.5247043505452,52.966960322060196,95.44550768601569,131.0348878754064,197.69365453543716,81,2.0,2.0000000000000004,3,3,0.5,0.5
C3_FIXED_DELAY_3_BARS,370,678.9578741619515,128.98506540671661,-33.99359580407504,1.3832610749601522,37.2972972972973,177.57146824512293,-76.3589822250321,2.325482386889531,-1.8535651647103317,4.336330465178414,26.60993347333424,57.63953204093638,79.56137719739095,126.5560478938302,52,2.0,2.0000000000000004,3,3,0.8333333333333334,0.8333333333333334
C4_FIXED_DELAY_6_BARS,361,741.8617021585842,136.2756622073024,-30.777768659361747,1.3870144731158167,35.18005540166205,209.35002494768835,-81.91810319132726,2.555601470150403,-1.6387891923923228,4.006782657924187,25.97769604120208,60.04856825024544,82.79450696875219,132.96589012933052,79,2.0,2.0000000000000004,3,3,0.6666666666666666,0.6666666666666666
C5_MID_SEGMENT_RANDOM,371,138.7590313369956,42.08271181478993,-31.39755195530647,1.2856315212881055,37.735849056603776,44.611168899844664,-21.030187587048903,2.1212920101253743,-1.472402522122165,4.121928196621066,25.38729208665759,58.69748350591023,88.34086609432492,145.1452022723526,135,2.0,2.0000000000000004,2,2,0.6666666666666666,0.6666666666666666
