sample_reason,event_id,symbol,side,signal_time,execution_time,execution_open,p4_phase,trend_strength_atr,volatility_regime,deviation_ema20_atr,fwd_ret_16,fwd_mae_16,fwd_mfe_16,plus_1atr_first_16,minus_1atr_first_16,subsequent_trend_breakout
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2025-09-22T06:30:00+00:00,SOLUSDT,long,2025-09-22 06:30:00+00:00,2025-09-22 06:30:00+00:00,223.76,deep_idle,1.802366197168593,high_vol,-2.928944506122977,-0.010859849839113256,-0.020289595995709675,0.005854486950303883,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2025-04-01T05:00:00+00:00,BNBUSDT,short,2025-04-01 05:00:00+00:00,2025-04-01 05:00:00+00:00,609.17,p4_held,1.144688926965073,low_vol,1.5240472568706565,-0.010276277557988767,-0.013234198334791336,0.004402308326463267,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2026-04-03T07:45:00+00:00,BTCUSDT,short,2026-04-03 07:45:00+00:00,2026-04-03 07:45:00+00:00,67043.3,deep_idle,2.0621200344691717,low_vol,2.0071068169962376,0.0011679019380013145,-0.0031921853162448777,0.005991537122621793,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2025-05-13T09:15:00+00:00,BTCUSDT,short,2025-05-13 09:15:00+00:00,2025-05-13 09:15:00+00:00,102939.9,deep_idle,2.2615827757795217,low_vol,1.529731944192437,-0.005459496269182296,-0.009527557464103387,0.0,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-10-21T04:00:00+00:00,BTCUSDT,long,2025-10-21 04:00:00+00:00,2025-10-21 04:00:00+00:00,109005.1,after_p4_exit_17_64_bars,2.0993677426962742,mid_vol,-2.4952608710666606,-0.009037191837813152,-0.014724999105546477,0.0,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2026-04-19T23:00:00+00:00,BTCUSDT,long,2026-04-19 23:00:00+00:00,2026-04-19 23:00:00+00:00,74005.0,deep_idle,2.0207292663806378,high_vol,-2.053134605522974,0.004857779879737789,-0.004540233767988622,0.00935882710627678,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-05-19T05:15:00+00:00,BTCUSDT,long,2025-05-19 05:15:00+00:00,2025-05-19 05:15:00+00:00,102935.5,after_p4_exit_5_16_bars,0.9584456246061317,high_vol,-2.551882901381737,0.0018380442121521678,-0.008711280364888663,0.004119084280933105,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_ETHUSDT_long_2025-02-04T21:15:00+00:00,ETHUSDT,long,2025-02-04 21:15:00+00:00,2025-02-04 21:15:00+00:00,2713.84,deep_idle,0.6587393901052115,mid_vol,-1.9273886256037494,0.009713173952775378,-0.030709253308964457,0.021276125342687857,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2025-02-07T20:45:00+00:00,BNBUSDT,long,2025-02-07 20:45:00+00:00,2025-02-07 20:45:00+00:00,574.44,after_p4_exit_0_4_bars,0.7644188964857328,mid_vol,-3.0082830062671566,0.008338555810876613,-0.007624817213286117,0.00981825778149159,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2026-01-10T01:45:00+00:00,BNBUSDT,short,2026-01-10 01:45:00+00:00,2026-01-10 01:45:00+00:00,899.91,deep_idle,0.8100684548201841,low_vol,1.7125012401603577,-0.01040104010401044,-0.012422769224015973,0.001379816840441972,False,True,True
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_long_2025-02-17T16:30:00+00:00,BTCUSDT,long,2025-02-17 16:30:00+00:00,2025-02-17 16:30:00+00:00,95465.8,deep_idle,1.427198189222333,high_vol,-2.2542124106698256,0.0030084071992273476,-0.0033017059512411295,0.0037489865480622164,False,True,False
minus_1atr_random,IDLE_MR1_P4_IDLE_REVERSION_SOLUSDT_long_2026-05-26T00:15:00+00:00,SOLUSDT,long,2026-05-26 00:15:00+00:00,2026-05-26 00:15:00+00:00,84.82,after_p4_exit_17_64_bars,0.042769847546337135,mid_vol,-1.7407307859484773,-0.009195944352746843,-0.012261259136995939,0.00035369016741326753,False,True,False
