trend_strength_bucket,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
0.5_1.0,5772,-8.10131215341839e-05,-0.0001678161426701796,-0.00025114815544900705,-0.00020650105334501823,-0.00015587201266541834,0.4723522274224302,0.49419310105737563,-0.010242024957541805,0.00953570798080068,0.0075139031677809685,-0.0002945552618653188
0_0.5,5926,-6.0656149680812887e-05,-0.0002659068624651369,-0.0002828540330886179,8.686937860125677e-05,0.0008076187303567675,0.47296383913484286,0.49594457587022645,-0.010310591727086559,0.009587515160960035,0.004665578089198422,1.9255068786733994e-05
1.0_1.5,5558,-4.194042390330846e-05,-0.0002705774822775975,-0.00015766871615276675,-0.0004812359496383859,-0.0006416316505257213,0.4668945663907881,0.5014393666786614,-0.010890934640907068,0.009553025777169445,0.008543537481817399,-0.0005973395391092296
1.5_2.5,9496,-7.532834675880409e-06,-7.860335574025307e-05,-0.0002706873946280936,-1.60483644020922e-05,0.000679564156014734,0.48835739121272786,0.48361605731745866,-0.011226465600765708,0.00975486148255635,0.002332199537418141,-4.6311299218843094e-05
