symbol,side,p4_phase,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,long,after_p4_exit_0_4_bars,high_vol,0.5_1.0,39,0.0008544778666720918,0.0009702850844483254,0.0014320620252643978,0.005176935455235463,0.0025806716311018007,0.6153846153846154,0.38461538461538464,-0.0064702536512938275,0.010195641444091654,0.12479488181074994,0.0035705806940513557
BNBUSDT,long,after_p4_exit_0_4_bars,high_vol,0_0.5,26,-0.000758587455162543,-0.00016023523909605922,0.0007862094570229828,0.0019707435998781017,-0.00231983537703496,0.46153846153846156,0.4230769230769231,-0.009749616448124977,0.008650608400645842,0.2340520308671634,-0.0008828363044269285
BNBUSDT,long,after_p4_exit_0_4_bars,high_vol,1.0_1.5,21,-0.00038712848787920376,0.0014199794405796414,0.0006400598038886406,-0.0034559723568875224,-0.002695461767800957,0.42857142857142855,0.5714285714285714,-0.009838859514750345,0.007722845414811634,0.47256262462331455,-0.005122400386432833
BNBUSDT,long,after_p4_exit_0_4_bars,high_vol,1.5_2.5,79,0.00045242691059025806,0.0007958392411526766,0.0008127824585667324,-0.0022070422062763443,-0.0011247874492423125,0.46835443037974683,0.4810126582278481,-0.009714142706574268,0.006766815045479627,0.0696811729418176,-0.002781044910526939
BNBUSDT,long,after_p4_exit_0_4_bars,low_vol,0.5_1.0,13,0.0009763908893209311,0.004536055990677703,0.004791486401500767,-0.0026741590841301652,-0.0012244304093558085,0.7692307692307693,0.15384615384615385,-0.011321228123804778,0.01155942220466676,0.2810972972374748,-0.00668595026800124
BNBUSDT,long,after_p4_exit_0_4_bars,low_vol,0_0.5,7,-0.0008496771295096897,-0.002733242401280224,-0.007698482145703471,-0.008062721712510055,-0.006157650856728147,0.2857142857142857,0.7142857142857143,-0.015784069807104957,0.00541909513281185,0.6548659380580283,-0.01699944466052114
BNBUSDT,long,after_p4_exit_0_4_bars,low_vol,1.0_1.5,4,-0.0003493639215430555,-0.00041732198790001007,0.0013246947655957964,0.0017480683800487062,0.004497056691666834,0.0,1.0,-0.002786275867199872,0.0027214244877104554,0.8263961736203379,-0.0005695462102087712
BNBUSDT,long,after_p4_exit_0_4_bars,low_vol,1.5_2.5,26,3.804222217506776e-05,-0.00014894355392751463,0.00040284456308953276,0.0018209986634319685,0.003124539447451532,0.34615384615384615,0.6153846153846154,-0.004080059214422043,0.004916285127695588,0.12339077718134114,0.0011976145688999817
BNBUSDT,long,after_p4_exit_0_4_bars,mid_vol,0.5_1.0,13,-0.0009232628149035224,-0.001167040292237046,0.0017179428939341724,0.004966896655554421,0.007069957361856996,0.3076923076923077,0.6153846153846154,-0.007946443882098735,0.010010859096822831,0.2019408461497841,0.0015483814945285279
BNBUSDT,long,after_p4_exit_0_4_bars,mid_vol,0_0.5,10,0.00021696066429485183,-0.00031437597357646395,-0.0005662820313702688,0.0016004164760352936,0.009611100746200207,0.4,0.6,-0.012106665996193634,0.010405781703693573,0.24903574756429162,-0.0037540571377986704
BNBUSDT,long,after_p4_exit_0_4_bars,mid_vol,1.0_1.5,18,-0.00024208126042796207,-0.0005389598162815171,0.0005973215925181049,-0.0003289761282081348,0.004347435709933067,0.3333333333333333,0.6111111111111112,-0.0064534575122311665,0.006556308587090973,0.2639632324396402,-0.0023249491575492312
BNBUSDT,long,after_p4_exit_0_4_bars,mid_vol,1.5_2.5,35,-8.59512953258003e-06,0.0011580822914330664,0.0003430517667132252,0.0024085215419184084,-0.0024389960392076147,0.5428571428571428,0.42857142857142855,-0.005540221121269106,0.008145486391504983,0.24886707346576406,0.0008291812716878198
BNBUSDT,long,after_p4_exit_17_64_bars,high_vol,0.5_1.0,127,0.00018936313717758438,0.0008968997021207294,0.0010160595502495121,2.4801196296949315e-05,-0.00019046371345919272,0.5039370078740157,0.47244094488188976,-0.008924296871126537,0.00830801743243508,0.052521591111799174,-0.0005842865246842173
BNBUSDT,long,after_p4_exit_17_64_bars,high_vol,0_0.5,136,0.00033439732072306183,0.0018167387435678699,0.0026368146410808194,0.003842597653697626,0.004473855092826455,0.5441176470588235,0.4338235294117647,-0.006044572037443396,0.009743884396625045,0.043017241712798825,0.003254049182019918
BNBUSDT,long,after_p4_exit_17_64_bars,high_vol,1.0_1.5,90,0.00062617800403097,0.000504455617215887,0.0012963172339711929,0.0011286664511040052,0.00031537067683836805,0.6333333333333333,0.34444444444444444,-0.008342878375743844,0.008861448479548286,0.04914533624110352,0.0004979624079219082
BNBUSDT,long,after_p4_exit_17_64_bars,high_vol,1.5_2.5,128,-2.8329741338341957e-05,-0.0002994142218184486,-0.0002734440242029533,0.000985052341329471,0.002926196999799237,0.4921875,0.4296875,-0.008519671575920928,0.007628448118879543,0.08153859979569253,0.00022141770576089304
BNBUSDT,long,after_p4_exit_17_64_bars,low_vol,0.5_1.0,55,-0.000253678885369769,-0.0008499163589001511,-0.0008128929567969058,0.0008015260700061866,0.0013586847463332315,0.509090909090909,0.4909090909090909,-0.006355207243471129,0.005578205599828461,0.10525082364897553,-9.206116877629007e-05
BNBUSDT,long,after_p4_exit_17_64_bars,low_vol,0_0.5,87,0.0001261930717885571,0.0006045222602258862,0.0010012092481157429,0.0016368064891008481,0.001807829603042382,0.4942528735632184,0.4827586206896552,-0.004374067106816735,0.005710878256984412,0.0878871402315851,0.0009315554946460179
BNBUSDT,long,after_p4_exit_17_64_bars,low_vol,1.0_1.5,63,-0.0003846893769289191,-0.0013970341283449518,-0.0018383018684194033,-0.0033112487904164646,-0.0012051414126358316,0.3333333333333333,0.6666666666666666,-0.010249465779438655,0.0048608450887197,0.1182178951006756,-0.004099076687053059
BNBUSDT,long,after_p4_exit_17_64_bars,low_vol,1.5_2.5,91,-0.00045866167244914034,-0.0012850235155290064,-0.002744467287448649,-0.003613959938258253,-0.003782053441463556,0.43956043956043955,0.5164835164835165,-0.010058949768937415,0.0038667465012126602,0.09475701195228299,-0.004118516670755501
BNBUSDT,long,after_p4_exit_17_64_bars,mid_vol,0.5_1.0,81,0.00019338160112370296,0.0004464012394971199,0.0009185472382784334,0.002882733570890706,0.0032156529717240457,0.5061728395061729,0.49382716049382713,-0.005190619448982557,0.008185219604920212,0.053003031202145764,0.0023063642564290898
BNBUSDT,long,after_p4_exit_17_64_bars,mid_vol,0_0.5,97,4.321590677825352e-05,-0.0007624220191237482,-0.0005658147759834059,0.0012522655782332423,0.001544291608769084,0.5567010309278351,0.4329896907216495,-0.007712865382058499,0.006154923192365358,0.06474546780949667,0.0006167388674567243
BNBUSDT,long,after_p4_exit_17_64_bars,mid_vol,1.0_1.5,66,0.0005829900917419293,0.001476843853564033,0.0013817551630045557,0.003012584631807093,0.003806971628092254,0.5909090909090909,0.3939393939393939,-0.006340411958767667,0.008601694300979517,0.07563318656998795,0.00196098489116832
BNBUSDT,long,after_p4_exit_17_64_bars,mid_vol,1.5_2.5,85,-0.00021961895105727984,-4.4972890321481886e-05,-0.0005190593759579179,0.0010865388660072238,0.0009686327764590088,0.5058823529411764,0.49411764705882355,-0.006855772660592926,0.006951438530900476,0.06726617649663034,0.00034095316635957945
BNBUSDT,long,after_p4_exit_5_16_bars,high_vol,0.5_1.0,43,0.00037473861936896546,0.0005126776120454003,-0.00013665640660348976,-0.0006740972966805872,0.0011802075703138287,0.3953488372093023,0.4418604651162791,-0.007211060488349416,0.006918184439649306,0.2073531944004632,-0.0020428163902899503
BNBUSDT,long,after_p4_exit_5_16_bars,high_vol,0_0.5,62,0.0002591974470404454,0.0013714708669184243,0.0017781150798918794,0.0016213019431811511,-0.0006283045605996105,0.5645161290322581,0.41935483870967744,-0.007704323889033956,0.008778985206625718,0.11009094394153686,6.64416586046651e-05
BNBUSDT,long,after_p4_exit_5_16_bars,high_vol,1.0_1.5,43,9.87189842951043e-05,0.0015268531562805234,0.0024853190709540926,0.0025642449693137983,0.006446036168819444,0.6046511627906976,0.37209302325581395,-0.006626276622428026,0.010197106983353387,0.09624025703075881,0.0013561498630795892
BNBUSDT,long,after_p4_exit_5_16_bars,high_vol,1.5_2.5,78,-0.0001144747879519769,-0.0014109404672545812,-0.002152770432047831,-0.0017163832766384694,-0.0006386919720631298,0.41025641025641024,0.47435897435897434,-0.009350397767024822,0.006006399912629745,0.059699357801852086,-0.0022435088041979127
BNBUSDT,long,after_p4_exit_5_16_bars,low_vol,0.5_1.0,11,-6.759744480614146e-05,-0.0031991642308041805,-0.006896648781457742,-0.004899107445163662,-0.010212172123754904,0.2727272727272727,0.7272727272727273,-0.011667798672582143,0.003433834617457973,0.6222558352238043,-0.008031028219451314
BNBUSDT,long,after_p4_exit_5_16_bars,low_vol,0_0.5,6,0.00010651812926992799,0.0004197663089005599,-0.0015020302906188683,-0.004443588213624876,-0.007585576976805471,0.16666666666666666,0.8333333333333334,-0.010142664264316426,0.004218805343482661,1.0,-0.01050540601315253
BNBUSDT,long,after_p4_exit_5_16_bars,low_vol,1.0_1.5,12,5.936252130652371e-06,0.00022607344640182547,0.0007509434429260701,0.0016293656058539625,0.002031748976737422,0.3333333333333333,0.6666666666666666,-0.0033708857725383012,0.005134029024356131,0.7041709611131193,-0.0018073121723237717
BNBUSDT,long,after_p4_exit_5_16_bars,low_vol,1.5_2.5,19,0.00017339037296940814,0.0007732320745821425,0.0019498164228973127,0.004998123746104673,0.007607640331677186,0.6842105263157895,0.3157894736842105,-0.006016705181811866,0.009659629744876903,0.18685258404999525,0.002819534119252523
BNBUSDT,long,after_p4_exit_5_16_bars,mid_vol,0.5_1.0,11,0.0002312530099288678,0.0011146059948320206,0.0023092880534877954,0.000412912557051337,0.0019462389844357693,0.45454545454545453,0.5454545454545454,-0.00650972201975599,0.006585600705124837,0.5493756435377458,-0.0038272480184251
BNBUSDT,long,after_p4_exit_5_16_bars,mid_vol,0_0.5,21,-0.0008109667646725002,0.00026663951771510597,0.0030222710527575626,0.0057647051955454845,0.00965015633361869,0.5238095238095238,0.42857142857142855,-0.007033404166588904,0.011247342736649724,0.2533329629148519,0.0010105704694971086
BNBUSDT,long,after_p4_exit_5_16_bars,mid_vol,1.0_1.5,14,0.0014089441174110642,0.008549440770147052,0.008334366676246938,0.009233974083297498,0.008856224485937416,0.5714285714285714,0.35714285714285715,-0.004518980349514812,0.019534977868950008,0.2529231254370298,0.002493875326730066
