symbol,side,p4_phase,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,long,after_p4_exit_5_16_bars,mid_vol,1.5_2.5,32,0.0004176524837219732,0.0009512535606482561,0.0004159197868628464,0.0013183881138290506,0.00327840837764503,0.625,0.375,-0.004721769630047917,0.0058348406445136655,0.1085032124085967,0.00028140763553747303
BNBUSDT,long,deep_idle,high_vol,0.5_1.0,203,-0.00022865532256867473,0.0003374744890547312,0.0013642354261172356,0.0009252309026196547,0.003693904530026035,0.4039408866995074,0.5467980295566502,-0.012008485075204805,0.010618620072574357,0.0960464636393484,5.60831048114302e-05
BNBUSDT,long,deep_idle,high_vol,0_0.5,198,-1.5428629592288228e-05,-0.00031006073715916907,0.00010748009106761011,0.0008837289142499384,0.00555660736887333,0.3787878787878788,0.601010101010101,-0.01040130391338994,0.009352552657037093,0.06132423378973791,3.5511473265225335e-05
BNBUSDT,long,deep_idle,high_vol,1.0_1.5,241,7.801680706222321e-05,-8.588133225631095e-05,0.0005895516656188845,0.0008763711649266602,0.0006130357185883457,0.5020746887966805,0.46473029045643155,-0.012563445538899128,0.010573672779489219,0.023135823168526134,0.0004943287547494329
BNBUSDT,long,deep_idle,high_vol,1.5_2.5,500,0.0001601122780738904,0.0003425954367980741,-0.0008973912366595609,0.0010968099515330566,0.0020182132418172277,0.538,0.454,-0.01392967808664302,0.010899173985816543,0.018090203743299598,0.0007757403624515724
BNBUSDT,long,deep_idle,low_vol,0.5_1.0,157,2.21801878742481e-05,-0.00010168390512393897,0.000465247151792433,-0.0006478856620399182,0.002251301478811003,0.4394904458598726,0.554140127388535,-0.007629184278121486,0.00668688043085632,0.05577859713111125,-0.0011132846438650329
BNBUSDT,long,deep_idle,low_vol,0_0.5,151,6.122365432337681e-07,-0.00048290343016895153,-0.0011063688036101074,-0.0014488456328507525,-0.0006534858994441878,0.4768211920529801,0.5165562913907285,-0.007811141390562024,0.005305749461980576,0.04957761022275493,-0.0018350517284320509
BNBUSDT,long,deep_idle,low_vol,1.0_1.5,112,-0.0002570852179581675,0.0002903060739635685,0.00013350467903010057,0.0005557901635571226,0.0015163482110047619,0.5267857142857143,0.45535714285714285,-0.006331639057274817,0.006172836851315737,0.06048110050445025,1.5664368475934113e-05
BNBUSDT,long,deep_idle,low_vol,1.5_2.5,181,-2.9256790488220524e-05,-0.0005037905862695562,-0.001607231692460329,-0.0017133178548090963,-0.001088456884796277,0.5414364640883977,0.4530386740331492,-0.01006418710245207,0.007665934191490625,0.055914768016969846,-0.0022828733198966378
BNBUSDT,long,deep_idle,mid_vol,0.5_1.0,144,-0.00014431073188007055,-0.0001963686150527888,-0.0003350151761556158,-0.0002897169431432268,-0.0009821657339750911,0.44680851063829785,0.48226950354609927,-0.009422951601538866,0.008544433984541874,0.03743476365826445,-0.000728564501176774
BNBUSDT,long,deep_idle,mid_vol,0_0.5,135,-0.0002773176749435989,-0.0007616402880773591,-0.0004957393205730578,0.0006451769825265765,-0.0006305906321953265,0.5111111111111111,0.4666666666666667,-0.009587878422313907,0.009872413862564836,0.08258703015864345,-0.0002556467135208585
BNBUSDT,long,deep_idle,mid_vol,1.0_1.5,132,-0.0001350952105593848,-0.00018523535545123654,0.0008299585218302114,0.0009385063323408952,-0.0018793039507558635,0.45454545454545453,0.5378787878787878,-0.009941639615518026,0.010026183184278222,0.05028566697027392,0.0002925539263805208
BNBUSDT,long,deep_idle,mid_vol,1.5_2.5,226,-0.0003186850122845976,-0.0005966869737371889,1.1365237134687654e-06,0.0020671977518496366,0.001536813556866831,0.4646017699115044,0.5221238938053098,-0.010059662312688199,0.009397368003622411,0.047758618129488714,0.0014054332606995325
BNBUSDT,long,p4_held,high_vol,0.5_1.0,1,-0.003503413582464865,0.0036231884057971175,-0.004940711462450564,-0.0049107677566174734,-0.0027697927895554697,0.0,1.0,-0.016289375973170483,0.004970655168283766,,
BNBUSDT,long,p4_held,high_vol,0_0.5,2,-0.005847345251458136,0.00024424795581406977,0.00017979056408623517,0.008855214632510044,0.006348023237286005,0.5,0.5,-0.007417346372696587,0.011297135984754902,0.5971236578378554,
BNBUSDT,long,p4_held,high_vol,1.0_1.5,3,0.0006953618012850068,-0.005694465771468334,-0.0034775034583771993,-0.004796266669162034,-0.014103730344174448,0.3333333333333333,0.6666666666666666,-0.015161919189448906,0.005792794292768762,1.0,
BNBUSDT,long,p4_held,high_vol,1.5_2.5,13,-0.001121953231991738,-0.0004332035567250395,-0.0023199649121405674,-0.006403821919085464,-0.008551970372754672,0.23076923076923078,0.7692307692307693,-0.018135574165797808,0.006943060552101374,0.35935086165986546,-0.010892265317095463
BNBUSDT,long,p4_held,low_vol,0.5_1.0,4,-0.0018365992661017738,-0.003410479655169052,0.00032939882866281356,-0.0028475529993798876,0.010079015744072328,0.0,1.0,-0.007481800187761595,0.004263723674658937,,-0.003146639838172871
BNBUSDT,long,p4_held,low_vol,1.0_1.5,1,-0.001360824742268063,-0.0008969072164948244,-0.0018453608247421815,0.0003608247422681732,0.0009587628865979081,0.0,1.0,-0.005144329896907274,0.0020412371134019835,1.0,
BNBUSDT,long,p4_held,low_vol,1.5_2.5,2,0.0003951328772937579,0.0006896615428347852,0.0014101487091358056,0.001363806728308492,0.0036492940398109575,1.0,0.0,-0.00024014037906833208,0.0027660051741206226,0.9091229191989205,
BNBUSDT,long,p4_held,mid_vol,0.5_1.0,6,0.00039380015672833374,-0.0010409393966711034,-0.00515322296823952,-0.004855400951229309,0.013537793578337861,0.16666666666666666,0.8333333333333334,-0.010746236392183991,0.0030456240246596877,1.0,-0.008085208010390624
BNBUSDT,long,p4_held,mid_vol,0_0.5,2,-0.003537977333523179,-0.025893877948912458,-0.03059456751335432,-0.025110754881676578,-0.02425173330230035,0.0,1.0,-0.05243818009185319,0.0021161732058241345,,
BNBUSDT,short,after_p4_exit_17_64_bars,high_vol,0.5_1.0,39,-0.0004050541522572511,-0.0015003895723149142,-0.0021993098367409925,-0.0014123898321787031,-0.0018087606765928577,0.358974358974359,0.6410256410256411,-0.008868067243238523,0.005746984833860212,0.1655847122664217,-0.0025800899151602083
BNBUSDT,short,after_p4_exit_17_64_bars,high_vol,0_0.5,30,0.0002230125018673516,0.0005881402879573727,0.0007336742038605644,0.0008712949897484649,0.00021911807523838182,0.4666666666666667,0.5333333333333333,-0.006781619744239835,0.00788367230266452,0.1369664321969614,-0.001075784869193665
BNBUSDT,short,after_p4_exit_17_64_bars,high_vol,1.0_1.5,9,5.1382866218628744e-05,0.000772150199025459,-0.00037081090716439835,-0.000569892064374781,-0.007554178021762565,0.5555555555555556,0.4444444444444444,-0.007762804770045737,0.00783736559664858,0.6391184779893418,-0.006050967004830525
BNBUSDT,short,after_p4_exit_17_64_bars,high_vol,1.5_2.5,42,-0.0003440379614653023,0.00020202761944740488,0.0020995399647349977,-0.0005088413124125937,-0.0027687170677704056,0.5,0.47619047619047616,-0.009285722155425016,0.009931598521835344,0.11687340836118085,-0.0019940232090694984
BNBUSDT,short,after_p4_exit_17_64_bars,low_vol,0.5_1.0,35,4.7656039889679544e-05,0.0006679443787675377,0.0012703119490226956,-0.000512495046863767,-0.0018130759958109722,0.5714285714285714,0.42857142857142855,-0.006525975726838373,0.007525917350024861,0.33983726112148893,-0.0032495662234139147
BNBUSDT,short,after_p4_exit_17_64_bars,low_vol,0_0.5,22,-0.0001041088989484881,-0.00012879198750633108,-0.0009957306429249787,0.0031375522905649086,-0.0004932232674411119,0.45454545454545453,0.5454545454545454,-0.005138678680706796,0.0072440887936288416,0.26675389326654614,0.0006050764693307231
BNBUSDT,short,after_p4_exit_17_64_bars,low_vol,1.0_1.5,47,-0.0004361973932308024,-0.0005386970344814914,-0.0008034576039945864,-0.0009120756964209922,-0.0031461546273529677,0.3617021276595745,0.6382978723404256,-0.006942341749141694,0.005531246340667207,0.09730016775247625,-0.0016658624871367352
BNBUSDT,short,after_p4_exit_17_64_bars,low_vol,1.5_2.5,69,3.125411302195963e-05,0.00023915185238213292,0.0014872664935420598,0.0014708086295161346,-0.00045794301798433233,0.5942028985507246,0.4057971014492754,-0.005762168562636466,0.007128369660993858,0.058959590501070365,0.000961080338657245
BNBUSDT,short,after_p4_exit_17_64_bars,mid_vol,0.5_1.0,29,0.001118375011326194,0.00225385074032782,0.0022474965121682447,0.0016269581624901595,0.0029642846649335117,0.8620689655172413,0.13793103448275862,-0.005115781684521636,0.00953245646805761,0.1869512084083477,-5.754414328401625e-05
BNBUSDT,short,after_p4_exit_17_64_bars,mid_vol,0_0.5,34,-0.0001127265798291072,-0.0010978908082261657,-0.001736492343987441,-0.0014262528414518564,-0.002239258977461911,0.3235294117647059,0.6764705882352942,-0.007917343286550457,0.005847171528409856,0.27302604671327263,-0.0037030359679368916
BNBUSDT,short,after_p4_exit_17_64_bars,mid_vol,1.0_1.5,15,-8.058202502669125e-05,-0.0007977035027776062,0.0009457036334949913,0.0005725998035755723,-0.0030142905174256477,0.6,0.4,-0.00799730571993824,0.008339718211398095,0.27018905590846826,-0.0025787236183497653
BNBUSDT,short,after_p4_exit_17_64_bars,mid_vol,1.5_2.5,37,0.00027914901371152244,0.00030279373932874475,0.001021990736528575,0.004508153235316479,0.003012740692010611,0.40540540540540543,0.5945945945945946,-0.00512421911227466,0.009329997270053953,0.11620700208746952,0.003267283472901398
BNBUSDT,short,after_p4_exit_5_16_bars,high_vol,0_0.5,2,0.0008236641350219398,-0.0031535377190522462,-0.005654014133842589,-0.017337977420391115,-0.01552819810957251,0.5,0.5,-0.023585647091581174,0.004016095957418142,,
BNBUSDT,short,after_p4_exit_5_16_bars,high_vol,1.0_1.5,1,-0.0022403637039223323,-0.008021594920385233,-0.006349518595018866,-0.028064653617914326,-0.03164923554418975,0.0,1.0,-0.033167092834048284,0.0014336996016284242,,
BNBUSDT,short,after_p4_exit_5_16_bars,high_vol,1.5_2.5,2,-0.0010248653820629783,-0.0027323207997907994,-0.005701832162229636,-0.010001583570198869,-0.025756015305726576,0.0,1.0,-0.012520016069669015,0.0005424766660722113,,
BNBUSDT,short,after_p4_exit_5_16_bars,low_vol,0.5_1.0,3,-3.220786114876972e-05,0.00022781743488816306,-0.004746579287328838,-0.00919082313558913,-0.014099417850935492,0.3333333333333333,0.3333333333333333,-0.015428933569557065,0.00418973295693507,1.0,
BNBUSDT,short,after_p4_exit_5_16_bars,low_vol,1.0_1.5,2,0.0016600027796478956,-1.0700988938849854e-06,-0.004390594948988025,-0.010903868409087192,-0.015085447825547382,1.0,0.0,-0.01468680516470583,0.004710882894803592,1.0,
BNBUSDT,short,after_p4_exit_5_16_bars,low_vol,1.5_2.5,6,-0.00018095455276484484,-0.0005081525672974893,0.0012113661747528888,-9.025596399693987e-05,-0.004569547670805234,0.3333333333333333,0.6666666666666666,-0.0035360532443348878,0.004041946192732719,0.6106471773685186,-0.0018333246541048325
BNBUSDT,short,after_p4_exit_5_16_bars,mid_vol,0.5_1.0,1,0.0002660281989890212,-0.008707989713576225,-0.014915314356655163,-0.013372350802518307,-0.018551033076172674,0.0,1.0,-0.01911836337067707,0.002114953968648914,,
BNBUSDT,short,after_p4_exit_5_16_bars,mid_vol,1.5_2.5,2,-0.0021875368761040126,-0.0019760615236370516,-0.0045028489341149,-0.0031199182469362485,0.010592173743853128,0.0,1.0,-0.009674478578431844,0.0060638371697717686,1.0,
BNBUSDT,short,deep_idle,high_vol,0.5_1.0,87,0.0001714500199011384,0.0014852086246366525,0.001002198296733405,-0.0008977479205074766,-0.002394230645018097,0.45977011494252873,0.5057471264367817,-0.00872865302441254,0.008894877040351185,0.12214457211749517,-0.0023013837794657347
BNBUSDT,short,deep_idle,high_vol,0_0.5,110,-2.868779589116304e-05,-0.0018281651006382127,-0.002064621653775549,-0.002269143696484073,-0.0036109290632012738,0.5,0.4818181818181818,-0.010853234885146591,0.008380729642167937,0.04673771998817808,-0.002953706544626585
BNBUSDT,short,deep_idle,high_vol,1.0_1.5,55,0.0005743852538208951,0.0008543397570476164,0.0012878891535607325,0.0012051585282009598,-0.000588113153863946,0.5272727272727272,0.45454545454545453,-0.006648434442698623,0.009643662193235866,0.18784360718143148,-6.32307770072231e-05
BNBUSDT,short,deep_idle,high_vol,1.5_2.5,65,0.0002629934234182486,0.0019055006755552607,0.0022624267672749737,0.00360363828693943,0.00122188787523304,0.49230769230769234,0.49230769230769234,-0.007329882913775946,0.011976055104846457,0.11704194162473855,0.0017837097919423744
BNBUSDT,short,deep_idle,low_vol,0.5_1.0,148,5.249792484702824e-05,-0.00016003941056958205,-0.0003725422206625285,1.7025420336899765e-05,0.0007879529275638284,0.4864864864864865,0.5,-0.005501733375589274,0.005432180750916512,0.06553652007463882,-0.0004483061762764167
BNBUSDT,short,deep_idle,low_vol,0_0.5,143,0.000249117370863293,0.00025478970216067385,-0.0004777807755330809,-0.0008622061279045741,-0.00064516426384269,0.6503496503496503,0.34965034965034963,-0.005815271526941506,0.005552379392699983,0.09347451972032317,-0.0013208667396599728
BNBUSDT,short,deep_idle,low_vol,1.0_1.5,126,2.5900322277861583e-05,0.0004917323684371798,4.047904426231935e-05,0.0002566816754110289,-0.0002619746022531203,0.5555555555555556,0.4365079365079365,-0.005830243888146594,0.006884246598226773,0.06192425546069257,-0.0002779864016019145
BNBUSDT,short,deep_idle,low_vol,1.5_2.5,185,0.00011384232781839259,0.00023307222070887004,0.0006935730664444471,0.0010196467459317109,0.0007720555115030966,0.5351351351351351,0.4648648648648649,-0.006037998062049569,0.00768460691883955,0.050377187558434074,0.00048341536651357395
BNBUSDT,short,deep_idle,mid_vol,0.5_1.0,60,0.00037724656240713895,0.0015956828606752053,0.0011502623329869954,-0.00025629226295568,0.0004210604377822058,0.5833333333333334,0.4166666666666667,-0.0055714185902855946,0.007355226190938979,0.09763533123924678,-0.0010706423418704362
BNBUSDT,short,deep_idle,mid_vol,0_0.5,123,0.00026537358032876167,0.0007676118489850463,0.00111404548072141,0.0009024372306790958,0.002690350848013692,0.5691056910569106,0.3983739837398374,-0.00516950101050858,0.007017950253075898,0.053386888183914974,0.0004796502069060136
BNBUSDT,short,deep_idle,mid_vol,1.0_1.5,83,-0.0002479577244804403,0.00014657606837210316,0.0005387346270474988,-0.00016026625733065136,0.0005404478290751521,0.42168674698795183,0.5662650602409639,-0.007100738630132993,0.007079324325651709,0.08824972977241224,-0.0010477612859154995
BNBUSDT,short,deep_idle,mid_vol,1.5_2.5,123,-0.00018362953146460354,-0.0004079702699817705,-0.00016175062341685858,0.002383773866506065,0.0020372111222710077,0.4634146341463415,0.5203252032520326,-0.0067110397256484175,0.00873399893448708,0.06551956040206489,0.0014663109915375393
BNBUSDT,short,p4_held,high_vol,0.5_1.0,110,-0.00033639897381463837,-0.0011720672567498698,-0.0016761608520458624,-0.003707878158579057,-0.003668429604407136,0.5,0.45454545454545453,-0.012057966851951814,0.008588539955831158,0.05338506315148959,-0.004355935481594969
BNBUSDT,short,p4_held,high_vol,0_0.5,60,0.00016039203014635943,-0.00035499225054154334,-0.002044545340871625,-0.00217285285725336,-0.004515342678191234,0.5333333333333333,0.45,-0.009409277411884577,0.007812748230356189,0.1710973806149644,-0.003449296261768872
BNBUSDT,short,p4_held,high_vol,1.0_1.5,176,-0.00042665641747225943,-0.0008296701963705015,-0.0012968297083655184,-0.0016272277581723892,-0.0007474862706851055,0.48295454545454547,0.4715909090909091,-0.00922588877323567,0.007247870543214055,0.04200498464491049,-0.0020589495369235456
BNBUSDT,short,p4_held,high_vol,1.5_2.5,294,-0.0003463394176623897,-0.0015605833455959355,-0.0016073782151847626,-0.0028113728646296525,-0.0034177024470894166,0.4217687074829932,0.5408163265306123,-0.010598573836533568,0.007213859409565674,0.04412051001253277,-0.0031879479043049577
BNBUSDT,short,p4_held,low_vol,0.5_1.0,58,0.00018695659161931542,0.0006234123536668079,0.0012945535776796005,-0.00024153308988213114,-0.0020756003203131544,0.5172413793103449,0.4827586206896552,-0.00640780320569376,0.0062451784062254965,0.1352379342133755,-0.0013490329334784354
BNBUSDT,short,p4_held,low_vol,0_0.5,32,-0.0006603008941067461,-0.003124349615153215,-0.0032419715648306507,-0.003442230088911341,-0.0052088985064979824,0.21875,0.71875,-0.010317074129578649,0.006742104903474391,0.21756548101577547,-0.005998647299953164
BNBUSDT,short,p4_held,low_vol,1.0_1.5,63,-1.1656292335164112e-05,-0.0005048109965309293,-0.0008675981799637603,-0.0020800528821675415,-0.0027269571679747273,0.6349206349206349,0.3492063492063492,-0.007879973147515061,0.005795204802849993,0.07404356357133957,-0.002724918891868794
BNBUSDT,short,p4_held,low_vol,1.5_2.5,112,8.669009554383513e-05,-0.000529378656342301,-0.0005360134793269689,-0.00264383044772848,-0.004625619073678733,0.5892857142857143,0.4107142857142857,-0.007325423059032467,0.004996330668873232,0.07966929133958088,-0.0031716959523945855
