symbol,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,7074,-1.991155836972648e-05,-5.6908452571371016e-05,-6.379096755472822e-05,0.00013335207216373825,0.0003101500269286427,0.49455522556922643,0.48324140857021636,-0.008716363108328908,0.007987802051850602,0.0037590753048945707,0.0001008704276235261
BTCUSDT,6611,-3.4943511602808416e-06,-5.674816629141818e-05,-9.284031541351368e-05,0.0001388939912542582,0.0006909808557037625,0.4824455205811138,0.4835048426150121,-0.007831957146074698,0.007306933944661197,0.0038645303573859803,9.861095814108417e-05
ETHUSDT,6327,-9.09762860082372e-05,-0.0003074060890597072,-0.0003918577272697938,-0.0004977366313999081,-0.0002758420027975258,0.4689971527997469,0.4927238215754508,-0.012642506631127634,0.010993300942726172,0.00400931918387402,-0.0005613056234212558
SOLUSDT,6740,-5.8179565821717645e-05,-0.00030741767192074136,-0.0004493819978262915,-0.0003293673409923225,0.00025975484013688607,0.4608760207869339,0.5101707498144024,-0.013938176731958657,0.012348018602728881,0.005318259262129039,-0.0004251040958474304
