month,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
2024-12,1593,0.00015441706583520126,0.00038339222259479696,0.000509366150612044,0.0017978485111822924,0.002496427905625244,0.4908976773383553,0.4965473948524796,-0.012535521089990256,0.012180728341570118,0.006383448520760051,0.0016832373894106712
2025-01,1577,9.847021109895007e-05,-0.0004035218473601401,-0.001258653227674258,-0.0015493183289536957,-0.001238256251683997,0.45656309448319593,0.5307545973367153,-0.012562994967793525,0.010036385315525982,0.014125335440026305,-0.0017164159832281742
2025-02,1313,-9.731458873873876e-05,-0.0001823552372185456,-0.00015706516398947997,0.0004645998708645109,0.002600745985101098,0.4798172124904798,0.49276466108149275,-0.012607831971014683,0.011506790603955496,0.009213380891917493,0.00032683398879670056
2025-03,1373,-0.00019000084799639775,-7.636976705125296e-05,0.0002704853586609007,1.1113525876393736e-06,-0.0016755702312397057,0.44282592862345227,0.528040786598689,-0.01324549492038593,0.012807784513408017,0.023946109362249144,-0.00046860280624729135
2025-04,1588,-2.6572557275437418e-05,-0.00023703294543435963,-0.0001942077584213662,0.00030453817644625087,0.0001499475874015679,0.4729219143576826,0.49181360201511337,-0.010797629838813605,0.01003824591909751,0.012745959833628242,0.00016265087044788808
2025-05,1537,0.0001983612385072389,0.000404281306764834,0.0007999005783995448,0.0012855365249537282,-0.00025607986910832436,0.494469746258946,0.49316851008458035,-0.009298796449445956,0.009619102293495801,0.01056787050458906,0.001159894997874005
2025-06,1505,-0.0001566644889231142,-0.0005781352362594921,-0.0010226026768609163,-0.0020614879910094315,-0.0013433458907635136,0.4372093023255814,0.5395348837209303,-0.01118302264450021,0.007650777969418392,0.014334294642453439,-0.0022036224786920835
2025-07,1419,0.00014158932420037118,0.00020585654930260384,0.00034593092931939427,0.00013796114378454298,-0.0012638455394682311,0.48766737138830163,0.48273431994362226,-0.008065129067037692,0.007694116161701707,0.009222464090240924,4.964235775603706e-05
2025-08,1324,-0.0001675854964116641,-0.00039420450966456445,-0.00035526388296006046,7.05878642994568e-05,0.00024360487359402028,0.46827794561933533,0.5113293051359517,-0.009917459699032698,0.009889043782295253,0.019678162759602404,-0.0002158274290956632
2025-09,1292,6.937911067468068e-05,0.00026867264028530353,0.000681517729664596,0.0005025775567974401,0.0002606761131667525,0.48374613003095973,0.47678018575851394,-0.007535349122975595,0.00735148315335873,0.008606149405574729,0.00041281973647290955
2025-10,1345,-0.00020188768891330532,-0.0003998358386940911,-0.000698629229912178,-0.0019421940925052096,-0.001986955339622603,0.44609665427509293,0.5308550185873606,-0.016265491136884715,0.010837531484237535,0.01552294410899805,-0.002123124859872845
2025-11,1527,-0.00010523205842807432,-0.001081961710967137,-0.0016076900506314456,-0.0013580812591326324,0.003158839434048962,0.4544859201047806,0.5199738048461034,-0.012833862346812271,0.010892960248480006,0.007279535585479143,-0.0014646401594445883
2025-12,1541,-0.00024419156242551956,-0.0003353941563783172,0.00010102213952587784,0.0012721855727072194,0.002798437204944093,0.5120051914341337,0.4471122647631408,-0.009400160818097724,0.0103003199359277,0.009545768830093058,0.0011301856689430614
2026-01,1188,-0.0001229757149819277,-0.0004582434685278425,-0.0007754333044979751,-0.0016238425785631884,-0.0004619684562037059,0.5067340067340067,0.43097643097643096,-0.010229214192299047,0.006996656434410352,0.011974343038648435,-0.0017349090099415597
2026-02,1297,-0.0002125370134206665,-0.0005339764857345496,-0.0010487178582404015,-0.0014411149557108014,-0.0007892577997438292,0.4387047031611411,0.5281418658442559,-0.013086286030583004,0.010879413992935605,0.009561557864224484,-0.0015809610959154066
2026-03,1397,-8.517294873855966e-06,-3.446387118824904e-05,0.00020463385945834926,0.0001783841358871428,0.0010719915879139974,0.5239799570508232,0.45526127415891193,-0.009611770236570578,0.010095711022831228,0.009806062477706242,6.200603522637171e-05
2026-04,1461,-4.679516204046892e-05,-0.00016855296863603416,-0.0007217435744984446,-0.0011572117846843442,-0.0017405084978178301,0.4784394250513347,0.45516769336071183,-0.008192699218031091,0.00626235090829188,0.007815194854893083,-0.001226515592254343
2026-05,1327,5.243499490367319e-05,0.00015838453950270872,0.0002829768924288272,0.0004819055815903269,0.00015499085490481825,0.49736247174076864,0.4559155990957046,-0.006324317057570335,0.006408110115623889,0.008051358121373083,0.00041389668338743027
2026-06,1148,9.347099840418982e-07,9.667993410160977e-05,5.991518956632322e-05,0.002203072321589238,0.002586631915074688,0.49734982332155475,0.4717314487632509,-0.00990326880523372,0.011036965450911627,0.008338094928292928,0.0020736131047858837
