event_id,candidate,symbol,signal_time,execution_time,execution_open,direction,side,range_upper,range_lower,range_mid,ema20,atr14,deviation_ema20_atr,trend_strength_atr,trend_regime,volatility_regime,p4_state_bucket,mean_target,mean_reversion_bars,subsequent_trend_breakout,fwd_ret_1,fwd_mfe_1,fwd_mae_1,plus_1atr_first_1,minus_1atr_first_1,ambiguous_touch_1,fwd_ret_4,fwd_mfe_4,fwd_mae_4,plus_1atr_first_4,minus_1atr_first_4,ambiguous_touch_4,fwd_ret_8,fwd_mfe_8,fwd_mae_8,plus_1atr_first_8,minus_1atr_first_8,ambiguous_touch_8,fwd_ret_16,fwd_mfe_16,fwd_mae_16,plus_1atr_first_16,minus_1atr_first_16,ambiguous_touch_16,fwd_ret_32,fwd_mfe_32,fwd_mae_32,plus_1atr_first_32,minus_1atr_first_32,ambiguous_touch_32,p4_phase,p4_held,bars_since_p4_exit,month,quarter,trend_strength_bucket
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2024-12-01T14:15:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-01 14:15:00+00:00,2024-12-01 14:15:00+00:00,661.07,-1,short,661.58,648.54,655.06,658.0834664623424,1.8142857142857207,1.646120847527856,0.24647346230186779,weak_or_range,unknown,idle,658.0834664623424,13.0,True,0.0018454929130047315,0.0029584901080228487,-0.0006047137436315797,True,False,False,-0.0008773654832316957,0.003979041688814577,-0.0020078502415458166,True,False,False,-0.002632096449695087,0.003979041688814577,-0.0057752176986357595,True,False,False,0.002178286716989164,0.006547193081291924,-0.0057752176986357595,True,False,False,0.006655876079689094,0.014051019312481872,-0.0057752176986357595,True,False,False,p4_held,True,,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2024-12-01T16:00:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-01 16:00:00+00:00,2024-12-01 16:00:00+00:00,662.78,-1,short,663.24,650.53,656.885,659.9386809674018,1.8878571428571556,1.5050498091704438,0.7570019949303106,weak_or_range,mid_vol,idle,659.9386809674018,5.0,True,-4.526388846981533e-05,0.0005434618519972734,-0.003203441067212043,False,True,False,0.0016144120220886737,0.0021925513737466318,-0.003203441067212043,False,True,False,0.004737620326503489,0.009150844283386972,-0.003203441067212043,False,True,False,0.006035185129303788,0.009642775535074977,-0.003203441067212043,False,True,False,0.009279097136304593,0.01667408077802146,-0.003203441067212043,False,True,False,p4_held,True,,2024-12,2024Q4,0.5_1.0
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-01T20:30:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-01 20:30:00+00:00,2024-12-01 20:30:00+00:00,653.11,1,long,664.91,654.47,659.69,658.0434050629356,2.195714285714278,-2.2513881223519125,0.6667360878824915,weak_or_range,high_vol,idle,658.0434050629356,7.0,True,0.002112967187763104,0.003383809771707824,-0.0018373627719679986,True,False,False,0.0051905498308095765,0.00655326055335248,-0.0018373627719679986,True,False,False,0.004348425226990971,0.008528425533217865,-0.0018373627719679986,True,False,False,0.00560395645450229,0.009493040988501011,-0.0018373627719679986,True,False,False,-0.003322564345975332,0.022706741590237556,-0.010687326790280394,True,False,False,after_p4_exit_0_4_bars,False,1.0,2024-12,2024Q4,0.5_1.0
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2024-12-02T01:30:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 01:30:00+00:00,2024-12-02 01:30:00+00:00,664.64,-1,short,660.54,651.91,656.2249999999999,658.3018071516068,2.846428571428573,2.2302308626726353,0.4396386875273313,weak_or_range,high_vol,idle,658.3018071516068,4.0,True,0.001218704862782749,0.002398009199909623,-0.0030300303003030216,False,False,False,0.004438493018776968,0.010843941537010737,-0.004940563523669894,False,True,False,0.0030091478093403623,0.010843941537010737,-0.004940563523669894,False,True,False,0.016715816080885904,0.02864748580007115,-0.004940563523669894,False,True,False,0.04035267212325455,0.0537129811655781,-0.004940563523669894,False,True,False,after_p4_exit_17_64_bars,False,21.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2024-12-02T01:45:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 01:45:00+00:00,2024-12-02 01:45:00+00:00,663.87,-1,short,665.67,651.91,658.79,658.8283017085967,2.9392857142857207,1.7016713506597145,0.4812617645569102,weak_or_range,high_vol,idle,658.8283017085967,3.0,True,-0.004518957024718606,0.0008442508027921569,-0.004692653673163405,False,True,False,0.004398451504059486,0.009672856686590237,-0.0060933616791928324,False,True,False,0.008842092578366212,0.009672856686590237,-0.0060933616791928324,False,True,False,0.018663292512088203,0.027455775153606865,-0.0060933616791928324,False,True,False,0.040941750643951336,0.05249223159363314,-0.0060933616791928324,False,True,False,after_p4_exit_17_64_bars,False,22.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-02T04:00:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 04:00:00+00:00,2024-12-02 04:00:00+00:00,651.36,1,long,667.94,651.91,659.925,659.7830960893154,4.335714285714281,-1.942723974471437,0.43810601663448867,weak_or_range,high_vol,idle,659.7830960893154,,False,-0.005941414885777485,0.0054040776222057385,-0.006632277081798144,False,False,False,0.002180054040776147,0.005496192581675219,-0.008029353967084263,False,True,False,0.0013203144190616634,0.006002824858756917,-0.008029353967084263,False,True,False,-0.006279169737165358,0.006002824858756917,-0.012650454433800085,False,True,False,-0.02623741095553922,0.006002824858756917,-0.03214812085482688,False,True,False,after_p4_exit_0_4_bars,True,0.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-02T04:15:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 04:15:00+00:00,2024-12-02 04:15:00+00:00,647.49,1,long,667.94,650.52,659.23,658.6123250331901,4.645714285714283,-2.3941044044382194,0.33264929783455727,weak_or_range,high_vol,idle,658.6123250331901,,False,0.005328267618032845,0.0058224837449227795,-0.002100418539282445,False,False,False,0.011336082410539294,0.011753077267602663,-0.002100418539282445,True,False,False,0.0016834236822191873,0.012015629585012899,-0.002100418539282445,True,False,False,-0.0029652967613398307,0.012015629585012899,-0.006749138982841463,True,False,False,-0.01998486463111404,0.012015629585012899,-0.026363341518788053,True,False,False,after_p4_exit_0_4_bars,False,1.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-02T06:15:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 06:15:00+00:00,2024-12-02 06:15:00+00:00,648.58,1,long,667.94,646.13,657.0350000000001,655.0040287340345,4.267857142857159,-1.5052117535812848,0.04264522867815974,weak_or_range,high_vol,idle,655.0040287340345,,False,-0.0017576860217706214,0.0022202349748681183,-0.0032378426716828113,False,False,False,0.0037774831169630207,0.005010946991889975,-0.0032378426716828113,False,False,False,-0.0046409078294119555,0.005010946991889975,-0.008418390946375198,False,True,False,-0.018301520244225822,0.005010946991889975,-0.027475407813993713,False,True,False,-0.013968978383545716,0.005010946991889975,-0.027999629960837602,False,True,False,after_p4_exit_5_16_bars,False,9.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-02T06:30:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 06:30:00+00:00,2024-12-02 06:30:00+00:00,647.43,1,long,667.94,646.13,657.0350000000001,654.2836450450789,4.27500000000001,-1.6008526421236924,0.021727829024265444,weak_or_range,high_vol,idle,654.2836450450789,,False,0.0034752791807608485,0.003969541108691299,-0.0008340670033825104,False,False,False,-0.0018689279149868288,0.006796101509043639,-0.005174304558021592,True,False,False,-0.014858749208408684,0.006796101509043639,-0.016557774585669316,True,False,False,-0.017067482198847683,0.006796101509043639,-0.025747957308125957,True,False,False,-0.010873762414469468,0.006796101509043639,-0.02627311060655202,True,False,False,after_p4_exit_5_16_bars,False,10.0,2024-12,2024Q4,0_0.5
IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_long_2024-12-02T07:30:00+00:00,IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,2024-12-02 07:30:00+00:00,2024-12-02 07:30:00+00:00,646.23,1,long,667.94,646.13,657.0350000000001,652.6078204344883,3.9392857142857287,-1.62156819733156,0.2195011833561132,weak_or_range,high_vol,idle,652.6078204344883,,False,0.00136174427061575,0.0017176547049813085,-0.00481252804728971,False,False,False,-0.013029416771118796,0.003156770809154663,-0.014731597109388317,False,True,False,-0.013013942404407008,0.003156770809154663,-0.02393884530275603,False,True,False,-0.017207495783235105,0.003156770809154663,-0.024464973770948473,False,True,False,0.0008201414357116299,0.003156770809154663,-0.024464973770948473,False,True,False,after_p4_exit_5_16_bars,False,14.0,2024-12,2024Q4,0_0.5
