side,event_count,mean_fwd_ret_1,mean_fwd_ret_4,mean_fwd_ret_8,mean_fwd_ret_16,mean_fwd_ret_32,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
long,15846,-4.662658991710159e-05,-0.00022090361840862986,-0.0003302078219937946,-0.00016956881055292837,0.0004095919846809412,0.46424510423247,0.504358812381554,-0.011715347161565536,0.00984532879452687,0.0027645488670721523,-0.0002102600620910129
short,10906,-3.6021255346979976e-05,-0.00011867295229835495,-0.00012291809340286868,-7.518446339287757e-05,2.5987302776720153e-05,0.495598752980011,0.4748762149275628,-0.009328129287034963,0.009313952580862856,0.00224110686616782,-9.955146740205804e-05
