data_layer,symbol,prototype,gate,leverage_mode,gate_status,candidate_event_count,accepted_event_count,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,atr_stop_count,donchian20_exit_count,end_of_backtest_count
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,usable,219,219,152,441061512.8978322,,-0.9975,1.7964255322087457,0.6052631578947368,10813726470.185122,-9230022039.319983,1.1715818688317907,2,0.013157894736842105,632.5278975571608,441061513897.8322,0.528732858036311,1.4372317880976733,1.7183875929589905,118 days 09:30:00,11,139,0
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,usable,219,219,151,964.6575063714506,,-0.20811590722767126,3.6696360175385023,0.609271523178808,14413.062088164292,-6124.47806338414,2.3533535329866484,0,0.0,1000.0,965657.5063714506,0.15462981289423344,0.4272475210883026,0.5684723416577403,116 days 15:15:00,12,139,0
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,usable,219,133,99,55496250.107278384,,-0.9975,1.3030237336387431,0.6363636363636364,3787902314.0716114,-5087266546.645366,0.7445849906507104,2,0.020202020202020204,1000.0,55496251107.27838,1.5164735660690634,2.3325037238334185,3.0214423209130468,91 days 03:39:00,6,91,0
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,usable,219,133,98,485.2189685777411,,-0.20811590722767137,3.592028611831006,0.6428571428571429,10673.263148475666,-5348.474565035023,1.9955714510172256,0,0.0,1000.0,486218.9685777411,0.1810090129589545,0.39451370181187273,0.5459319080049272,77 days 13:30:00,7,91,0
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,usable,219,219,152,247535452.46467993,,-0.9975,1.6725464868304263,0.6052631578947368,6691222473.6241865,-6134283585.145756,1.0907911870633216,2,0.013157894736842105,785.1173794843169,247535453464.67993,0.7447717523962921,1.4251896176676437,1.7412821205048405,84 days 15:45:00,11,139,0
h4_holdout_strict_replay,ADAUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,usable,219,219,151,964.6575063714506,,-0.20811590722767126,3.6696360175385023,0.609271523178808,14413.062088164292,-6124.47806338414,2.3533535329866484,0,0.0,1000.0,965657.5063714506,0.15462981289423344,0.4272475210883026,0.5684723416577403,116 days 15:15:00,12,139,0
h4_holdout_strict_replay,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,usable,626,626,202,731224.6733181012,,-0.9975,1.2543732161031302,0.5544554455445545,32194983.419001896,-31940149.662334565,1.0079784772257296,2,0.009900990099009901,776.8608317077542,731225673.3181012,1.3093589777717414,2.649220938898818,3.272482330338559,161 days 19:45:00,16,184,0
h4_holdout_strict_replay,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,usable,626,626,201,564.3529375226703,,-0.201126875894848,2.3711397368062737,0.5572139303482587,8713.812259236269,-4624.652084402155,1.8842092551406997,0,0.0,1000.0,565352.9375226704,0.17607862483186174,0.4444297382038625,0.6250211576914436,116 days 15:15:00,17,184,0
h4_holdout_strict_replay,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,usable,626,368,144,494.42355537078043,,-0.9997715135765738,1.103803606116762,0.5625,64907.29373220874,-75604.24185616076,0.8585139158685927,3,0.020833333333333332,32.15967103534342,495423.5553707804,3.7629995987473177,5.337138066195979,6.628036195889398,392 days 11:39:00,12,129,0
h4_holdout_strict_replay,ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,usable,626,368,142,238.03585408592284,,-0.2574169982789192,2.444708760070213,0.5704225352112676,4972.836507904123,-2701.0475910542823,1.841076967460284,0,0.0,1000.0,239035.85408592282,0.19880929710943912,0.45428851087830935,0.6580454125334798,88 days 16:13:00,13,129,0
