symbol,prototype,gate,leverage_mode,proxy_trade_count,strict_trade_count,proxy_total_return,strict_total_return,proxy_profit_factor,strict_profit_factor,proxy_max_drawdown,strict_max_drawdown,proxy_liquidation_count,strict_liquidation_count
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,63,88,1486.42268455912,6015452.467694775,1.3803349532516231,1.3390428287058138,-0.9975,-0.9975,2,2
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,63,87,56.49891665043702,268.1925924447701,3.870862733665234,3.643818872125445,-0.1929034713473276,-0.20811590722767126,0,0
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,201,202,665200.7256953104,2632724.906588337,1.2074556212984726,1.207480075298921,-0.9980274131151144,-0.9975,2,2
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,201,201,564.3529375226703,564.3529375226703,2.3711397368062737,2.3711397368062737,-0.201126875894848,-0.201126875894848,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,144,144,471201547.6421482,471201547.6421482,1.1701879669402937,1.1701879669402937,-0.9163162789132908,-0.9163162789132907,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,144,144,143.78158184088002,143.78158184088002,2.8740233938564588,2.8740233938564588,-0.2071367908280434,-0.20713679082804348,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,82,96,269843524.790547,410581701.5970038,2.080269208005721,1.8563094749944107,-0.8974741345630571,-0.8934266157493413,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,82,96,73.10643262056,88.90394625850489,5.016248095594659,4.4296743374239025,-0.1954313146740869,-0.1922550363009129,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,144,144,1185020148.577437,1185020148.577437,1.5023099894859633,1.5023099894859633,-0.9032127541416548,-0.9032127541416549,0,0
AVAXUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,144,144,143.78158184088002,143.78158184088002,2.8740233938564588,2.8740233938564588,-0.2071367908280434,-0.20713679082804348,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,225,226,65.74459806168971,113.59526847849119,1.0209271620239653,1.0268302152618076,-0.9998652530674068,-0.9997686500276335,2,2
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,225,225,118.6872413654352,118.6872413654352,1.9100197850056893,1.9100197850056893,-0.2489654353283845,-0.24896543532838455,0,0
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,109,145,23736908.215315476,3278707.9801829224,1.2402121667499428,1.1638439998368224,-0.932344694629353,-0.9726218702577559,0,0
