prototype,sizing_mode,original_total_return,remove_best_1_trade_return,remove_best_3_trades_return,remove_best_5_trades_return,remove_best_10pct_winners_return,remove_best_month_return,remove_best_quarter_return,tail_dependence_status
P0_ALL_TREND_CONTEXT,fixed_2x,90.02517586354129,78.07869423256643,61.947943185078984,48.707015202491675,-17.10350454082227,62.1856165010401,61.9465139313914,top10pct_dependent
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,1.3317883758518114,1.150387919664328,0.9891671727318062,0.8451927886690157,0.30877763748228654,1.1584095884552394,1.0427599345009404,not_tail_dependent
P1_C1_FIRST_BREAKOUT,fixed_2x,77.46307186344976,67.16528734577102,53.2606915386964,41.06645444874285,-12.814495155852034,53.465564292781885,55.058743628707376,top10pct_dependent
P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct,1.2465431603459993,1.0658578925890596,0.9098022031763358,0.7690823349992675,0.2859392369895149,1.0847292838442721,1.0230337340253561,not_tail_dependent
P2_STRONG_BREAKOUT,fixed_2x,139.2309979280632,121.30625541627263,101.11164327037429,81.68766959419095,4.3080842258506635,106.75233574027193,102.07096372052484,not_tail_dependent
P2_STRONG_BREAKOUT,fixed_risk_0_5pct,1.4977120121525813,1.3072376212323729,1.1404894734657092,0.9900639605092337,0.5464961701083496,1.2894283032331715,1.2074387777305906,not_tail_dependent
P3_MOMENTUM_TOP20,fixed_2x,10.19086134887856,8.866225520745225,7.002183785776366,5.419622949937928,5.419622949937927,8.392182662420995,7.6090338320528605,not_tail_dependent
P3_MOMENTUM_TOP20,fixed_risk_0_5pct,0.3319000331435334,0.25637810237444564,0.1990496053511877,0.15359230917104097,0.15359230917104102,0.2617815591498069,0.2558973030622886,not_tail_dependent
P4_BREAKOUT_TOP20,fixed_2x,118.173733598211,105.42145545114425,89.80016789093244,76.36676747224195,41.081411240658575,97.35806639615063,88.3757178844724,not_tail_dependent
P4_BREAKOUT_TOP20,fixed_risk_0_5pct,1.2369788461367142,1.1123528193111323,0.9802898991586421,0.885703000105253,0.6382935007409954,1.1072964058852044,0.9744294449404417,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,24.666178111469332,21.672578003735765,17.50390019820821,14.061189934901696,10.768027696079713,19.86902347864311,17.239372275762687,not_tail_dependent
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_risk_0_5pct,0.559970077512101,0.4650944124422964,0.3941944766272341,0.33641404923450846,0.28471021550317,0.47276596074173755,0.4050907399623471,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,104.73843248612931,93.42380919469122,79.47012518139586,66.59571300600882,32.30146565533114,86.26946323725583,78.29975864722336,not_tail_dependent
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_risk_0_5pct,1.2074295884227235,1.0830201152122447,0.9529142994094723,0.859650946070749,0.6131742467573635,1.0797967785888136,0.9551033996729801,not_tail_dependent
