prototype,r7_event_count_h16,r8_trade_count,signal_to_trade_conversion_rate,r7_mean_ret_h16,r8_avg_trade_return,r7_positive_month_rate_h16,r8_positive_month_rate,consistency_status
P0_ALL_TREND_CONTEXT,1278,379,0.2965571205007825,0.0064257004996994,0.2375334455502408,0.9,0.8,consistent
P1_C1_FIRST_BREAKOUT,371,371,1.0,0.0079348939159218,0.20879534194999935,0.9666666666666668,0.7666666666666667,consistent
P2_STRONG_BREAKOUT,777,308,0.3963963963963964,0.007629565553084,0.45204869457163377,0.9666666666666668,0.8666666666666667,consistent
P3_MOMENTUM_TOP20,256,83,0.32421875,0.0115906717840482,0.1227814620346815,0.9,0.7692307692307693,consistent
P4_BREAKOUT_TOP20,256,179,0.69921875,0.0133027219666839,0.6601884558559271,0.9615384615384616,0.8666666666666667,consistent
P5_MOMENTUM_AND_BREAKOUT_TOP40,188,110,0.5851063829787234,0.0133580571099466,0.22423798283153942,0.8823529411764706,0.75,consistent
P6_MOMENTUM_OR_BREAKOUT_TOP20,454,198,0.43612334801762115,0.011073039647297,0.5289819822531784,0.9310344827586208,0.8333333333333334,consistent
