prototype,sizing_mode,window_count,valid_window_count,positive_window_rate,pf_gt_1_window_rate,median_return,worst_return,median_pf,walk_forward_status
P0_ALL_TREND_CONTEXT,fixed_2x,5,5,1.0,1.0,0.47759869702697255,0.3105334840335523,1.9049888941582656,wf_pass
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,5,5,1.0,1.0,0.07570800748854278,0.06065849001941226,2.2000446434119074,wf_pass
P1_C1_FIRST_BREAKOUT,fixed_2x,5,5,1.0,1.0,0.47759869702697255,0.3105334840335523,1.9049888941582656,wf_pass
P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct,5,5,1.0,1.0,0.07570800748854278,0.06065849001941226,2.2000446434119074,wf_pass
P2_STRONG_BREAKOUT,fixed_2x,5,5,1.0,1.0,0.400337673588665,0.3745387371996094,2.5133410753370042,wf_pass
P2_STRONG_BREAKOUT,fixed_risk_0_5pct,5,5,1.0,1.0,0.08322799712966433,0.04716389341186611,2.7876902474282788,wf_pass
P3_MOMENTUM_TOP20,fixed_2x,5,5,1.0,1.0,0.2882155827730053,0.1415345003629107,3.250863968335882,wf_pass
P3_MOMENTUM_TOP20,fixed_risk_0_5pct,5,5,1.0,1.0,0.038812196847102465,0.0035741956669619324,4.48390935250677,wf_pass
P4_BREAKOUT_TOP20,fixed_2x,5,5,1.0,1.0,0.544849288577014,0.31810444629069434,4.611553618246064,wf_pass
P4_BREAKOUT_TOP20,fixed_risk_0_5pct,5,5,1.0,1.0,0.08091602647264184,0.035553864758185894,3.5169830455705906,wf_pass
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,5,5,1.0,1.0,0.29282773835521847,0.12883972120598863,2.4654399064991437,wf_pass
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_risk_0_5pct,5,5,0.8,0.8,0.040012850566608416,-0.0014802533350111169,3.222458491286234,wf_pass
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,5,5,1.0,1.0,0.544849288577014,0.3023301722859857,4.611553618246064,wf_pass
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_risk_0_5pct,5,5,1.0,1.0,0.08091602647264184,0.03261885864898928,3.5169830455705906,wf_pass
