prototype,sizing_mode,trade_count,total_return,annualized_return,max_drawdown,calmar,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,avg_mae_atr,avg_mfe_atr,longest_drawdown_duration,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,top10_profit_contribution,final_equity
P0_ALL_TREND_CONTEXT,fixed_2x,379,90.02517586354126,5.169651506162064,-0.16761147910138596,30.843063577017958,1.8984892559358135,0.42744063324538256,1174.2057949184084,-461.73346964627115,2.5430380773955035,-1.201144461841305,6.869412908914848,56 days 10:30:00,0.13270156393899368,0.31188200866190263,0.45896228765694413,0.7889000533094577,91025.17586354127
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,379,1.331788375851814,0.40706309888534853,-0.04473628656074091,9.099170498486874,2.0422467539752764,0.42744063324538256,16.108602639534016,-5.888503464298152,2.7356021334113274,-1.201144461841305,6.869412908914848,68 days 16:45:00,0.13620816901293334,0.2572639987947519,0.3653700512827869,0.5548705809424067,2331.788375851814
P1_C1_FIRST_BREAKOUT,fixed_2x,371,77.46307186344976,4.810921418265447,-0.18891710447515875,25.465779986576326,1.8697010275134078,0.42048517520215634,1067.5108565574412,-414.2726593465629,2.576831544329376,-1.2185411805816806,6.858716210797492,68 days 06:30:00,0.13293798283434335,0.3124376524522139,0.4698576565471884,0.8129339814461178,78463.07186344976
P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct,371,1.2465431603460004,0.3860834302022256,-0.04865608016661993,7.9349472641467464,1.9959434888257286,0.42048517520215634,16.013868799477397,-5.82149010405802,2.750819551907254,-1.2185411805816806,6.858716210797492,74 days 10:30:00,0.1449490667509554,0.27013982979634255,0.38302791314037143,0.5810815505166381,2246.5431603460006
P2_STRONG_BREAKOUT,fixed_2x,308,139.2309979280632,6.344555454186374,-0.14325483235538194,44.28859641151236,2.21932636546945,0.474025974025974,1735.738466112298,-704.8569020020511,2.462540213740075,-1.0686950960745163,7.251007122429025,76 days 23:15:00,0.12874103309273005,0.27378497048038214,0.41329394452522206,0.7157517523839912,140230.9979280632
P2_STRONG_BREAKOUT,fixed_risk_0_5pct,308,1.4977120121525838,0.44662302744467186,-0.032912941699735576,13.569830114828662,2.533284663452365,0.474025974025974,16.948710414735306,-6.029627829622057,2.8109049005430355,-1.0686950960745163,7.251007122429025,67 days 08:45:00,0.12717691343508045,0.23851216775210057,0.33894904195482317,0.4978228507589393,2497.7120121525836
P3_MOMENTUM_TOP20,fixed_2x,83,10.190861348878565,1.6489677786970631,-0.1848496431385519,8.920589462329113,4.214662710521566,0.5662650602409639,284.27616447568647,-88.05884392996394,3.2282522889101353,-1.0835105979714912,6.184475420020943,169 days 21:00:00,0.12998271517834972,0.31289578514902355,0.4681879416861735,0.7182052083655974,11190.861348878565
P3_MOMENTUM_TOP20,fixed_risk_0_5pct,83,0.3319000331435329,0.12255523039822447,-0.027128252802203656,4.517623427199454,3.6520585587943013,0.5662650602409639,9.724427910846797,-3.4763355185073905,2.797321449289252,-1.0835105979714912,6.184475420020943,169 days 21:00:00,0.2275442097844792,0.4002724149620473,0.5372332213518685,0.7520364265218085,1331.900033143533
P4_BREAKOUT_TOP20,fixed_2x,179,118.17373359821096,5.878000702041987,-0.11308899398343275,51.97677063873341,4.464114854836438,0.5642458100558659,1507.7962541454685,-437.35497526258115,3.4475342443291312,-0.8645138369051572,8.402282836939893,66 days 10:30:00,0.1079112740097075,0.24010044231781896,0.3537754529116608,0.6056632040228304,119173.73359821097
P4_BREAKOUT_TOP20,fixed_risk_0_5pct,179,1.2369788461367137,0.38370011755860545,-0.031218030241152328,12.290977828985607,3.812164986669882,0.5642458100558659,16.6024350705808,-5.639321743486502,2.944048207527235,-0.8645138369051572,8.402282836939893,85 days 14:30:00,0.1007503298983724,0.20751280248627826,0.28397886279830303,0.4531193007445859,2236.978846136714
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,110,24.666178111469335,2.7024521945103297,-0.18668372252710108,14.476099779497442,3.981962847828677,0.5727272727272728,522.8249313602533,-175.99558647290712,2.9706706959991713,-0.968348726827946,7.0332158980351025,141 days 15:45:00,0.12136457031183136,0.29036836922582665,0.4299404686304649,0.7433121839120692,25666.178111469337
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_risk_0_5pct,110,0.5599700775121013,0.1964558650697954,-0.028868045692312605,6.805305324915378,3.8203310770289978,0.5727272727272728,12.039963759617685,-4.224417858379001,2.850088263815284,-0.968348726827946,7.0332158980351025,169 days 21:00:00,0.16942988363115585,0.29604367722895764,0.39922852533626935,0.6103594070000283,1559.9700775121012
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,198,104.73843248612933,5.554027351971835,-0.11308899398343286,49.11200600816628,3.3830688087439853,0.5303030303030303,1416.0905336706746,-472.59218870205905,2.996432373458958,-0.9362081048710178,7.942806403118189,66 days 10:30:00,0.10802742625479443,0.241251532078063,0.3641711888820923,0.6421525714371242,105738.43248612933
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_risk_0_5pct,198,1.2074295884227246,0.3762981549716715,-0.03513253972622077,10.710815611512016,3.34250689745085,0.5303030303030303,16.408313641542193,-5.542401547733409,2.960506109170753,-0.9362081048710178,7.942806403118189,85 days 14:30:00,0.10303662789396739,0.21079099887367062,0.2880322344976494,0.46103932402571823,2207.4295884227245
