prototype,sizing_mode,valid_month_count,positive_month_rate,valid_quarter_count,positive_quarter_rate,worst_month_return,worst_quarter_return,stability_status
P0_ALL_TREND_CONTEXT,fixed_2x,30,0.8,10,1.0,-15.13411156093455,0.5021645428575382,stable
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,30,0.7666666666666667,10,1.0,-0.08224104898630623,0.04748162644334841,stable
P1_C1_FIRST_BREAKOUT,fixed_2x,30,0.7666666666666667,10,1.0,-13.045499464623346,0.3912291745939116,stable
P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct,30,0.7333333333333333,10,1.0,-0.0792344914372315,0.04574579933285807,stable
P2_STRONG_BREAKOUT,fixed_2x,30,0.8666666666666667,10,1.0,-14.061471284305984,0.8941468840843778,stable
P2_STRONG_BREAKOUT,fixed_risk_0_5pct,30,0.8666666666666667,10,1.0,-0.06450746868842641,0.03709242301121675,stable
P3_MOMENTUM_TOP20,fixed_2x,15,0.7333333333333333,10,1.0,-0.17942670275924005,0.02332008085502839,stable
P3_MOMENTUM_TOP20,fixed_risk_0_5pct,15,0.7333333333333333,10,1.0,-0.013119572144899798,0.0012071162034047117,stable
P4_BREAKOUT_TOP20,fixed_2x,27,0.8518518518518519,10,1.0,-3.5470092839768794,0.52071460884593,stable
P4_BREAKOUT_TOP20,fixed_risk_0_5pct,27,0.8148148148148148,10,1.0,-0.02330382016671757,0.05117872938733884,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,20,0.8,10,1.0,-0.18772129919295155,0.06973787457934688,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_risk_0_5pct,20,0.8,10,0.9,-0.011609592025679797,-0.0016795687543738804,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,29,0.8275862068965517,10,1.0,-3.147129743924491,0.737829048378877,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_risk_0_5pct,29,0.7931034482758621,10,1.0,-0.02330789900742809,0.048991595913603254,stable
