prototype,sizing_mode,period,trade_count,net_pnl,return,profit_factor,max_drawdown,win_rate
P0_ALL_TREND_CONTEXT,fixed_2x,2024Q1,46,798.7334768284124,0.7987334768284124,2.011957083246512,-0.0805346604735685,0.43478260869565216
P0_ALL_TREND_CONTEXT,fixed_2x,2024Q2,34,949.0465452558992,0.9490465452558993,2.0703090772669577,-0.11886434710333138,0.4411764705882353
P0_ALL_TREND_CONTEXT,fixed_2x,2024Q3,40,502.1645428575382,0.5021645428575382,1.47301638974917,-0.3328020618892842,0.4
P0_ALL_TREND_CONTEXT,fixed_2x,2024Q4,43,2844.724483531609,2.8447244835316092,2.2853239347494902,-0.21268037931198525,0.46511627906976744
P0_ALL_TREND_CONTEXT,fixed_2x,2025Q1,31,2910.8059963615437,2.910805996361544,2.742715322968715,-0.4178105736306895,0.4838709677419355
P0_ALL_TREND_CONTEXT,fixed_2x,2025Q2,49,5778.646619293775,5.778646619293775,1.70533818630351,-0.832462023495972,0.3673469387755102
P0_ALL_TREND_CONTEXT,fixed_2x,2025Q3,42,28078.661932149887,28.07866193214989,3.076386981000166,-0.41210749348621767,0.4523809523809524
P0_ALL_TREND_CONTEXT,fixed_2x,2025Q4,29,16408.884926807164,16.408884926807165,1.9049888941582656,-0.5167817484377404,0.3448275862068966
P0_ALL_TREND_CONTEXT,fixed_2x,2026Q1,32,17101.74597503226,17.10174597503226,1.6626613816836409,-0.538713999187997,0.46875
P0_ALL_TREND_CONTEXT,fixed_2x,2026Q2,33,14651.761365423212,14.651761365423212,1.5247727695863773,-0.6000855189366134,0.42424242424242425
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2024Q1,46,124.03976935831274,0.12403976935831273,2.138783722626254,-0.02242526901852293,0.43478260869565216
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2024Q2,34,107.70794687957387,0.10770794687957387,2.058843453475668,-0.02503183231850925,0.4411764705882353
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2024Q3,40,68.78190384322805,0.06878190384322805,1.6667133962844036,-0.04200094402870791,0.4
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2024Q4,43,137.8606438179683,0.1378606438179683,2.1743275399095157,-0.019519034267330926,0.46511627906976744
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2025Q1,31,87.25058146674165,0.08725058146674165,2.3795522600912853,-0.03929413672487847,0.4838709677419355
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2025Q2,49,168.20927281980403,0.16820927281980402,1.8911825181298574,-0.04947238383422192,0.3673469387755102
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2025Q3,42,289.02844135087116,0.28902844135087113,2.7752698141039684,-0.05953120518096233,0.4523809523809524
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2025Q4,29,143.85844836978177,0.14385844836978176,2.006612400244417,-0.056157979046014384,0.3448275862068966
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2026Q1,32,157.56974150218153,0.15756974150218153,2.174396154390137,-0.02943804110408721,0.46875
P0_ALL_TREND_CONTEXT,fixed_risk_0_5pct,2026Q2,33,47.48162644334841,0.04748162644334841,1.306902350683123,-0.09578164947323287,0.42424242424242425
P1_C1_FIRST_BREAKOUT,fixed_2x,2024Q1,43,815.7586584497908,0.8157586584497908,2.1086818272953427,-0.0805346604735685,0.4186046511627907
P1_C1_FIRST_BREAKOUT,fixed_2x,2024Q2,34,958.0293601132812,0.9580293601132812,2.0703090772669572,-0.11937359452450402,0.4411764705882353
P1_C1_FIRST_BREAKOUT,fixed_2x,2024Q3,39,391.2291745939116,0.3912291745939116,1.3675420124634439,-0.40301586763816166,0.38461538461538464
P1_C1_FIRST_BREAKOUT,fixed_2x,2024Q4,43,2770.386300522411,2.770386300522411,2.2853239347494916,-0.20890272941013077,0.46511627906976744
P1_C1_FIRST_BREAKOUT,fixed_2x,2025Q1,31,2834.740974910623,2.8347409749106234,2.7427153229687153,-0.4139155010792027,0.4838709677419355
P1_C1_FIRST_BREAKOUT,fixed_2x,2025Q2,47,5772.950223090774,5.772950223090774,1.7264019586944732,-0.771459224616291,0.3617021276595745
P1_C1_FIRST_BREAKOUT,fixed_2x,2025Q3,40,22404.328234742403,22.4043282347424,2.7638999346312274,-0.4084486210999032,0.425
P1_C1_FIRST_BREAKOUT,fixed_2x,2025Q4,29,14144.345286860722,14.144345286860721,1.9049888941582656,-0.5044900591455053,0.3448275862068966
P1_C1_FIRST_BREAKOUT,fixed_2x,2026Q1,32,14741.58671707525,14.74158671707525,1.6626613816836406,-0.5250007681231291,0.46875
