window_start,window_end,mode,trades,micro_1m,micro_1s,micro_1m_all_loss,micro_1s_net_peak_pos,mean_delta_1s_1m,overstate_1m,understate_1m,exact_match
2025-04-01 00:00:00,2025-06-30 23:59:59,B2,23,4,4,4,3,0.0,0,0,23
2025-04-01 00:00:00,2025-06-30 23:59:59,B3,11,1,1,1,1,0.0,0,0,11
