symbol,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,1433,0.0008487478414622213,0.001464511742245822,0.48639218422889047,0.47173761339846476,-0.012483644762038643,0.01055926441439766,0.011209224304456703,0.000679885136797222
BTCUSDT,1319,-0.0007996276538833318,0.00038674351885759073,0.4369300911854103,0.5091185410334347,-0.010350992781865324,0.0077782607495038535,0.032871917853714086,-0.0010471248966746193
ETHUSDT,1319,0.0002481755449041669,0.0008548013604456894,0.45716451857467777,0.4844579226686884,-0.013105270864646175,0.011337090210915392,0.01836642076215652,-3.701610188650226e-05
SOLUSDT,1287,0.003618509123340744,0.0013862528227643889,0.48364485981308414,0.48442367601246106,-0.018511408513683915,0.020782803640361884,0.015709643932571363,0.003124632305002261
