symbol,quarter,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret,positive_period,sample_status
BNBUSDT,2020Q1,24,-0.004621223114954572,-0.00021422531381110055,0.2916666666666667,0.625,-0.020940561272347055,0.012945687170685644,0.3146710874394034,-0.007956484503580483,False,insufficient_sample
BNBUSDT,2020Q2,61,0.0031661179012754934,0.00528755613501386,0.3442622950819672,0.39344262295081966,-0.012340223792974368,0.011990964971706762,0.08654983567603088,0.001793369023308555,True,valid
BNBUSDT,2020Q3,29,0.00962883879311051,0.004586346798377106,0.7931034482758621,0.20689655172413793,-0.007678159008648839,0.020066398385418693,0.2378822938342387,0.00181829599314551,True,insufficient_sample
BNBUSDT,2020Q4,66,0.006572595698213951,0.004305093516070113,0.6060606060606061,0.3484848484848485,-0.013054869344400127,0.01670481871982327,0.12384688547842056,0.003652558360143824,True,valid
BNBUSDT,2021Q1,57,0.003064702027711229,0.007729955529686583,0.45614035087719296,0.543859649122807,-0.023007570024258784,0.016091005989069703,0.06999417496088867,0.0011747951332444731,True,valid
BNBUSDT,2021Q2,45,0.005335361692568257,0.00603140373340505,0.4444444444444444,0.5555555555555556,-0.034317154379350644,0.02560110224965695,0.08126219639317772,0.002301211367531142,True,valid
BNBUSDT,2021Q3,76,-0.005739373870622446,-0.0023091011712513265,0.5,0.4605263157894737,-0.019196117690763008,0.011661283879227538,0.08988755631127214,-0.006772231774975927,False,valid
BNBUSDT,2021Q4,72,-0.007429774265984407,-0.00349742686434501,0.375,0.6111111111111112,-0.023892535812414246,0.008473107595488269,0.14876652167732152,-0.008769313254348687,False,valid
BNBUSDT,2022Q1,59,0.001592993428853912,0.0022120234846605413,0.5254237288135594,0.4745762711864407,-0.009718890885477994,0.010211315340995617,0.08057999101169734,0.0004577453073127779,True,valid
BNBUSDT,2022Q2,65,0.000384086876475234,0.0007422932494979273,0.4153846153846154,0.5846153846153846,-0.015928779219541753,0.012265737632958336,0.056629440878450496,-0.0009472498896364321,True,valid
BNBUSDT,2022Q3,85,-5.3209470972639135e-05,0.0007441641861194448,0.4,0.5294117647058824,-0.010038001681288329,0.009173951031587621,0.06361954166527271,-0.0008370999247321875,False,valid
BNBUSDT,2022Q4,19,-0.0016369492197401254,-0.0004992355455709641,0.42105263157894735,0.5263157894736842,-0.008416921414283992,0.005162606245187636,0.4923084043892112,-0.004310873001570126,False,insufficient_sample
BNBUSDT,2023Q1,44,0.009196436850770102,0.005669191347134062,0.5909090909090909,0.4090909090909091,-0.005839518749383899,0.014741002643900743,0.141650386956023,0.005603209247987182,True,valid
BNBUSDT,2023Q2,37,0.005443852785178512,0.004841691364183109,0.7297297297297297,0.2702702702702703,-0.004101605097621372,0.009480772051755102,0.10329615271644113,0.004309170039910708,True,valid
BNBUSDT,2023Q3,50,-0.0010255419061614268,0.0007025140432276311,0.5,0.48,-0.006607577197210574,0.004048900869594605,0.10774641006793778,-0.0016110134489358877,False,valid
BNBUSDT,2023Q4,63,0.0022324204957073273,0.0018370230805462295,0.5079365079365079,0.4444444444444444,-0.006125024400634539,0.008282985492182461,0.16021274674218677,0.0007518899637961447,True,valid
BNBUSDT,2024Q1,47,-0.0040178721210068925,0.0,0.46808510638297873,0.5106382978723404,-0.026543599480162543,0.011200481923024475,0.1120688194780671,-0.005716817492686758,False,valid
BNBUSDT,2024Q2,42,-0.006726571071078681,-0.0010937583211123592,0.5714285714285714,0.42857142857142855,-0.019863280100215236,0.006620120412989354,0.16497622076199947,-0.00836192351729939,False,valid
BNBUSDT,2024Q3,78,0.00251974268110545,0.003347709311570801,0.46153846153846156,0.5256410256410257,-0.006933009084540236,0.008015118969778886,0.06531974610480605,0.0017820764348873356,True,valid
BNBUSDT,2024Q4,62,0.0024396279373107145,0.003999247002309803,0.4838709677419355,0.5,-0.010578544672694564,0.01042898034878866,0.1029748383020665,0.0011273907637163118,True,valid
BNBUSDT,2025Q1,68,0.0004506237058278125,-0.00036676980088024,0.36764705882352944,0.5441176470588235,-0.007471481247513114,0.006455616107492982,0.061597786346118476,-0.00012692715765864486,True,valid
BNBUSDT,2025Q2,48,0.003279606893497639,0.0018498625013564363,0.6041666666666666,0.3958333333333333,-0.003648641219897407,0.007425948629723188,0.11594017482894732,0.002058339999335031,True,valid
BNBUSDT,2025Q3,51,-0.00025461869267576047,0.00048571459410440276,0.49019607843137253,0.45098039215686275,-0.006992723366861674,0.006363202948862065,0.1268173066716789,-0.0009809314200664814,False,valid
BNBUSDT,2025Q4,46,-0.0008365813964711679,0.004988615467500179,0.5434782608695652,0.391304347826087,-0.014937004829934762,0.016289999177231645,0.08613864285740337,-0.0036458344608777033,False,valid
BNBUSDT,2026Q1,59,-0.00026069562686642793,0.00018266508356901134,0.5084745762711864,0.423728813559322,-0.008220284868159726,0.006772805504515665,0.13917577501578016,-0.0017546794295762288,False,valid
BNBUSDT,2026Q2,80,0.0025118421089114717,0.0011989449593841073,0.4875,0.45,-0.0034663944764389346,0.006160836778585474,0.09624711361048562,0.0018021994068846126,True,valid
BTCUSDT,2020Q1,32,0.0016040841892435917,0.0006090533368535711,0.46875,0.46875,-0.009446082803744628,0.011470439699082187,0.19509786805430723,-7.677293597057198e-05,True,valid
BTCUSDT,2020Q2,46,0.0010554757024487165,0.0016071697031123655,0.17391304347826086,0.5217391304347826,-0.011665738716760424,0.007148656234344676,0.13071336851559143,-0.0002695276909618801,True,valid
BTCUSDT,2020Q3,35,0.0005039618749833512,0.0009389088920028765,0.3142857142857143,0.6857142857142857,-0.005883928881145614,0.0046380773042117894,0.13040975990185563,-0.0005522269879845824,True,valid
BTCUSDT,2020Q4,30,0.007882706452800965,0.007490407207205174,0.5333333333333333,0.4666666666666667,-0.0076565388612923726,0.012509480764868464,0.13617897867869994,0.005438883132990622,True,valid
BTCUSDT,2021Q1,23,0.005100415722463264,0.0009336161065887083,0.4782608695652174,0.4782608695652174,-0.021921957430118984,0.022635993091073982,0.45428069767081963,-0.005908559827597271,True,insufficient_sample
BTCUSDT,2021Q2,49,0.0031649307199120643,0.003709237689024647,0.5918367346938775,0.40816326530612246,-0.010158529323149677,0.013248023256226572,0.15306779408122204,0.0015620740427255118,True,valid
BTCUSDT,2021Q3,79,-0.0007618323952103661,-0.003810251957182431,0.379746835443038,0.5822784810126582,-0.011101776092934829,0.009238277626760575,0.21495187176554656,-0.003162463692781947,False,valid
BTCUSDT,2021Q4,54,-0.003865590093488029,-0.004910694477921584,0.35185185185185186,0.6111111111111112,-0.01392507124015523,0.0066038523007686,0.11919739791167273,-0.004979365305220613,False,valid
BTCUSDT,2022Q1,55,-0.00838775769363146,-0.0037588803168495666,0.2909090909090909,0.6,-0.02046335808749098,0.00940665116879999,0.17937902229664016,-0.01059293233000173,False,valid
BTCUSDT,2022Q2,49,-0.00556719202146218,-0.00011847298477452028,0.3673469387755102,0.46938775510204084,-0.015395140479578136,0.006600482115445817,0.12886565786526813,-0.006768133037580168,False,valid
BTCUSDT,2022Q3,91,-0.002427556536156804,0.001076193564456318,0.45054945054945056,0.5384615384615384,-0.01368748341921411,0.010249685789502808,0.13298271151455582,-0.004042632756729051,False,valid
BTCUSDT,2022Q4,20,-0.002219141388969631,-0.0021651638213410207,0.35,0.6,-0.006248175343200224,0.003674171054264519,0.3132280069376961,-0.003499176711142089,False,insufficient_sample
BTCUSDT,2023Q1,19,0.0074615517133839356,0.005466230983964815,0.7368421052631579,0.15789473684210525,-0.003882867159376147,0.013283944014188368,0.22821963917122343,0.004480640899295521,True,insufficient_sample
BTCUSDT,2023Q2,27,0.0049584932408269,0.0018411753766041095,0.4074074074074074,0.5925925925925926,-0.006824224971285254,0.009533599525597937,0.23271145049264788,0.0021911934051943214,True,insufficient_sample
BTCUSDT,2023Q3,47,-0.0014585106332689187,0.0004761775716493055,0.46808510638297873,0.5106382978723404,-0.008396960661395394,0.003913676564190788,0.09904951638172853,-0.001990983825285675,False,valid
BTCUSDT,2023Q4,26,0.003027439464134717,0.002659563872009052,0.5,0.38461538461538464,-0.003965795754445722,0.006077298259959601,0.17072050688088733,0.001963279057590779,True,insufficient_sample
BTCUSDT,2024Q1,27,-0.004465734063272064,-0.003802901576619555,0.5555555555555556,0.4444444444444444,-0.016296552153184842,0.006626984823381919,0.26395018885503246,-0.00763930986280241,False,insufficient_sample
BTCUSDT,2024Q2,74,-0.006577569109354401,-0.004629830922779188,0.4189189189189189,0.5675675675675675,-0.0166490024022401,0.00559348437802969,0.08937757522970506,-0.007354395935645204,False,valid
BTCUSDT,2024Q3,61,-0.0011124026765471303,0.0010606331572693417,0.3770491803278688,0.6065573770491803,-0.00955770455778294,0.006770898240298692,0.07817740052553335,-0.0016699181517987422,False,valid
