symbol,event_count,observed_mean,random_mean,random_p05,random_p50,random_p95,percentile_vs_random_time,matched_event_count,fallback_match_rate,random_runs
BNBUSDT,1433,0.0008487478414622213,0.00021477359018301826,-0.00034104091338255213,0.00021622313506023278,0.0007559590867283638,0.9700099966677774,1433,0.0,3000
BTCUSDT,1319,-0.0007996276538833318,-0.0012264636094338078,-0.0016660178412968912,-0.001224632651660677,-0.0007640083507621492,0.9366877707430856,1319,0.002274450341167551,3000
ETHUSDT,1319,0.0002481755449041669,-0.000517288112211881,-0.0010968133147350354,-0.0005161898632813338,6.394372703726513e-05,0.9826724425191603,1319,0.0,3000
SOLUSDT,1287,0.003618509123340744,0.000647499119752345,-0.0004544407667196161,0.0006359791539136015,0.0017889969918370619,1.0,1287,0.0,3000
