symbol,year,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret,positive_period,sample_status
BNBUSDT,2020,180,0.004418063768340116,0.0031459696446984875,0.5055555555555555,0.37777777777777777,-0.012997861721605504,0.015147716355866923,0.05899506656282885,0.0031143026390162984,True,valid
BNBUSDT,2021,250,-0.0022254274782922863,-0.0006835667730323292,0.444,0.54,-0.02413948384578138,0.014262233057231935,0.03032802072265645,-0.002833187321062088,False,valid
BNBUSDT,2022,228,0.00036547113625234347,0.0008176190418998086,0.43859649122807015,0.5307017543859649,-0.011499723075852276,0.009989543454405904,0.023306777556149117,-1.6343158347314418e-06,True,valid
BNBUSDT,2023,194,0.0035846967546751536,0.002302345565229902,0.5670103092783505,0.41237113402061853,-0.005798729951986531,0.008884875318215447,0.06036155942014965,0.002725233131626019,True,valid
BNBUSDT,2024,229,-0.0005395594473062847,0.0015972222222222499,0.4890829694323144,0.4978165938864629,-0.014316381738331356,0.009066566676835605,0.0340605187185872,-0.0009337303062798126,False,valid
BNBUSDT,2025,213,0.0006412922315494855,0.0013271096467142307,0.48826291079812206,0.45539906103286387,-0.00810763670081179,0.008776012873619047,0.03941193381409144,8.717670352368051e-05,True,valid
BNBUSDT,2026,139,0.0013350095448043057,0.000978797518460528,0.49640287769784175,0.43884892086330934,-0.00548423284414776,0.0064205932881529655,0.06257067956984662,0.0007097341575820302,True,partial_year
BTCUSDT,2020,143,0.0024755415075306446,0.0017717014757705485,0.34965034965034963,0.5384615384615384,-0.008912813338249477,0.008625939760447215,0.054424271925359924,0.001848028754056096,True,valid
BTCUSDT,2021,205,1.690020791401816e-05,-0.0016135090662253715,0.43414634146341463,0.5365853658536586,-0.01283398593188929,0.011005916767831187,0.13473830031096617,-0.0015797052188165205,True,valid
BTCUSDT,2022,215,-0.004648416533818786,-0.001801252075547044,0.3813953488372093,0.5441860465116279,-0.015118005006157306,0.008590671004050653,0.07654466163949375,-0.005350252795155311,False,valid
BTCUSDT,2023,119,0.0024017834147939876,0.0016554978389309305,0.5042016806722689,0.44537815126050423,-0.00635123017608421,0.007157602325517983,0.0808967943942638,0.0015867947810446854,True,valid
BTCUSDT,2024,230,-0.0036332380829381386,-0.003039579259378422,0.391304347826087,0.5869565217391305,-0.01262469856654538,0.006459407261672047,0.04390134387619903,-0.003993642865218404,False,valid
BTCUSDT,2025,292,0.0006967177037436376,0.0012471447082700315,0.5171232876712328,0.4554794520547945,-0.006825501672462948,0.006502330579009722,0.0247362478349661,0.000468517274152236,True,valid
BTCUSDT,2026,115,-0.0005712183278262188,-0.0005449477095554878,0.4732142857142857,0.4017857142857143,-0.007263504032011848,0.005922997154774871,0.07224649294614094,-0.001033395966679682,False,partial_year
ETHUSDT,2020,193,0.0014875102912503685,0.0026841082281801043,0.39378238341968913,0.533678756476684,-0.014776767006646605,0.012467000284706726,0.03354621763040788,0.0008762651262704906,True,valid
ETHUSDT,2021,212,0.0008415529715696022,0.0002853188657166994,0.45754716981132076,0.5330188679245284,-0.015617424590887791,0.014965963270435098,0.0559923898403719,-0.00012945301069224401,True,valid
ETHUSDT,2022,214,-0.004496745904086072,-0.0003427654399196789,0.4439252336448598,0.5280373831775701,-0.01778508641420671,0.011557120115450148,0.04046663569182426,-0.005038298584679996,False,valid
ETHUSDT,2023,154,0.0014139983788574368,0.001579229924704384,0.4935064935064935,0.461038961038961,-0.00984735730156691,0.008309722839758373,0.0616828141908768,0.0006522297805576716,True,valid
ETHUSDT,2024,170,-0.0008936539897974304,0.0003848307057088829,0.5176470588235295,0.4647058823529412,-0.013311906128051186,0.008925293866207606,0.0764216522425613,-0.0015369440391324945,False,valid
ETHUSDT,2025,258,0.0027623784899786417,0.0012801296057041167,0.5038759689922481,0.4496124031007752,-0.010967395992405338,0.012766028312814478,0.07747528002309031,0.001320144770993163,True,valid
ETHUSDT,2026,118,0.00038661210615226394,9.272999212783795e-05,0.3474576271186441,0.3728813559322034,-0.005999394068021001,0.006871613863781492,0.08735681721130079,-0.00015556114194256707,True,partial_year
SOLUSDT,2020,97,0.0011813230118739027,0.001992846193152875,0.3711340206185567,0.6185567010309279,-0.02400699624377208,0.022577960962724228,0.07032443488006496,-0.0010773192000231302,True,valid
SOLUSDT,2021,239,0.012298332841772593,0.003964979831316384,0.5397489539748954,0.4309623430962343,-0.02696970842649019,0.03751954516393917,0.028198043924926117,0.010652877596007932,True,valid
SOLUSDT,2022,214,-0.004863745848277979,-0.003558887668099864,0.4252336448598131,0.5654205607476636,-0.022076291945253408,0.016036508799880472,0.07113700443915182,-0.006012666867420047,False,valid
SOLUSDT,2023,151,0.0016773057554081714,0.001328292633084649,0.5761589403973509,0.4105960264900662,-0.016672678079328183,0.01613857502396659,0.03932258075564307,0.0009394896500907895,True,valid
SOLUSDT,2024,232,0.0021525907213366634,0.002061166980247442,0.5043103448275862,0.46120689655172414,-0.01618199351028859,0.015615671599727364,0.056108625796356115,0.001096494060887382,True,valid
SOLUSDT,2025,250,0.008609908071570301,0.002906548254100305,0.468,0.504,-0.011853482201961803,0.020836709226851692,0.06981425405919789,0.00610917119931561,True,valid
SOLUSDT,2026,104,-0.002693403858848818,-0.000729571984435684,0.43564356435643564,0.42574257425742573,-0.01024470961240504,0.008189460762533676,0.07616725754709895,-0.003568874698147348,False,partial_year
