symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
ETHUSDT,2025-12,10,-0.050228158747129936,True,True,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-01,13,0.0329314444752028,False,False,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-02,6,-0.0014189149450042349,True,True,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-03,13,-0.051856562830450925,True,True,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-04,12,0.09932467081367513,False,False,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-05,12,-0.10843576138236588,True,True,realistic_p4_trade_return_1x_exit_month
ETHUSDT,2026-06,9,-0.06986940019201648,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-01,14,0.08503624569716839,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-02,13,-0.0795264909655935,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-03,12,-0.03663695325965677,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-04,18,0.0495309757008322,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-05,11,0.06857136354114146,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-06,9,-0.03909711602666022,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-07,12,0.13615859154176813,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-08,12,-0.030559723215378587,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-09,15,-0.015989559561354727,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-10,15,0.06797048363297642,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-11,14,0.04182707577053357,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2020-12,18,0.2313834665008182,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-01,13,0.09500610189384529,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-02,12,0.28651252239185376,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-03,19,0.04111297577399142,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-04,11,-0.002155160506042808,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-05,11,-0.09159005319517699,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-06,13,-0.03315024955059498,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-07,15,0.0538891508698609,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-08,17,-0.05538262363951851,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-09,12,-0.017835426991869796,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-10,18,0.11993801201255927,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-11,12,-0.014968417914673626,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2021-12,9,-0.062056502753052634,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-01,8,-0.04126150901901404,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-02,14,-0.13005255769508828,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-03,13,0.10420353463135013,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-04,8,-0.08660966450864549,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-05,9,-0.029845964216551724,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-06,6,-0.04062103901568803,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-07,16,0.010733918693149214,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-08,8,-0.02382530741404154,True,True,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-09,8,0.034619352909709744,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-10,8,0.05868298217824841,False,False,realistic_p4_trade_return_1x_exit_month
BTCUSDT,2022-11,7,-0.01108227097460146,True,True,realistic_p4_trade_return_1x_exit_month
