prototype,symbol,side,side_scope,sizing_mode,event_id,signal_time,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,quantity,atr,gross_pnl,entry_fee,exit_fee,total_fee,funding_fee,funding_status,net_pnl,trade_return,equity_before,equity_after,mae_atr,mfe_atr,bars_held,exit_reason
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-04-17T08:15:00+00:00,2020-04-17 08:15:00+00:00,2020-04-17 08:15:00+00:00,2020-04-17 09:31:00+00:00,15.693,15.6898614,15.802289971428571,15.805450429422857,42.316293490399474,0.11242857142857142,-4.891299293328036,0.331968389913045,0.334414039559709,0.6663824294727541,0.0,unavailable,-5.5576817228007895,-0.00584089451945984,951.5120850555538,945.954403332753,-1.1042426329956503,0.6959949373376189,5.066666666666666,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-04-26T18:45:00+00:00,2020-04-26 18:45:00+00:00,2020-04-26 18:45:00+00:00,2020-04-26 21:23:00+00:00,16.33,16.326734,16.379876857142854,16.38315283251428,57.08059975615232,0.053142857142856874,-3.2204207974571384,0.4659698843895818,0.4675800947883104,0.9335499791778923,0.0,unavailable,-4.153970776635031,-0.004457338248454309,931.9397687791636,927.7857980025286,-1.148544928742196,1.3557902047164876,10.533333333333333,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-06-10T18:45:00+00:00,2020-06-10 18:45:00+00:00,2020-06-10 18:45:00+00:00,2020-06-10 18:45:00+00:00,17.55,17.546490000000002,17.58649,17.590007298,52.8972297236712,0.03999999999999991,-2.30194450925933,0.4640803561870498,0.46523132844167947,0.9293116846287293,0.0,unavailable,-3.231256193888059,-0.0034813541995577226,928.1607123740996,924.9294561802116,-1.085059380187556,0.0,0.0,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-08-04T01:00:00+00:00,2020-08-04 01:00:00+00:00,2020-08-04 01:00:00+00:00,2020-08-04 02:37:00+00:00,22.443,22.438511400000003,22.101001411512907,22.105421611795208,20.886807785501063,0.22271428571428636,6.9571823815468115,0.2343344373022872,0.23085584611151383,0.46519028341380103,0.0,unavailable,6.49199209813301,0.006977949813637829,930.3580953598929,936.8500874580259,-0.0739804024980919,1.9241807842422942,6.466666666666667,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-08-10T14:15:00+00:00,2020-08-10 14:15:00+00:00,2020-08-10 14:15:00+00:00,2020-08-10 14:41:00+00:00,22.676,22.6714648,22.526078520362425,22.530583736066497,41.48262812074417,0.09721428571428627,5.84411678440826,0.47023597162547076,0.4673139132332666,0.9375498848587374,0.0,unavailable,4.906566899549523,0.0052171326691458015,940.4719432509414,945.3785101504909,-0.0877647546561639,1.662395989138463,1.7333333333333334,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-09-01T15:00:00+00:00,2020-09-01 15:00:00+00:00,2020-09-01 15:00:00+00:00,2020-09-01 18:45:00+00:00,23.8,23.79524,23.86,23.864772,25.468187547666,0.18785714285714253,-1.770854016564282,0.3030108175308619,0.30389624453914404,0.6069070620700059,0.0,unavailable,-2.377761078634288,-0.002484920311787045,956.8761892908781,954.4984282122438,-0.8079840299355928,1.8374363724793117,15.0,trend_restart_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-10-03T23:45:00+00:00,2020-10-03 23:45:00+00:00,2020-10-03 23:45:00+00:00,2020-10-04 00:01:00+00:00,28.156,28.1503688,27.923000000000002,27.9285846,32.82760746759175,0.1466428571428572,7.280644660113807,0.46205462851717083,0.45841430618711393,0.9204689347042847,0.0,unavailable,6.360175725409522,0.006606006152459755,962.7868304423698,969.1470061677793,-0.7108681720258452,2.070393021976641,1.0666666666666667,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-10-04T00:15:00+00:00,2020-10-04 00:15:00+00:00,2020-10-04 00:15:00+00:00,2020-10-04 01:00:00+00:00,28.245,28.239351000000003,28.365,28.370672999999996,27.432385940859145,0.17664285714285682,-3.6024757865253325,0.38733638767569334,0.38913762556895604,0.7764740132446494,0.0,unavailable,-4.378949799769982,-0.004518354565305128,969.1470061677793,964.7680563680093,-0.8315141478606198,0.20037781119075523,3.0,trend_restart_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-10-14T13:45:00+00:00,2020-10-14 13:45:00+00:00,2020-10-14 13:45:00+00:00,2020-10-14 14:01:00+00:00,31.001,30.994799800000003,30.8475,30.8536695,30.502498587432118,0.15899999999999967,4.304826776393991,0.4727094185586207,0.4705570051704237,0.9432664237290445,0.0,unavailable,3.361560352664947,0.003465599539308308,969.9794550803392,973.3410154330041,-0.6281592197010022,1.0674473535735585,1.0666666666666667,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BNBUSDT,short,short_only,fixed_risk_0_5pct,IDLE_MR1_P4_IDLE_REVERSION_BNBUSDT_short_2020-10-26T19:45:00+00:00,2020-10-26 19:45:00+00:00,2020-10-26 19:45:00+00:00,2020-10-26 22:37:00+00:00,31.067,31.0607866,31.265643742857144,31.271896871605716,23.899786915324675,0.20485714285714327,-5.045490507012915,0.37117309058118597,0.37369583583469246,0.7448689264158784,0.0,unavailable,-5.790359433428794,-0.005913306462310406,979.20841247359,973.4180530401612,-0.9951641690895818,0.9617850492613428,11.466666666666667,atr_stop
