prototype,symbol,side,side_scope,sizing_mode,event_id,signal_time,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,quantity,atr,gross_pnl,entry_fee,exit_fee,total_fee,funding_fee,funding_status,net_pnl,trade_return,equity_before,equity_after,mae_atr,mfe_atr,bars_held,exit_reason
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-03-03T10:30:00+00:00,2020-03-03 10:30:00+00:00,2020-03-03 10:30:00+00:00,2020-03-03 12:00:00+00:00,8857.39,8855.618521999999,8883.034236285714,8884.810843132971,0.1114539668766701,27.415714285714266,-3.2535999926074015,0.49349690671170704,0.49512370670801076,0.9886206134197177,0.0,unavailable,-4.24222060602712,-0.00429812279300198,986.993813423414,982.751592817387,-1.0319194369294604,1.1122511918531208,6.0,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-04-18T13:00:00+00:00,2020-04-18 13:00:00+00:00,2020-04-18 13:00:00+00:00,2020-04-18 13:05:00+00:00,7127.34,7125.914532000001,7148.638817714286,7150.068545477829,0.13376907550840028,22.724285714285674,-3.2310600527464786,0.4766134995487575,0.4782290295751307,0.9548425291238882,0.0,unavailable,-4.185902581870367,-0.004391296706695726,953.226999097515,949.0410965156447,-1.3755218751354017,0.5371082748887651,0.3333333333333333,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-04-18T13:15:00+00:00,2020-04-18 13:15:00+00:00,2020-04-18 13:15:00+00:00,2020-04-18 13:47:00+00:00,7157.16,7155.728568,7183.257853714286,7184.694505285029,0.13262676015405347,27.529285714285702,-3.8416584169388037,0.4745205482578223,0.47644137746629167,0.950961925724114,0.0,unavailable,-4.792620342662917,-0.005049960808081731,949.0410965156447,944.2484761729818,-3.025169997377216,0.5131408302776487,2.1333333333333333,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-05-18T01:15:00+00:00,2020-05-18 01:15:00+00:00,2020-05-18 01:15:00+00:00,2020-05-18 01:20:00+00:00,9858.1,9856.12838,9917.461951428571,9919.445443818857,0.0953329804049654,61.333571428571304,-6.036204404343009,0.4698070468596818,0.47282514906185324,0.942632195921535,0.0,unavailable,-6.978836600264544,-0.007427343466762567,939.6140937193634,932.6352571190988,-1.0467462964782803,0.21008401935863516,0.3333333333333333,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-06-01T12:30:00+00:00,2020-06-01 12:30:00+00:00,2020-06-01 12:30:00+00:00,2020-06-01 12:34:00+00:00,9574.0,9572.0852,9557.5,9559.4115,0.09875836498433786,26.59785714285733,1.2516338903019406,0.4726617419213893,0.47203592497623836,0.9446976668976277,0.0,unavailable,0.3069362234043129,0.00032468909177692766,945.3234838427786,945.630420066183,-0.5782438823400966,0.7269071827875223,0.26666666666666666,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-08-10T14:30:00+00:00,2020-08-10 14:30:00+00:00,2020-08-10 14:30:00+00:00,2020-08-10 15:00:00+00:00,11967.62,11965.226476000002,11876.8211064883,11879.196470709598,0.0775848080935993,55.875,6.674621450747328,0.4641598999684568,0.46082258924308317,0.9249824892115399,0.0,unavailable,5.749638961535788,0.006193597251643797,928.3197999369136,934.0694388984493,-0.3313616107592128,1.6181577568146435,2.0,mean_exit
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-09-10T01:45:00+00:00,2020-09-10 01:45:00+00:00,2020-09-10 01:45:00+00:00,2020-09-10 01:46:00+00:00,10345.01,10342.940998,10386.863855142858,10388.941227913885,0.08935166213942422,43.92285714285702,-4.110197001601293,0.4620794847906476,0.46413458329144824,0.9262140680820958,0.0,unavailable,-5.036411069683389,-0.0054497237330988785,924.1589695812952,919.1225585116118,-1.0999346946204724,0.0,0.06666666666666667,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-09-12T15:15:00+00:00,2020-09-12 15:15:00+00:00,2020-09-12 15:15:00+00:00,2020-09-12 15:45:00+00:00,10369.05,10366.97619,10377.04,10379.115408000001,0.08840327857969082,23.509285714285788,-1.0731466705937807,0.4582373420767959,0.4587739154120928,0.9170112574888887,0.0,unavailable,-1.9901579280826693,-0.002171536172786568,916.4746841535917,914.4845262255091,-0.5532906934546392,0.3229253949088575,2.0,trend_restart_exit
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-10-30T01:00:00+00:00,2020-10-30 01:00:00+00:00,2020-10-30 01:00:00+00:00,2020-10-30 01:11:00+00:00,13576.76,13574.044648000001,13640.01607657143,13642.744079786744,0.06488563795430594,65.97142857142846,-4.457606458581139,0.4403802733028561,0.4426090765321467,0.8829893498350028,0.0,unavailable,-5.340595808416142,-0.0060636183455285405,880.7605466057122,875.419950797296,-1.3792530058934196,0.172106889048889,0.7333333333333333,atr_stop
S3_EXIT_WINDOW_IDLE_MR1,BTCUSDT,short,short_only,fixed_1x,IDLE_MR1_P4_IDLE_REVERSION_BTCUSDT_short_2020-10-30T01:15:00+00:00,2020-10-30 01:15:00+00:00,2020-10-30 01:15:00+00:00,2020-10-30 02:53:00+00:00,13622.39,13619.665522,13481.11,13483.806222000001,0.06427617105451086,69.98785714285701,8.732515606145995,0.437709975398648,0.43334371759557494,0.871053692994223,0.0,unavailable,7.861461913151773,0.008980217901124918,875.419950797296,883.2814127104477,-0.14483837654061957,2.1547606858409103,6.533333333333333,mean_exit
