factor,horizon,group_type,group_value,event_count,sample_sufficient,q5_minus_q1,direction_consistency,monotonicity_violations,same_direction_as_full,candidate_status,status_note
ema200_slope_4h,32,year_group,2024,569,True,-0.007265318818383416,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,year_group,2025,518,True,-0.004050736081784506,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,year_group,2026,191,True,-0.004809919283751217,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2024Q1,197,True,-0.015044967503788193,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2024Q2,103,True,-0.014303744879596694,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2024Q3,105,True,-0.0038688807254069566,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,quarter_group,2024Q4,164,True,0.0007792940793094338,0.5,2.0,False,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2025Q1,99,True,-0.024445861807318586,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,quarter_group,2025Q2,145,True,0.011358905683665824,0.5,2.0,False,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2025Q3,169,True,-0.007634460130601914,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2025Q4,105,True,-0.007374536118328004,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,quarter_group,2026Q1,106,True,-0.004785429404858937,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,quarter_group,2026Q2,85,True,-0.0029285221109394133,0.75,1.0,True,candidate_for_validation,ok
ema200_slope_4h,32,trend_regime,unavailable,1278,True,-0.004757640980899565,0.5,2.0,True,weak_candidate,ok
ema200_slope_4h,32,volatility_regime,unavailable,1278,True,-0.004757640980899565,0.5,2.0,True,weak_candidate,ok
ret_4h,1,year_group,2024,569,True,0.004189379540462064,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,year_group,2025,518,True,0.006774689966096663,1.0,0.0,True,candidate_for_validation,ok
ret_4h,1,year_group,2026,191,True,0.007708176474966683,1.0,0.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2024Q1,197,True,0.0039530793242983754,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2024Q2,103,True,0.007830215355488362,0.5,2.0,True,weak_candidate,ok
ret_4h,1,quarter_group,2024Q3,105,True,0.0009953987510615452,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2024Q4,164,True,0.004254416283484452,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2025Q1,99,True,0.004757439997566871,0.5,2.0,True,weak_candidate,ok
ret_4h,1,quarter_group,2025Q2,145,True,0.006993366640842169,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2025Q3,169,True,0.005569338847087376,0.75,1.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2025Q4,105,True,0.007401257127659368,0.5,2.0,True,weak_candidate,ok
ret_4h,1,quarter_group,2026Q1,106,True,0.005127955116310895,1.0,0.0,True,candidate_for_validation,ok
ret_4h,1,quarter_group,2026Q2,85,True,0.009650853834120256,1.0,0.0,True,candidate_for_validation,ok
ret_4h,1,trend_regime,unavailable,1278,True,0.005978790933488232,1.0,0.0,True,candidate_for_validation,ok
ret_4h,1,volatility_regime,unavailable,1278,True,0.005978790933488232,1.0,0.0,True,candidate_for_validation,ok
ret_4h,4,year_group,2024,569,True,0.003645987064897545,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,year_group,2025,518,True,0.006866131938667385,1.0,0.0,True,candidate_for_validation,ok
ret_4h,4,year_group,2026,191,True,0.0099256683728178,1.0,0.0,True,candidate_for_validation,ok
ret_4h,4,quarter_group,2024Q1,197,True,-0.00035271440515529913,0.5,2.0,False,weak_candidate,ok
ret_4h,4,quarter_group,2024Q2,103,True,0.012864139157341008,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,quarter_group,2024Q3,105,True,0.0030718886449831637,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,quarter_group,2024Q4,164,True,0.0031028749773424702,0.5,2.0,True,weak_candidate,ok
ret_4h,4,quarter_group,2025Q1,99,True,0.0034552795283861954,0.5,2.0,True,weak_candidate,ok
ret_4h,4,quarter_group,2025Q2,145,True,0.004317061790293112,0.5,2.0,True,weak_candidate,ok
ret_4h,4,quarter_group,2025Q3,169,True,0.004557717460956208,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,quarter_group,2025Q4,105,True,0.01336917916171954,0.5,2.0,True,weak_candidate,ok
ret_4h,4,quarter_group,2026Q1,106,True,0.0070033385519484865,1.0,0.0,True,candidate_for_validation,ok
ret_4h,4,quarter_group,2026Q2,85,True,0.011672185153005898,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,trend_regime,unavailable,1278,True,0.006995920446201811,0.75,1.0,True,candidate_for_validation,ok
ret_4h,4,volatility_regime,unavailable,1278,True,0.006995920446201811,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,year_group,2024,569,True,0.005028424811735357,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,year_group,2025,518,True,0.006710725209854682,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,year_group,2026,191,True,0.007860955751174303,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,quarter_group,2024Q1,197,True,0.0011557643812394936,0.5,2.0,True,weak_candidate,ok
ret_4h,8,quarter_group,2024Q2,103,True,0.016366668703869016,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,quarter_group,2024Q3,105,True,0.0032793889964388492,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,quarter_group,2024Q4,164,True,0.0025368192364087078,0.5,2.0,True,weak_candidate,ok
ret_4h,8,quarter_group,2025Q1,99,True,0.004026741022074232,0.5,2.0,True,weak_candidate,ok
ret_4h,8,quarter_group,2025Q2,145,True,0.0010733755828365235,0.5,2.0,True,weak_candidate,ok
ret_4h,8,quarter_group,2025Q3,169,True,0.006858702197742398,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,quarter_group,2025Q4,105,True,0.01275260938310361,0.5,2.0,True,weak_candidate,ok
ret_4h,8,quarter_group,2026Q1,106,True,0.005835654901496009,0.75,1.0,True,candidate_for_validation,ok
ret_4h,8,quarter_group,2026Q2,85,True,0.009662318975677448,0.5,2.0,True,weak_candidate,ok
ret_4h,8,trend_regime,unavailable,1278,True,0.00722197363382187,1.0,0.0,True,candidate_for_validation,ok
ret_4h,8,volatility_regime,unavailable,1278,True,0.00722197363382187,1.0,0.0,True,candidate_for_validation,ok
ret_4h,16,year_group,2024,569,True,0.006071955531186555,0.5,2.0,True,weak_candidate,ok
ret_4h,16,year_group,2025,518,True,0.008695808461440102,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,year_group,2026,191,True,0.0075202749334918086,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,quarter_group,2024Q1,197,True,0.0014875016824904886,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2024Q2,103,True,0.022495923090320225,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,quarter_group,2024Q3,105,True,0.004284428310645704,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2024Q4,164,True,0.002522057789637786,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2025Q1,99,True,0.01123158691687805,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2025Q2,145,True,0.0054789695704430645,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,quarter_group,2025Q3,169,True,0.008762570096307425,1.0,0.0,True,candidate_for_validation,ok
ret_4h,16,quarter_group,2025Q4,105,True,0.007971688341037887,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2026Q1,106,True,0.005646997784898658,0.5,2.0,True,weak_candidate,ok
ret_4h,16,quarter_group,2026Q2,85,True,0.009761824302845529,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,trend_regime,unavailable,1278,True,0.008283776027828907,0.75,1.0,True,candidate_for_validation,ok
ret_4h,16,volatility_regime,unavailable,1278,True,0.008283776027828907,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,year_group,2024,569,True,0.006519117809459957,0.5,2.0,True,weak_candidate,ok
ret_4h,32,year_group,2025,518,True,0.006968081601357083,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,year_group,2026,191,True,0.01161209233072304,1.0,0.0,True,candidate_for_validation,ok
ret_4h,32,quarter_group,2024Q1,197,True,0.0017894524372149725,0.5,2.0,True,weak_candidate,ok
ret_4h,32,quarter_group,2024Q2,103,True,0.02296902657133965,1.0,0.0,True,candidate_for_validation,ok
ret_4h,32,quarter_group,2024Q3,105,True,0.003429886786060429,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,quarter_group,2024Q4,164,True,0.0023092735702956385,0.25,3.0,True,descriptive_only,ok
ret_4h,32,quarter_group,2025Q1,99,True,0.008097711507959982,0.25,3.0,True,descriptive_only,ok
ret_4h,32,quarter_group,2025Q2,145,True,0.009558325905920945,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,quarter_group,2025Q3,169,True,0.0029511846401205147,0.5,2.0,True,weak_candidate,ok
ret_4h,32,quarter_group,2025Q4,105,True,0.006138927307885904,0.5,2.0,True,weak_candidate,ok
ret_4h,32,quarter_group,2026Q1,106,True,0.012605108226297507,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,quarter_group,2026Q2,85,True,0.009020521949739164,0.5,2.0,True,weak_candidate,ok
ret_4h,32,trend_regime,unavailable,1278,True,0.008739361240248732,0.75,1.0,True,candidate_for_validation,ok
ret_4h,32,volatility_regime,unavailable,1278,True,0.008739361240248732,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,year_group,2024,569,True,0.0032016182128296357,1.0,0.0,True,candidate_for_validation,ok
ret_12h,1,year_group,2025,518,True,0.004106558985690213,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,year_group,2026,191,True,0.005787929636770821,1.0,0.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2024Q1,197,True,0.002397720014427898,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2024Q2,103,True,0.0066396119390995335,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2024Q3,105,True,0.0009856081523926382,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2024Q4,164,True,0.0027173511763826366,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2025Q1,99,True,0.005511210886276718,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2025Q2,145,True,0.007106253468683049,0.5,2.0,True,weak_candidate,ok
ret_12h,1,quarter_group,2025Q3,169,True,0.003448803269103853,0.75,1.0,True,candidate_for_validation,ok
ret_12h,1,quarter_group,2025Q4,105,True,0.0001530991430268155,0.5,2.0,True,weak_candidate,ok
ret_12h,1,quarter_group,2026Q1,106,True,0.004261590050570788,0.5,2.0,True,weak_candidate,ok
ret_12h,1,quarter_group,2026Q2,85,True,0.009799729390976208,1.0,0.0,True,candidate_for_validation,ok
ret_12h,1,trend_regime,unavailable,1278,True,0.004379713959853641,1.0,0.0,True,candidate_for_validation,ok
ret_12h,1,volatility_regime,unavailable,1278,True,0.004379713959853641,1.0,0.0,True,candidate_for_validation,ok
ret_12h,4,year_group,2024,569,True,0.004444566766252931,0.75,1.0,True,candidate_for_validation,ok
ret_12h,4,year_group,2025,518,True,0.005982197841498758,1.0,0.0,True,candidate_for_validation,ok
ret_12h,4,year_group,2026,191,True,0.007741300413482746,1.0,0.0,True,candidate_for_validation,ok
ret_12h,4,quarter_group,2024Q1,197,True,9.647380012631473e-05,0.5,2.0,True,weak_candidate,ok
ret_12h,4,quarter_group,2024Q2,103,True,0.011594236582531146,0.5,2.0,True,weak_candidate,ok
ret_12h,4,quarter_group,2024Q3,105,True,0.002204695308464592,0.75,1.0,True,candidate_for_validation,ok
ret_12h,4,quarter_group,2024Q4,164,True,0.005756627540798003,0.75,1.0,True,candidate_for_validation,ok
