symbol,prototype,leverage_mode,stress_case,trade_count,total_return,max_drawdown,profit_factor,liquidation_count,final_equity,stress_status
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,entry_delay_3m,198,57.7357602666764,-0.1375762479184427,2.807447825343153,0,58735.7602666764,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_1m,198,85.91194220613777,-0.11757086778877146,3.172855723291782,0,86911.94220613777,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_3m,198,57.683908146745765,-0.13762314282547927,2.8066997235410494,0,58683.908146745765,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_10pct,198,104.73843248612908,-0.11308899398343275,3.383068808743982,0,105738.43248612908,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_20pct,198,104.73843248612908,-0.11308899398343275,3.383068808743982,0,105738.43248612908,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,fee_2x,198,5420225.979181499,-0.5625538361242388,2.422437442596962,0,5420226979.1814995,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,slippage_2x,198,16729639.522171464,-0.5271621040498484,2.6875447331286524,0,16729640522.171463,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,entry_delay_1m,198,13862244.528909478,-0.5331916796458247,2.6402467782868153,0,13862245528.90948,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,entry_delay_3m,198,2094596.0882735576,-0.5897183936306165,2.2335851231197164,0,2094597088.2735577,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,exit_delay_1m,198,13855719.313912211,-0.533206683002269,2.6401300862841106,0,13855720313.91221,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,exit_delay_3m,198,2085660.0676958056,-0.5898382460860719,2.2327892100385105,0,2085661067.6958055,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_10pct,198,35463874.95945623,-0.5022860239619682,2.886056395116442,0,35463875959.45623,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,liquidation_price_up_20pct,198,35463874.95945623,-0.5022860239619682,2.886056395116442,0,35463875959.45623,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,fee_2x,198,2351163166.517075,-0.8745038228768871,2.0201635624671597,0,2351163167517.075,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,slippage_2x,198,23533435826.574833,-0.8499126948875808,2.341681460222418,0,23533435827574.832,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,entry_delay_1m,198,16063965838.570961,-0.8542526430299362,2.2832140425516836,0,16063965839570.96,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,entry_delay_3m,198,337129963.6201156,-0.8917818487721534,1.8031589451181118,0,337129964620.1156,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,exit_delay_1m,198,16048603163.296907,-0.8542633612638754,2.2830703689300833,0,16048603164296.908,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,exit_delay_3m,198,334177810.36837703,-0.8918553487185831,1.8022678419415465,0,334177811368.377,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,liquidation_price_up_10pct,198,107748355385.0996,-0.8313230046531623,2.5924183937716685,0,107748355386099.6,stress_fragile
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,liquidation_price_up_20pct,198,7061758068.747437,-0.9889450179652121,2.592418359877565,1,7061758069747.437,liquidation_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,fee_2x,198,75986.28941784587,-0.4348684573595152,1.7064294751843097,0,75987289.41784586,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,slippage_2x,198,164845.70067818117,-0.4201914674783226,1.7919633948092095,0,164846700.67818117,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,entry_delay_1m,198,109729.85873276471,-0.42261534055784644,1.7378202902130375,0,109730858.7327647,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,entry_delay_3m,198,35251.56329302733,-0.4465808976458008,1.6481210109945326,0,35252563.29302733,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,exit_delay_1m,198,109691.29234070652,-0.4226214014235521,1.7377785332993383,0,109692292.34070653,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,exit_delay_3m,198,35148.555706938445,-0.44663430421577366,1.6478041642508001,0,35149555.706938446,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,liquidation_price_up_10pct,198,252773.49960766293,-0.410432594962461,1.849603377805284,0,252774499.60766295,stress_pass
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,liquidation_price_up_20pct,198,252773.49960766293,-0.410432594962461,1.849603377805284,0,252774499.60766295,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,fee_2x,185,19.863120387216263,-0.174533346291444,2.4852742367565956,0,20863.120387216262,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,slippage_2x,185,24.969084385110406,-0.16205161922470956,2.7391418710318085,0,25969.084385110407,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,entry_delay_1m,185,24.034080262965194,-0.16390676072015609,2.6942189381738944,0,25034.080262965195,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,entry_delay_3m,185,16.3442431599411,-0.18517906595961153,2.299985003286424,0,17344.2431599411,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_1m,185,24.031782467844163,-0.16391139945666167,2.694108053759846,0,25031.782467844165,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,exit_delay_3m,185,16.329906539566128,-0.18522713632032506,2.2991913639703125,0,17329.906539566127,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_10pct,185,29.07603814288347,-0.15458232924045479,2.9319682597818946,0,30076.03814288347,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,liquidation_price_up_20pct,185,29.07603814288347,-0.15458232924045479,2.9319682597818946,0,30076.03814288347,stress_pass
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,fee_2x,185,158151.77358602665,-0.637135248431504,1.7829190767131604,0,158152773.58602667,stress_fragile
