symbol,prototype,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration
ETHUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,179,118.17373359821069,,-0.11308899398343275,4.464114854836432,0.5642458100558659,1507.7962541454647,-437.3549752625807,3.447534244329126,0,0.0,1000.0,119173.73359821069,0.10791127400970757,0.24010044231781913,0.3537754529116609,66 days 10:30:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_10x,179,99652086.27228674,,-0.47616629480446604,3.7769537896834624,0.5642458100558659,1341955269.5084898,-460069178.82142025,2.9168554019337627,0,0.0,1000.0,99652087272.28674,0.26965574047630175,0.5456509496008115,0.78960185159273,73 days 09:45:00
ETHUSDT,P4_BREAKOUT_TOP20,fixed_20x,179,2166287024322.684,,-0.7661986276833957,3.521196423792614,0.5642458100558659,29955611828835.574,-11015766287047.555,2.7193398124339,0,0.0,1000.0,2166287024323684.0,0.42476984862684536,0.7624769979786341,1.0161219817329143,85 days 14:30:00
ETHUSDT,P4_BREAKOUT_TOP20,adaptive_10x_20x_v1,179,957068.7369846456,,-0.4104325949624609,2.083194014327108,0.5642458100558659,18224063.661736462,-11327714.010906888,1.608803298193212,0,0.0,1000.0,957069736.9846456,0.2937267598049568,0.6377220009492763,0.9124959165926178,106 days 04:00:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,baseline_fixed_2x,198,104.73843248612908,,-0.11308899398343275,3.383068808743982,0.5303030303030303,1416.0905336706714,-472.5921887020583,2.996432373458956,0,0.0,1000.0,105738.43248612908,0.10802742625479449,0.24125153207806319,0.36417118888209254,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_10x,198,35463874.95945623,,-0.5022860239619682,2.886056395116442,0.5303030303030303,516829181.05819637,-202184828.5124128,2.556221378531706,0,0.0,1000.0,35463875959.45623,0.26965574537400366,0.5456509595113578,0.7896018659341063,66 days 10:30:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_20x,198,107748355385.0996,,-0.8313230046531623,2.5924183937716685,0.5303030303030303,1670587624048.8232,-727562850968.0306,2.296142005912049,0,0.0,1000.0,107748355386099.6,0.4247698486305915,0.7624769979853585,1.0161219817418758,106 days 04:00:00
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1,198,252773.49960766293,,-0.410432594962461,1.849603377805284,0.5303030303030303,5240884.897225394,-3199133.490333368,1.6382201346275373,0,0.0,1000.0,252774499.60766295,0.21647504027465264,0.5832390713058028,0.9052839336292636,106 days 04:00:00
BTCUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x,185,29.07603814288347,,-0.15458232924045479,2.9319682597818946,0.5567567567567567,428.40771434518336,-183.5360540813463,2.3341883233215084,0,0.0,1000.0,30076.03814288347,0.05565303931603052,0.16296323774429147,0.2634124816071154,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,185,920486.2806139451,,-0.5874619451382748,2.125369401403237,0.5567567567567567,16877939.137734853,-9974895.73869201,1.692041659369567,0,0.0,1000.0,920487280.6139451,0.17841325819264026,0.4761599281655696,0.7286973539649577,96 days 06:22:00
BTCUSDT,P4_BREAKOUT_TOP20,fixed_20x,185,2333813090.744848,,-0.8520169400047198,1.691240003487874,0.5567567567567567,55437702777.775925,-41174027992.269165,1.346424080446657,0,0.0,1000.0,2333813091744.8477,0.3340512486812329,0.956351975933904,1.37880107255847,101 days 21:07:00
