symbol,prototype,data_start_utc,data_end_utc,coverage_status,candidate_event_count,accepted_event_count,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,liquidation_count,liquidation_rate,min_equity,final_equity,top1_profit_contribution,top3_profit_contribution,top5_profit_contribution,longest_drawdown_duration,atr_stop_count,donchian20_exit_count,end_of_backtest_count,top10_profit_contribution
ETHUSDT,P4_BREAKOUT_TOP20,2020-01-01T00:00:00+00:00,2026-06-28T01:05:00+00:00,full_coverage,666,443,334,3301640979.901668,28.304942214422717,-0.20704294305085924,2.932798225618233,0.6347305389221557,23631410918.382946,-14001787990.127201,1.6877423751199265,0,0.0,957.7603339932613,3301640980901.668,0.14379887671759903,0.40016116914820804,0.6199222412919932,121 days 11:00:00,24,310,0,0.9861585729437831
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-01T00:00:00+00:00,2026-06-28T01:05:00+00:00,full_coverage,1566,873,410,11421435340.56988,34.481770339176734,-0.20704294305085913,2.9643057960435444,0.6170731707317073,68126184968.922966,-37034964691.51358,1.8395099208649663,0,0.0,936.7283895931668,11421435341569.879,0.15146331230348606,0.41791138644125,0.6145107349946418,108 days 21:34:00,23,387,0,0.9786739959588635
BTCUSDT,P4_BREAKOUT_TOP20,2020-01-01T00:00:00+00:00,2026-06-28T01:05:00+00:00,full_coverage,678,453,340,5127370.81643757,9.816045974677413,-0.1794314730749823,3.1972150510114035,0.6352941176470588,34541425.727900416,-18819170.49023322,1.8354382700250649,0,0.0,945.9199005280389,5127371816.437571,0.14377523478647408,0.3941825386636628,0.5845657187025051,130 days 18:07:00,34,306,0,0.8546578522006106
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-01T00:00:00+00:00,2026-06-28T01:05:00+00:00,full_coverage,1081,675,373,9359669.149653863,10.86718891521559,-0.18491836877891932,2.6997456409380773,0.6327077747989276,62992291.46360811,-40193515.589471884,1.567225223764901,0,0.0,934.0888372917179,9359670149.653864,0.1351946387964475,0.3789893236647784,0.5778629805865609,130 days 18:07:00,34,339,0,0.8617221591823931
SOLUSDT,P4_BREAKOUT_TOP20,2020-09-14T07:00:00+00:00,2026-06-28T01:02:00+00:00,late_listing_partial_coverage,532,336,262,494166845.0059315,30.841003432952757,-0.2801936762591717,2.319656157961115,0.6335877862595419,5232730182.969708,-3900691305.906668,1.3414878985799221,0,0.0,986.7823447443252,494166846005.9315,0.2611097811644881,0.6137081294782324,0.858539323321953,197 days 19:45:00,16,246,0,1.2212789457805322
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-09-14T07:00:00+00:00,2026-06-28T01:02:00+00:00,late_listing_partial_coverage,2121,1074,420,413787035.2798056,29.87865346068508,-0.39036947849317394,2.412783717229525,0.5428571428571428,3099450785.0126543,-1525456998.4535406,2.0318178671406524,0,0.0,871.15782314806,413787036279.8056,0.33311230417336885,0.6986797443782449,0.8826694388483664,199 days 00:30:00,32,388,0,1.1627590869971365
BNBUSDT,P4_BREAKOUT_TOP20,2020-02-10T08:01:00+00:00,2026-06-28T01:03:00+00:00,late_listing_partial_coverage,787,441,318,1400603.41409297,8.196325948496751,-0.18611934602722524,2.3446344751315866,0.6194968553459119,12397092.99526045,-8608462.032837497,1.440105439040213,0,0.0,861.9555154328517,1400604414.0929701,0.25929622945278213,0.5000905191203061,0.7110074935265335,179 days 12:30:00,14,304,0,1.0857907085735912
BNBUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-02-10T08:01:00+00:00,2026-06-28T01:03:00+00:00,late_listing_partial_coverage,1560,836,379,714109.141761591,7.2746295283161775,-0.24167691319515772,2.2772937223803464,0.5804749340369393,5787222.544088469,-3516225.2700495096,1.645862281174887,0,0.0,867.2780750545644,714110141.761591,0.1754172544116356,0.4410331109019876,0.6271302130519187,183 days 00:15:00,24,355,0,1.0159504677029867
XRPUSDT,P4_BREAKOUT_TOP20,2020-01-06T08:21:00+00:00,2026-06-28T01:05:00+00:00,late_listing_partial_coverage,652,449,306,45293289.36704184,14.22465022149321,-0.36056992975573354,4.776580245011702,0.6241830065359477,299929273.6453649,-104288712.16715524,2.875951456420658,0,0.0,1000.0,45293290367.04184,0.2986663067737674,0.6534058308751203,0.7907346791646899,212 days 12:15:00,21,285,0,0.9921382359715935
XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-06T08:21:00+00:00,2026-06-28T01:05:00+00:00,late_listing_partial_coverage,1532,954,376,23837862.442955714,12.787615923031508,-0.3378556983785217,5.244393562596558,0.5904255319148937,132676486.86678568,-36469595.07448506,3.6380027416210354,0,0.0,1000.0,23837863442.955715,0.31429317989414585,0.5545190702733632,0.703553737137876,204 days 08:26:00,26,350,0,0.9371400642045328
ADAUSDT,P4_BREAKOUT_TOP20,2020-01-31T08:01:00+00:00,2026-06-28T01:05:00+00:00,late_listing_partial_coverage,663,416,283,874897882.4545867,23.8839986010749,-0.3358159725680685,2.8142343691373406,0.6254416961130742,7667450335.621264,-4549441763.682802,1.6853606956415712,0,0.0,989.3208885870397,874897883454.5868,0.1872292792480063,0.48799247392876177,0.7481658662088299,173 days 00:30:00,11,272,0,1.1036435334500105
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-31T08:01:00+00:00,2026-06-28T01:05:00+00:00,late_listing_partial_coverage,1897,1093,391,5424899968.848087,32.08463273820694,-0.3167532593047083,2.275846765737764,0.5728900255754475,43200444613.20161,-25461075595.862713,1.6967250440991364,0,0.0,988.0385711226035,5424899969848.087,0.2028343997242246,0.5201862752305894,0.7938755020752146,148 days 22:15:00,22,369,0,1.1772922857799992
DOGEUSDT,P4_BREAKOUT_TOP20,2020-07-10T09:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,594,430,286,72228096389.38673,65.13696032484181,-0.3314917962739753,3.638993956346259,0.6223776223776224,559537380462.266,-253421827156.45044,2.2079289173336853,0,0.0,994.5898707471379,72228096390386.73,0.34140958492675555,0.760430657236283,0.9473016785213433,115 days 06:45:00,8,278,0,1.1144751818044452
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-07-10T09:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,1531,968,377,4949757461.540515,41.19694891532508,-0.36125520116420073,3.0112483098705853,0.5755968169761273,34151128738.485897,-15381484216.943268,2.2202752515174824,0,0.0,1000.0,4949757462540.515,0.35669897904133685,0.7944851317695328,0.9897248246419313,286 days 08:00:00,15,362,0,1.172785490277767
AVAXUSDT,P4_BREAKOUT_TOP20,2020-09-23T07:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,531,315,233,2879702.846246245,12.22702449965655,-0.29451889075067683,3.1965883887665387,0.6609442060085837,27212283.62518975,-16594795.342189586,1.6398083293023156,0,0.0,907.8564409351798,2879703846.246245,0.2094832163489096,0.5396120960342203,0.7294110290298288,182 days 07:45:00,5,228,0,1.0863369265251652
AVAXUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-09-23T07:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,2240,1056,385,4318864.684128443,13.191320484447237,-0.37764350059585516,2.483735257917545,0.5688311688311688,33012192.421054766,-17534972.627003323,1.8826486429877283,0,0.0,933.3952090837719,4318865684.128443,0.2293221267467213,0.51449196201231,0.7433149167841614,179 days 21:00:00,15,370,0,1.176292588716648
LINKUSDT,P4_BREAKOUT_TOP20,2020-01-17T08:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,586,357,272,1955356.988838812,8.468394066297256,-0.25755869233483897,2.732612988064936,0.6544117647058824,17325373.991078578,-12005952.995459305,1.443065285832045,0,0.0,1000.0,1955357988.838812,0.3124631297165844,0.6271476590968047,0.8932169434654812,168 days 01:45:00,16,256,0,1.174918052046394
LINKUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-17T08:00:00+00:00,2026-06-28T01:01:00+00:00,late_listing_partial_coverage,2242,1142,435,1205505.9456509638,7.783742975482259,-0.28301789790778953,1.7835456135715744,0.5747126436781609,10976131.085462723,-8316361.220079549,1.3198237540429651,0,0.0,884.1363811095572,1205506945.6509638,0.2797718031192899,0.5852035984656012,0.8223743803791802,244 days 01:15:00,27,408,0,1.230183058944002
LTCUSDT,P4_BREAKOUT_TOP20,2020-01-09T08:09:00+00:00,2026-06-28T01:03:00+00:00,late_listing_partial_coverage,571,377,288,75702.08915474254,4.683039055102057,-0.35786176481736764,2.527548116473653,0.59375,732514.6037531532,-423571.86399185186,1.7293750270609203,0,0.0,1000.0,75703089.15474254,0.28929060214840585,0.6142841946901739,0.8316910461223077,224 days 15:44:00,20,268,0,1.1992789271828608
LTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,2020-01-09T08:09:00+00:00,2026-06-28T01:03:00+00:00,late_listing_partial_coverage,1510,875,382,165323.16936136605,5.412734016389228,-0.35786176481736753,2.210336140448955,0.5837696335078534,1353883.1483996178,-859074.0423380423,1.5759795799613627,0,0.0,1000.0,165324169.36136603,0.2879958449577857,0.6281227389291703,0.8540539882144578,224 days 15:44:00,22,360,0,1.2265571643168212
