timestamp,open,high,low,close,volume,abs_close_change_pct
2021-01-29 00:33:00+00:00,0.044694,0.045187,0.039,0.04006,566570196.0,0.10795403936937731
2021-01-29 00:34:00+00:00,0.04006,0.045799,0.039916,0.045499,407953674.0,0.13577134298552163
2021-01-29 00:44:00+00:00,0.036118,0.0414,0.036078,0.03985,354283579.0,0.10467372622941706
2021-01-29 03:21:00+00:00,0.068692,0.0887,0.0669,0.08273,485325840.0,0.20436149769987755
2021-01-29 03:59:00+00:00,0.074206,0.082934,0.072,0.081865,228663358.0,0.1024104497710745
2021-01-29 06:48:00+00:00,0.053,0.054,0.042,0.046848,782946271.0,0.11607547169811316
2021-01-31 18:56:00+00:00,0.046608,0.046749,0.041626,0.041804,558773129.0,0.103072433916924
2021-02-04 08:00:00+00:00,0.051141,0.05678,0.051,0.056489,359835269.0,0.10429291941979124
2021-04-23 02:26:00+00:00,0.164743,0.182196,0.164472,0.181508,135894394.0,0.10262126780670044
2021-05-19 12:55:00+00:00,0.21281,0.26,0.20436,0.2524,50863029.0,0.186871061788771
2021-05-19 13:11:00+00:00,0.24989,0.27872,0.2477,0.275,12844083.0,0.1017628205128207
2021-05-19 13:17:00+00:00,0.31565,0.34564,0.29435,0.34564,5623556.0,0.10076433121019113
2021-05-19 13:26:00+00:00,0.282,0.31298,0.28,0.31105,1012806.0,0.1108928571428569
2022-05-11 12:51:00+00:00,0.07964,0.07987,0.07038,0.07066,111737728.0,0.11298016570424296
2022-05-27 15:27:00+00:00,0.0777,0.08992,0.07768,0.08719,532109878.0,0.1222808598275198
2023-12-11 02:12:00+00:00,0.09996,0.10012,0.08918,0.08974,430052851.0,0.10224089635854339
2025-10-10 21:18:00+00:00,0.16846,0.16946,0.12031,0.13149,378269401.0,0.22130759208812045
2025-10-10 21:19:00+00:00,0.12984,0.14235,0.1028,0.11257,414195320.0,0.14388926914594258
2025-10-10 21:20:00+00:00,0.11355,0.11375,0.08385,0.08856,266531353.0,0.2132895087501111
2025-10-10 21:21:00+00:00,0.08863,0.1236,0.08787,0.11986,231664145.0,0.35343270099367663
