symbol,month,status,rows,path,note
ETHUSDT,2023-02,downloaded_or_cached,40320,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-02.zip,
ETHUSDT,2023-03,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-03.zip,
ETHUSDT,2023-04,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-04.zip,
ETHUSDT,2023-05,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-05.zip,
ETHUSDT,2023-06,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-06.zip,
ETHUSDT,2023-07,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-07.zip,
ETHUSDT,2023-08,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-08.zip,
ETHUSDT,2023-09,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-09.zip,
ETHUSDT,2023-10,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-10.zip,
ETHUSDT,2023-11,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-11.zip,
ETHUSDT,2023-12,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2023-12.zip,
