event_id,symbol,signal_time,execution_time,execution_open,close_15m,open_15m,high_15m,low_15m,volume_15m,donchian55_upper,donchian20_lower,ema50,ema200,atr14,strong_breakout,pullback_engulfing,bullish_hikkake,first_breakout_after_flat,bars_after_breakout,inside_bar,hikkake_setup,hikkake_confirm,trend_regime,volatility_regime,relative_strength_regime,ema_gap_atr,ema200_slope_4h,ret_4h,ret_12h,ret_24h,breakout_distance_atr,atr_pct,atr_percentile_200,range_atr,volatility_ratio_short_long,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_location,pullback_depth_atr,inside_bar_compression,fwd_ret_1,fwd_mfe_1,fwd_mae_1,plus_1atr_first_1,minus_1atr_first_1,ambiguous_touch_1,fwd_ret_4,fwd_mfe_4,fwd_mae_4,plus_1atr_first_4,minus_1atr_first_4,ambiguous_touch_4,fwd_ret_8,fwd_mfe_8,fwd_mae_8,plus_1atr_first_8,minus_1atr_first_8,ambiguous_touch_8,fwd_ret_16,fwd_mfe_16,fwd_mae_16,plus_1atr_first_16,minus_1atr_first_16,ambiguous_touch_16,fwd_ret_32,fwd_mfe_32,fwd_mae_32,plus_1atr_first_32,minus_1atr_first_32,ambiguous_touch_32
ETHUSDT_2020-01-01T14:15:00+00:00,ETHUSDT,2020-01-01 14:15:00+00:00,2020-01-01 14:16:00+00:00,131.65,132.1,131.5,132.15,131.5,6872.746,131.97,129.97,130.58512611128486,129.59503369088793,0.5128571428571392,True,True,False,True,,False,False,False,unavailable,unavailable,unavailable,1.9305423238937567,0.2867350126818451,0.012648524338827238,0.010556915544675638,,0.2534818941504107,0.0038823402184491995,,1.267409470752109,,0.9230769230769063,0.07692307692309375,0.0,0.9230769230769063,0.9164345403899764,1.5476190476190026,0.002506646410938007,0.00448157994682874,0.0006076718571970119,True,False,False,-0.00022787694644887946,0.00448157994682874,-0.0009874667679452553,True,False,False,0.0024306874287884916,0.006380554500569735,-0.0009874667679452553,True,False,False,0.00030383592859850594,0.009950626661602735,-0.0009874667679452553,True,False,False,-0.010102544625902099,0.009950626661602735,-0.011545765286745224,True,False,False
ETHUSDT_2020-01-01T16:45:00+00:00,ETHUSDT,2020-01-01 16:45:00+00:00,2020-01-01 16:46:00+00:00,132.26,132.79,132.26,132.9,132.2,7033.067,132.49,130.5,131.07191498366953,129.8279151611694,0.4700000000000029,True,False,False,False,,False,False,False,unavailable,unavailable,unavailable,2.6468081329790114,0.3565383599176073,0.009579563597658325,0.020284287360737396,,0.6382978723403853,0.0035394231493335562,0.7818181818181819,1.4893617021276866,,0.7571428571428404,0.1571428571428728,0.08571428571428688,0.8428571428571272,0.6170212765957844,1.7073170731707874,0.002041433539996973,0.005292605474066292,0.0007560864962954383,True,False,False,0.00037804324814771917,0.005292605474066292,-0.0003024345985179755,True,False,False,-0.00241947678814447,0.005292605474066292,-0.006124300619990919,True,False,False,-0.0012853470437017567,0.005292605474066292,-0.006124300619990919,True,False,False,-0.012551035838499924,0.005292605474066292,-0.020565552699228773,True,False,False
ETHUSDT_2020-01-03T13:45:00+00:00,ETHUSDT,2020-01-03 13:45:00+00:00,2020-01-03 13:46:00+00:00,132.54,133.47,132.42,133.95,132.42,21200.065,132.97,130.86,130.64073061649472,129.57420777334224,0.4850000000000035,False,True,True,True,,False,False,True,unavailable,unavailable,unavailable,2.1990161714484042,0.4834980065457444,0.00869105199516329,0.05962210225468412,0.032170752455339846,1.030927835051539,0.0036337753802352848,0.655,3.1546391752577114,0.6787825683848219,0.6862745098039285,0.3137254901960715,0.0,0.6862745098039285,1.1340206185567163,6.652173913043779,-0.005281424475629959,0.009355666213973102,-0.012071827372868493,False,False,True,-0.0071676475026406505,0.009355666213973102,-0.012071827372868493,False,False,True,-0.0006790402897238756,0.009355666213973102,-0.012071827372868493,False,False,True,0.010487400030179783,0.018107741059302906,-0.012071827372868493,False,False,True,-0.0007544892108042323,0.018107741059302906,-0.012071827372868493,False,False,True
ETHUSDT_2020-01-03T17:30:00+00:00,ETHUSDT,2020-01-03 17:30:00+00:00,2020-01-03 17:31:00+00:00,132.97,134.28,133.1,134.94,132.94,30012.625,133.95,130.94,131.5345057987615,129.985259498166,0.8307142857142915,False,False,True,False,,False,False,True,unavailable,unavailable,unavailable,1.8649568536833216,0.4502054155439339,0.014046216583597726,0.04173778122575644,0.053672316384180796,0.39724849527086353,0.006186433465253884,0.915,2.407566638005142,1.1986528293759668,0.5900000000000034,0.3299999999999983,0.0799999999999983,0.6700000000000017,1.215821152192586,4.545454545454569,0.00721967361058895,0.010077461081446915,0.005941189742046937,True,False,False,0.004286681206287168,0.010077461081446915,0.0015040986688725777,True,False,False,0.0024817628036399864,0.010077461081446915,-0.006016394675490755,True,False,False,0.002030533202978191,0.010077461081446915,-0.006016394675490755,True,False,False,0.0006016394675492087,0.015793036023163065,-0.006166804542377946,True,False,False
ETHUSDT_2020-01-05T03:45:00+00:00,ETHUSDT,2020-01-05 03:45:00+00:00,2020-01-05 03:46:00+00:00,135.78,136.1,135.77,136.17,135.77,7344.442,135.96,133.71,134.51200310236868,132.92803985006756,0.4628571428571401,True,False,True,True,,False,False,True,unavailable,unavailable,unavailable,3.422142829045645,0.41523387770848785,0.01461159982108251,0.021695067937842483,0.021388367729830993,0.3024691358024415,0.003400860711661573,0.425,0.8641975308641536,1.088819990575351,0.8250000000000071,0.17499999999999288,0.0,0.8250000000000071,0.4104938271604914,1.8181818181817242,0.002135807924583899,0.010826336721166507,-0.00044189129474148103,True,False,False,0.00044189129474148103,0.010826336721166507,-0.0016202680807188008,True,False,False,0.0023567535719546395,0.010826336721166507,-0.0016202680807188008,True,False,False,0.0014729709824714554,0.010826336721166507,-0.0016202680807188008,True,False,False,-0.005523641184268624,0.010826336721166507,-0.008469583149211979,True,False,False
ETHUSDT_2020-01-06T02:00:00+00:00,ETHUSDT,2020-01-06 02:00:00+00:00,2020-01-06 02:01:00+00:00,137.47,138.3,137.14,139.49,137.14,67780.839,138.17,134.16,136.16101979306973,134.83592665437942,0.7535714285714293,False,False,False,True,,False,False,False,unavailable,unavailable,unavailable,1.7584174352288406,0.1331805135598927,0.017884742768823125,0.01968591019685917,0.020362992474546315,0.17251184834126373,0.005448817270943089,0.95,3.118483412322302,1.5562354793182502,0.4936170212766016,0.5063829787233984,0.0,0.4936170212766016,1.3668246445497632,2.0085470085470005,0.008438204699207086,0.010111297010256814,0.005528478940859838,True,False,False,0.01127518731359567,0.015639775951116652,0.0050920200771076285,True,False,False,0.012511820760893189,0.01607623481486886,0.0050920200771076285,True,False,False,0.011929875609223872,0.01607623481486886,0.0050920200771076285,True,False,False,0.02473266894595194,0.02887902815159671,0.0050920200771076285,True,False,False
ETHUSDT_2020-01-06T08:45:00+00:00,ETHUSDT,2020-01-06 08:45:00+00:00,2020-01-06 08:46:00+00:00,139.36,140.49,139.53,140.81,139.36,25442.006,139.68,138.47,138.11195375446246,135.8391273231252,0.39428571428571296,True,False,False,False,,False,False,False,unavailable,unavailable,unavailable,5.764414862087249,0.5677339230268501,0.008325558027703961,0.01974305001088772,0.03812901795610735,2.054347826086969,0.0028065037674262433,0.25,3.6775362318840417,0.8694822838929868,0.662068965517252,0.22068965517241082,0.11724137931033712,0.7793103448275892,0.8115942028985361,3.222222222222075,0.0052382319173363,0.008395522388059629,0.004233639494833241,True,False,False,0.01004592422502859,0.01004592422502859,0.0024397244546496832,True,False,False,0.018297933409873623,0.02238805970149227,0.0024397244546496832,True,False,False,0.020522388059701413,0.02604764638346735,0.0024397244546496832,True,False,False,0.00875430539609634,0.026119402985074425,-0.0024397244546499053,True,False,False
ETHUSDT_2020-01-06T10:00:00+00:00,ETHUSDT,2020-01-06 10:00:00+00:00,2020-01-06 10:01:00+00:00,141.04,140.87,140.75,141.44,140.54,14982.775,140.81,138.47,138.5444032263838,136.06567882717985,0.5178571428571408,False,False,False,False,,False,False,False,unavailable,unavailable,unavailable,4.7865022881179735,0.6126243565209393,0.012651858241679248,0.03679988224037678,0.04116777531411664,0.11586206896552209,0.0036761350383839055,0.56,1.7379310344827765,0.8552322595923828,0.13333333333333755,0.6333333333333218,0.2333333333333407,0.36666666666667824,0.5213793103448494,1.836734693877635,-0.00035450935904690617,0.001630743051616701,-0.0021979580260919063,False,False,False,0.009075439591605283,0.013825865002836224,-0.0021979580260919063,True,False,False,0.003474191718661368,0.013825865002836224,-0.0021979580260919063,True,False,False,-0.00028360748723765816,0.013896766874645472,-0.014322178105501848,True,False,False,0.0024106636415202054,0.013896766874645472,-0.014322178105501848,True,False,False
ETHUSDT_2020-01-06T10:45:00+00:00,ETHUSDT,2020-01-06 10:45:00+00:00,2020-01-06 10:46:00+00:00,141.39,141.91,141.25,142.48,141.25,27049.302,141.48,138.66,138.86836673060006,136.22332530804,0.6464285714285722,False,False,True,False,,False,False,True,unavailable,unavailable,unavailable,4.091776786280765,0.6689934096472143,0.022185406612403646,0.05141883381492174,0.05227643482129607,0.6651933701657555,0.004555200982514074,0.75,1.9027624309392084,0.8593673447810358,0.5365853658536602,0.46341463414633977,0.0,0.5365853658536602,0.3558011049723594,2.1578947368421133,0.006577551453426755,0.011316217554282693,0.0035363179857133,True,False,False,0.0007779899568569615,0.011316217554282693,-0.004172855223141481,True,False,False,0.005870287856284184,0.011316217554282693,-0.004172855223141481,True,False,False,-0.0028290543885705066,0.011386943913996861,-0.016762147252280757,True,False,False,-0.002899780748284897,0.011386943913996861,-0.016762147252280757,True,False,False
ETHUSDT_2020-01-06T23:00:00+00:00,ETHUSDT,2020-01-06 23:00:00+00:00,2020-01-06 23:01:00+00:00,143.19,143.8,142.97,144.34,142.97,28746.185,143.67,140.62,141.30418755959118,138.28058695844283,0.7771428571428588,False,True,True,False,,False,False,True,unavailable,unavailable,unavailable,3.890662538242366,0.658630612037058,0.020654411242813753,0.010399100618325052,0.06914498141263947,0.16727941176473624,0.005404331412676347,0.785,1.7628676470588256,0.8457835934175185,0.6058394160584013,0.3941605839415987,0.0,0.6058394160584013,0.9007352941176305,2.107692307692296,0.0015364201410712486,0.007891612542775261,-0.004329911306655498,True,False,False,0.009986730916963449,0.011662825616314043,-0.004329911306655498,True,False,False,0.0037712130735385596,0.01438647950275862,-0.004329911306655498,True,False,False,0.006285355122564562,0.01438647950275862,-0.004329911306655498,True,False,False,-0.004190236748376264,0.01438647950275862,-0.007891612542775261,True,False,False
ETHUSDT_2020-01-07T00:00:00+00:00,ETHUSDT,2020-01-07 00:00:00+00:00,2020-01-07 00:01:00+00:00,144.26,144.62,144.11,144.86,144.11,19057.54,144.38,140.81,141.69799338226886,138.50298534431712,0.9342857142857152,False,False,True,False,,False,False,True,unavailable,unavailable,unavailable,3.4197333739544558,0.7394029615212219,0.022772277227722793,0.021832826962481455,0.06848910232729977,0.25688073394496364,0.006460280143034954,0.935,0.802752293577981,0.9202110166805718,0.6799999999999878,0.3200000000000121,0.0,0.6799999999999878,0.2889908256880537,1.1363636363636422,0.0033273256619992253,0.0051989463468737895,-0.0037432413697490174,False,False,False,-0.0036739220851240706,0.006862609177873402,-0.007833079162622991,True,False,False,0.0015943435463747768,0.006862609177873402,-0.007833079162622991,True,False,False,-0.00713988631637319,0.006862609177873402,-0.007833079162622991,True,False,False,-0.008041037016497943,0.006862609177873402,-0.01525024261749608,True,False,False
ETHUSDT_2020-01-07T20:30:00+00:00,ETHUSDT,2020-01-07 20:30:00+00:00,2020-01-07 20:31:00+00:00,143.54,144.06,143.66,144.21,143.41,14483.194,144.02,138.7,142.3533562195581,140.7419899927238,0.904285714285714,False,False,True,True,,False,False,True,unavailable,unavailable,unavailable,1.7819215778578275,0.37672016030413147,0.019893805309734613,0.007271710250314589,0.01830776843146964,0.04423380726697383,0.0062771464270839515,0.82,0.8846761453396653,0.9622469281970982,0.5,0.18750000000000444,0.31249999999999556,0.8124999999999956,0.6745655608215003,2.500000000000089,0.008360039013515452,0.008778040964191325,0.0018113417862617442,True,False,False,-0.003344015605406092,0.010310714783335673,-0.00592169430124001,True,False,False,-0.010032046816218498,0.010310714783335673,-0.015466072175003509,True,False,False,0.004110352514978377,0.010310714783335673,-0.015466072175003509,True,False,False,0.010310714783335673,0.030653476382889844,-0.015466072175003509,True,False,False
