symbol,prototype,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,1,ETHUSDT_2024-01-01T15:30:00+00:00,2024-01-01 15:31:00+00:00,2024-01-02 14:45:00+00:00,2309.4618,2368.67617,2307.79,2032.326384,8.0,197.01664176476143,0.19701664176476144,1000.0,1197.0166417647615,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,2,ETHUSDT_2024-01-08T17:45:00+00:00,2024-01-08 17:46:00+00:00,2024-01-09 00:15:00+00:00,2280.7460579999997,2321.23566,2278.09,2007.0565310399998,8.0,160.34192987445797,0.13395129547912207,1197.0166417647615,1357.3585716392195,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,3,ETHUSDT_2024-01-10T00:15:00+00:00,2024-01-10 00:16:00+00:00,2024-01-11 16:00:00+00:00,2369.483802,2582.423412,2336.28,2085.1457457600004,8.0,964.5126851086861,0.7105806124198181,1357.3585716392195,2321.8712567479056,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,4,ETHUSDT_2024-01-12T11:15:00+00:00,2024-01-12 11:16:00+00:00,2024-01-12 16:45:00+00:00,2625.0749100000003,2621.495596,2619.96,2310.0659208,8.0,-43.88945052289388,-0.01890262020141762,2321.8712567479056,2277.9818062250115,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,5,ETHUSDT_2024-01-16T15:15:00+00:00,2024-01-16 15:16:00+00:00,2024-01-17 03:45:00+00:00,2533.046508,2571.08568,2532.39,2229.08092704,8.0,255.30990087750473,0.11207723440978443,2277.9818062250115,2533.2917071025163,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,6,ETHUSDT_2024-01-28T01:15:00+00:00,2024-01-28 01:16:00+00:00,2024-01-28 12:00:00+00:00,2273.744658,2274.125084,2272.68,2000.89529904,8.0,-16.877217249009384,-0.006662168909206634,2533.2917071025163,2516.414489853507,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,7,ETHUSDT_2024-02-06T16:15:00+00:00,2024-02-06 16:16:00+00:00,2024-02-07 03:15:00+00:00,2342.088324,2367.836338,2340.74,2061.03772512,8.0,201.07393415881774,0.07990493417104877,2516.414489853507,2717.4884240123247,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,8,ETHUSDT_2024-02-08T15:15:00+00:00,2024-02-08 15:16:00+00:00,2024-02-08 23:15:00+00:00,2434.626828,2417.46641,2412.0,2142.47160864,8.0,-174.8965886921847,-0.0643596444226809,2717.4884240123247,2542.59183532014,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,9,ETHUSDT_2024-02-09T08:45:00+00:00,2024-02-09 08:46:00+00:00,2024-02-10 07:45:00+00:00,2464.7128439999997,2493.561188,2461.1,2168.9473027199997,8.0,217.61928346209038,0.08558954702797972,2542.59183532014,2760.21111878223,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,10,ETHUSDT_2024-02-11T03:45:00+00:00,2024-02-11 03:46:00+00:00,2024-02-11 10:15:00+00:00,2519.5038,2516.736552,2513.5,2217.163344,8.0,-46.32255607236077,-0.016782251095632746,2760.21111878223,2713.8885627098693,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,11,ETHUSDT_2024-02-12T15:30:00+00:00,2024-02-12 15:31:00+00:00,2024-02-13 13:30:00+00:00,2530.7860560000004,2638.152264,2530.06,2227.0917292800004,8.0,898.9016260605697,0.33122274746719865,2713.8885627098693,3612.7901887704393,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,12,ETHUSDT_2024-02-14T08:45:00+00:00,2024-02-14 08:46:00+00:00,2024-02-15 05:45:00+00:00,2663.23254,2772.465396,2661.92,2343.6446352,8.0,1155.9377308059604,0.31995706099926247,3612.7901887704393,4768.7279195763995,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,13,ETHUSDT_2024-02-18T18:45:00+00:00,2024-02-18 18:46:00+00:00,2024-02-20 01:15:00+00:00,2815.993086,2916.626558,2814.9,2478.07391568,8.0,1324.5060812510312,0.2777483017669596,4768.7279195763995,6093.2340008274305,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,14,ETHUSDT_2024-02-20T13:30:00+00:00,2024-02-20 13:31:00+00:00,2024-02-20 14:40:00+00:00,2970.804042,2923.451377620171,2918.9200000000005,2614.30755696,8.0,-825.3345533724437,-0.1354509860051932,6093.2340008274305,5267.899447454987,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,15,ETHUSDT_2024-02-24T17:30:00+00:00,2024-02-24 17:31:00+00:00,2024-02-26 02:45:00+00:00,2982.966474,3095.1808400000004,2980.09,2625.01049712,8.0,1542.4228658881796,0.29279656555201533,5267.899447454987,6810.322313343167,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,16,ETHUSDT_2024-02-26T15:45:00+00:00,2024-02-26 15:46:00+00:00,2024-02-27 15:45:00+00:00,3120.624,3231.093652,3118.75,2746.14912,8.0,1873.228722809593,0.2750572787339973,6810.322313343167,8683.55103615276,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,17,ETHUSDT_2024-02-28T07:45:00+00:00,2024-02-28 07:46:00+00:00,2024-02-28 17:31:00+00:00,3285.667002,3249.983303885315,3152.94,2891.3869617600003,8.0,-823.5467319712004,-0.09483985624573149,8683.55103615276,7860.004304181559,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,18,ETHUSDT_2024-03-01T08:30:00+00:00,2024-03-01 08:31:00+00:00,2024-03-02 05:00:00+00:00,3401.610186,3425.8646900000003,3380.0,2993.4169636799998,8.0,385.2493517427788,0.04901388559518019,7860.004304181559,8245.253655924338,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,19,ETHUSDT_2024-03-03T04:15:00+00:00,2024-03-03 04:16:00+00:00,2024-03-03 06:10:00+00:00,3439.1176859999996,3413.9097674627997,3411.14,3026.4235636799995,8.0,-549.2063461988724,-0.06660878720259375,8245.253655924338,7696.047309725465,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,20,ETHUSDT_2024-03-04T00:15:00+00:00,2024-03-04 00:16:00+00:00,2024-03-04 00:49:00+00:00,3497.99946,3453.4314926794286,3420.22,3078.2395248,8.0,-845.6180967814583,-0.10987693588016981,7696.047309725465,6850.429212944007,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,21,ETHUSDT_2024-03-05T04:00:00+00:00,2024-03-05 04:01:00+00:00,2024-03-05 16:00:00+00:00,3700.549962,3704.738904,3645.91,3256.48396656,8.0,7.201842090213766,0.0010512979356980666,6850.429212944007,6857.631055034221,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,22,ETHUSDT_2024-03-06T06:00:00+00:00,2024-03-06 06:01:00+00:00,2024-03-07 03:30:00+00:00,3775.825014,3771.735502,3725.0,3322.72601232,8.0,-114.25011907772918,-0.016660289560759847,6857.631055034221,6743.380935956492,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,23,ETHUSDT_2024-03-11T09:45:00+00:00,2024-03-11 09:46:00+00:00,2024-03-12 03:15:00+00:00,4022.314302,4046.39056,4001.49,3539.6365857600003,8.0,268.8008818545719,0.03986144107939896,6743.380935956492,7012.181817811064,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,24,ETHUSDT_2024-03-21T00:30:00+00:00,2024-03-21 00:31:00+00:00,2024-03-21 04:30:00+00:00,3510.942048,3491.691522,3495.7,3089.62900224,8.0,-363.52649771488683,-0.05184213803348955,7012.181817811064,6648.655320096177,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,25,ETHUSDT_2024-03-21T08:45:00+00:00,2024-03-21 08:46:00+00:00,2024-03-21 15:00:00+00:00,3558.61158,3499.89988,3512.4799999999996,3131.5781904,8.0,-930.2923955350791,-0.1399218865690306,6648.655320096177,5718.362924561098,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,26,ETHUSDT_2024-03-25T04:45:00+00:00,2024-03-25 04:46:00+00:00,2024-03-26 13:30:00+00:00,3469.983858,3617.67632,3430.41,3053.58579504,8.0,1900.3989092241293,0.33233268582196374,5718.362924561098,7618.761833785227,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,27,ETHUSDT_2024-03-27T13:00:00+00:00,2024-03-27 13:01:00+00:00,2024-03-27 14:00:00+00:00,3587.247306,3519.2760040000003,3550.14,3156.7776292800004,8.0,-1215.2574255840402,-0.15950852016334316,7618.761833785227,6403.504408201187,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,28,ETHUSDT_2024-04-04T17:45:00+00:00,2024-04-04 17:46:00+00:00,2024-04-04 20:00:00+00:00,3386.6772,3304.5089660000003,3361.78,2980.275936,8.0,-1293.5113359800407,-0.20200053806840462,6403.504408201187,5109.993072221147,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,29,ETHUSDT_2024-04-06T22:45:00+00:00,2024-04-06 22:46:00+00:00,2024-04-07 18:00:00+00:00,3361.2521159999997,3376.964472,3345.51,2957.90186208,8.0,150.12003405786035,0.02937773729556312,5109.993072221147,5260.113106279007,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,30,ETHUSDT_2024-04-08T07:30:00+00:00,2024-04-08 07:31:00+00:00,2024-04-09 01:00:00+00:00,3442.668396,3679.104032,3440.96,3029.54818848,8.0,2846.5071451994327,0.5411494178331548,5260.113106279007,8106.62025147844,False,,fixed_8x
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_8x,base,31,ETHUSDT_2024-04-20T15:30:00+00:00,2024-04-20 15:31:00+00:00,2024-04-21 00:30:00+00:00,3064.372752,3132.17344,3063.76,2696.64802176,8.0,1369.331865095047,0.16891525970336602,8106.62025147844,9475.952116573488,False,,fixed_8x
