time,equity,symbol,prototype,leverage_mode
2024-01-02 00:16:00+00:00,1000.0,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-02 14:15:00+00:00,1020.3181246908177,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-03 12:00:00+00:00,890.5094165927127,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-15 21:45:00+00:00,925.7032726363484,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-21 23:15:00+00:00,920.0969483466746,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-27 07:15:00+00:00,907.454771740431,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-01-28 15:44:00+00:00,892.4988359626747,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-10 07:00:00+00:00,969.0700877125936,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-15 20:15:00+00:00,1117.2314008576159,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-20 15:15:00+00:00,1078.7815541606094,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-22 13:30:00+00:00,1225.0274697092832,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-27 02:15:00+00:00,1274.312904179024,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-02-29 12:00:00+00:00,1336.774584087768,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-02 07:15:00+00:00,1313.9810964279823,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-04 14:26:00+00:00,1294.2295545094926,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-08 02:45:00+00:00,1265.8508822600913,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-08 15:32:00+00:00,1230.0445060778768,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-09 14:45:00+00:00,1197.7718977358727,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-10 22:15:00+00:00,1310.4290407812705,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-14 13:00:00+00:00,1565.10492091152,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-16 11:15:00+00:00,1471.9674350466385,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-03-29 15:30:00+00:00,1569.657036517908,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-04-07 00:27:00+00:00,1545.4184067306178,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-04-21 00:30:00+00:00,1576.508491430547,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-04-21 13:45:00+00:00,1558.8466779658895,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-04-22 11:15:00+00:00,1644.0334158382757,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-04 17:15:00+00:00,1664.4668850150958,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-06 10:30:00+00:00,1605.7274590171785,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-09 10:15:00+00:00,1605.416721411657,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-13 01:30:00+00:00,1582.038226335293,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-18 01:00:00+00:00,1562.3842591605212,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-21 19:15:00+00:00,1667.4108821406808,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-05-27 19:45:00+00:00,1637.9876874321926,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-06-02 07:15:00+00:00,1644.4366973085941,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-06-04 08:45:00+00:00,1783.5250692948669,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-06-05 18:30:00+00:00,2164.4352111178086,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-06-26 06:30:00+00:00,2139.5259055428037,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-01 06:30:00+00:00,2174.225210847546,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-07 00:30:00+00:00,2196.5681547497898,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-10 21:00:00+00:00,2203.586291681382,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-16 04:30:00+00:00,2491.4257669195904,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-17 13:15:00+00:00,2442.3862667282256,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
2024-07-20 00:30:00+00:00,2531.640948541,BNBUSDT,P4_BREAKOUT_TOP20,baseline_fixed_2x
