window,initial_balance,final_balance,total_return_pct,total_trades,win_rate_pct,gross_profit,gross_loss,net_profit,profit_factor,average_trade,median_trade,geometric_mean_trade_return_pct,longest_losing_streak,total_fee,total_slippage_cost,gross_profit_before_cost,gross_loss_before_cost
train,1000.0,470.72734621336195,-52.92726537866381,198,26.262626262626267,2815.7702517590556,-3345.0429055456934,-529.2726537866379,0.8417740313856169,-2.6730942110436255,-13.605611126193123,-0.37982040382155136,21,318.44680388714494,127.37871821695585,2900.639537973683,-3111.465387873176
validation,470.72734621336195,579.3111745200579,23.06724459077405,66,34.84848484848485,709.5200502712202,-600.9362219645243,108.58382830669576,1.1806911022133493,1.6452095197984207,-9.187698538164769,0.3149809712758467,14,80.96753214831242,32.38702173685596,737.8685555633344,-548.3171951083264
test,579.3111745200579,563.5138502569145,-2.7269151637254407,65,33.84615384615385,748.1126183423288,-763.9099426054718,-15.797324263142894,0.9793204363733466,-0.24303575789450607,-10.77280927852259,-0.042526117313612666,14,81.92644749324378,32.770582953281945,774.5553338631331,-708.4262106330323
