symbol,mode,partial_tp_pos_pct,partial_tp_fraction,label,trades,partial_tp_trades,initial_balance,final_balance,total_return_pct,max_drawdown_pct,profit_factor,win_rate_pct,avg_trade_net,delta_return_vs_baseline,delta_pf_vs_baseline
BTCUSDT,B3,3.0,0.5,tp3pct_pos_close50pct,81,25,1000.0,811.8776021544957,-18.81223978455043,-34.478613582869045,0.8028499159314801,35.80246913580247,-2.322498738833387,2.008047758316291,-0.003666594054384853
BTCUSDT,B3,3.0,0.3,tp3pct_pos_close30pct,81,25,1000.0,804.5272401230038,-19.54727598769962,-37.419563441586554,0.8009075455005306,30.864197530864196,-2.4132439490987183,1.273011555167102,-0.005608964485334433
BTCUSDT,B3,2.0,0.5,tp2pct_pos_close50pct,81,34,1000.0,800.8750994118037,-19.912490058819632,-33.88418717226245,0.7660330862980126,39.50617283950617,-2.4583321060271146,0.9077974840470908,-0.040483423687852405
BTCUSDT,B3,3.0,0.2,tp3pct_pos_close20pct,81,25,1000.0,800.5068701996552,-19.949312980034485,-38.84898017985176,0.8018607959142777,30.864197530864196,-2.4628781456832693,0.8709745628322381,-0.004655714071587269
BTCUSDT,B3,2.0,0.3,tp2pct_pos_close30pct,81,34,1000.0,798.1471029407712,-20.185289705922884,-36.54637484934731,0.7814843513677558,33.33333333333333,-2.4920110748052937,0.6349978369438389,-0.025032158618109146
BTCUSDT,B3,2.0,0.2,tp2pct_pos_close20pct,81,34,1000.0,796.3276833196511,-20.36723166803489,-37.970134547646076,0.7896135413009322,29.629629629629626,-2.5144730454364064,0.45305587483183274,-0.016902968684932795
BTCUSDT,B3,,,baseline,81,0,1000.0,791.7971245713328,-20.820287542866723,-41.627676836323666,0.806516509985865,25.925925925925924,-2.5704058694897185,,
BTCUSDT,B3,5.0,0.2,tp5pct_pos_close20pct,81,13,1000.0,784.6421414441061,-21.535785855589396,-41.26412847539188,0.7953908525343153,25.925925925925924,-2.658738994517209,-0.7154983127226728,-0.011125657451549698
BTCUSDT,B3,5.0,0.3,tp5pct_pos_close30pct,81,13,1000.0,780.9405180974213,-21.905948190257874,-41.08173767945231,0.7902310359878408,27.160493827160494,-2.7044380481799837,-1.0856606473911512,-0.016285473998024158
BTCUSDT,B3,5.0,0.5,tp5pct_pos_close50pct,81,13,1000.0,773.2956248834085,-22.67043751165915,-40.71571561286633,0.7809992548234855,27.160493827160494,-2.798819445883845,-1.8501499687924259,-0.02551725516237946
ETHUSDT,B3,,,baseline,84,0,1000.0,2040.0613560454558,104.00613560454559,-24.68845705024465,1.5840892476462596,36.904761904761905,12.381682810064948,,
ETHUSDT,B3,5.0,0.2,tp5pct_pos_close20pct,84,31,1000.0,1907.5022827381079,90.75022827381079,-21.952716257662928,1.5582909150396667,38.095238095238095,10.803598604025094,-13.2559073307348,-0.025798332606592922
ETHUSDT,B3,5.0,0.3,tp5pct_pos_close30pct,84,31,1000.0,1839.3981446674875,83.93981446674874,-20.910831820067667,1.540337981846442,38.095238095238095,9.992835055565328,-20.066321137796848,-0.043751265799817585
ETHUSDT,B3,2.0,0.2,tp2pct_pos_close20pct,84,52,1000.0,1805.3148158126542,80.53148158126542,-20.816542934983275,1.549308323292076,39.285714285714285,9.587081140626836,-23.474654023280166,-0.03478092435418367
ETHUSDT,B3,3.0,0.2,tp3pct_pos_close20pct,84,38,1000.0,1776.0655215792901,77.60655215792902,-21.389124701466177,1.4958220570669252,40.476190476190474,9.238875256896309,-26.399583446616575,-0.08826719057933441
ETHUSDT,B3,5.0,0.5,tp5pct_pos_close50pct,84,31,1000.0,1700.2266676587099,70.022666765871,-19.50173897627222,1.475449686340177,42.857142857142854,8.336031757841784,-33.9834688386746,-0.10863956130608265
ETHUSDT,B3,2.0,0.3,tp2pct_pos_close30pct,84,52,1000.0,1692.0863838308328,69.20863838308328,-19.344725459268375,1.5210514145394676,42.857142857142854,8.239123617033723,-34.79749722146231,-0.06303783310679201
ETHUSDT,B3,3.0,0.3,tp3pct_pos_close30pct,84,38,1000.0,1651.8862021363511,65.18862021363512,-20.215120506519778,1.4427634029294476,41.66666666666667,7.760550025432751,-38.81751539091047,-0.14132584471681198
ETHUSDT,B3,2.0,0.5,tp2pct_pos_close50pct,84,52,1000.0,1474.813896696835,47.481389669683495,-17.04069026971694,1.431902540125738,50.0,5.652546389248035,-56.524745934862096,-0.15218670752052166
ETHUSDT,B3,3.0,0.5,tp3pct_pos_close50pct,84,38,1000.0,1419.114556215119,41.911455621511884,-19.133506850755477,1.3197601486354147,44.047619047619044,4.989459002560939,-62.09467998303371,-0.2643290990108449
