symbol,prototype,gate,leverage_mode,window_count,valid_window_count,positive_window_rate,pf_gt_1_window_rate,median_return,worst_return,median_pf,walk_forward_status
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_3x_v1,9,9,0.5555555555555556,0.5555555555555556,0.15351323756038182,-0.10581900864588878,1.4333961694955404,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,9,9,0.5555555555555556,0.5555555555555556,0.05474390708969579,-0.10246934789948536,1.1719667153713655,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,9,9,0.6666666666666666,0.6666666666666666,0.041587137618942505,-0.045476444269066274,1.3255916805111516,wf_pass
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_2x,9,9,0.5555555555555556,0.5555555555555556,0.07370795241440087,-0.09191013532319947,1.2861289073653266,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_3x,9,9,0.5555555555555556,0.5555555555555556,0.09643206249168235,-0.13894907147979763,1.2484213045443457,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_3x_v1,9,9,0.5555555555555556,0.5555555555555556,0.0448036344720637,-0.12887854107808527,1.1346159016632338,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,9,9,0.4444444444444444,0.4444444444444444,-0.08319084697394186,-0.16715540196168477,0.7963146354417812,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,9,9,0.5555555555555556,0.5555555555555556,0.09345802249520663,-0.09160931115538051,1.4512141506965726,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,9,9,0.5555555555555556,0.5555555555555556,0.18278336267034434,-0.1786954722241787,1.4201751630496156,wf_weak
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_3x,9,9,0.5555555555555556,0.5555555555555556,0.26636529837013123,-0.2609172318127698,1.3906539678879712,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_3x_v1,9,9,0.4444444444444444,0.4444444444444444,-0.04429462008220031,-0.15047799985289656,0.8727482441839004,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,9,9,0.3333333333333333,0.3333333333333333,-0.09626050170917277,-0.16452794683737393,0.6253219202275885,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,9,9,0.4444444444444444,0.4444444444444444,-0.00433874449282301,-0.09074489615233128,0.9807614628940166,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_2x,9,9,0.4444444444444444,0.4444444444444444,-0.02341624714687285,-0.1802757512427816,0.9457786053115206,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_3x,9,9,0.4444444444444444,0.4444444444444444,-0.05514391369892313,-0.2669460582133496,0.9108038601179101,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_3x_v1,9,9,0.4444444444444444,0.4444444444444444,-0.03672688535562296,-0.1894227780024481,0.8730334111921614,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,9,9,0.4444444444444444,0.4444444444444444,-0.09207030227599078,-0.21223373465621986,0.7557435112865668,wf_weak
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,9,9,0.6666666666666666,0.6666666666666666,0.03716681866455396,-0.16661182134867625,1.1221419129265908,wf_pass
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,9,9,0.6666666666666666,0.6666666666666666,0.05406245766822804,-0.3107934607959332,1.0883823300383164,wf_pass
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_3x,9,9,0.6666666666666666,0.6666666666666666,0.05137376854352871,-0.4349753088322498,1.0561449246826586,wf_pass
