symbol,prototype,gate,leverage_mode,trade_count,total_return,annualized_return,max_drawdown,profit_factor,win_rate,avg_win,avg_loss,payoff_ratio,final_equity,top1_profit_contribution,top3_profit_contribution,longest_drawdown_duration,liquidation_count,atr_stop_count,donchian20_exit_count,gate_status
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,488,0.5793197638310357,0.07296713267598642,-0.506761201690249,1.1007876274283426,0.3401639344262295,38.115934729639605,-17.850700004003535,2.135262747180279,1579.3197638310357,0.6009945335442185,1.4698832250408005,1987 days 18:34:00,0,215,273,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,488,0.6770706627082432,0.08294358349612141,-0.784653276900511,1.0528807245336078,0.3401639344262295,81.20965890235664,-39.763145077897384,2.0423348993965162,1677.0706627082432,1.4354378433365638,2.892864110771345,1987 days 18:34:00,0,215,273,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_3x,488,0.2659496965460013,0.0370113273199526,-0.9162487841862232,1.0137713306116731,0.3401639344262295,117.93847604416179,-59.974650083182766,1.966472099138306,1265.9496965460014,7.007600720869608,12.954919495210563,1987 days 18:34:00,0,215,273,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_3x_v1,488,0.6235628392391022,0.07754546015457997,-0.5067612016902485,1.0968059168491107,0.3401639344262295,42.5598432649811,-20.004258207291183,2.1275391881049015,1623.5628392391022,0.5739944235372696,1.5591354348987356,1987 days 18:34:00,0,215,273,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,488,1.13703896949849,0.12415894757811041,-0.5067612016902492,1.1343162007997905,0.3401639344262295,57.84595524406179,-26.29002981681915,2.200300100346581,2137.03896949849,0.45246033622563553,1.2535607342938975,1987 days 18:34:00,0,215,273,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,341,2.7289994210199446,0.2248662183803487,-0.2619175560145235,1.3534487212879205,0.3841642228739003,79.77145972025866,-36.766960963494974,2.169650621911934,3728.9994210199447,0.3128412653523057,0.5219008896454737,1297 days 19:41:00,0,131,210,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_2x,341,9.159183034606464,0.42944682046370763,-0.4599990870530739,1.251083263514944,0.3841642228739003,348.38054299341246,-173.7079433215742,2.005553323191895,10159.183034606463,0.39534234674946606,0.6785778342348799,1297 days 19:41:00,0,131,210,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_3x,341,20.170577908401068,0.600700127127386,-0.613327867412369,1.1826721989020312,0.3841642228739003,996.8710344146722,-525.8072742853379,1.8958867310643248,21170.57790840107,0.46616094912942807,0.8541619009932375,1327 days 18:41:00,0,131,210,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_3x_v1,341,9.509528448649506,0.43693526008287575,-0.27188957922543844,1.4358345123256542,0.3841642228739003,239.1500393724357,-103.90060337685512,2.3017194472395985,10509.528448649506,0.2108328237303189,0.5205528653291083,1297 days 19:41:00,0,131,210,usable
ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,341,13.538147858707235,0.5106206741894437,-0.29809799337350174,1.3646217944332135,0.3841642228739003,386.77432460104427,-176.80613649537887,2.1875616551982815,14538.147858707236,0.24771874133290187,0.6241158328114248,1297 days 19:41:00,0,131,210,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,488,1.5453183338550818,0.15485994111019008,-0.2131771775711756,1.2706377153318602,0.3463114754098361,42.930374396135676,-17.899419871761292,2.3984226697684226,2545.3183338550816,0.1920123040611175,0.4243899034938464,656 days 22:58:00,0,216,272,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,488,4.0121169017056415,0.28197913874616143,-0.38625291569044995,1.2112898524036835,0.3463114754098361,136.09943215898338,-59.525664994239975,2.286399188856657,5012.116901705642,0.2346150772296959,0.5447355078001931,658 days 07:43:00,0,216,272,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_3x,488,6.834201201525828,0.373328429352781,-0.5255071395133388,1.1595381417006059,0.3463114754098361,293.9148745674561,-134.28655987578134,2.1887140071153453,7834.201201525828,0.27621653051595707,0.7478352363337148,665 days 21:13:00,0,216,272,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_3x_v1,488,1.6652449535338731,0.16308316623408126,-0.23960783862147927,1.20532962710324,0.3463114754098361,57.842310821202894,-25.423528449057734,2.2751488227570036,2665.2449535338733,0.3887204199416947,0.8245468822278731,658 days 07:43:00,0,216,272,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,488,3.382570183347431,0.25573347650641454,-0.25073264256785077,1.2888844056362745,0.3463114754098361,89.29969635785473,-36.7055752386521,2.432864647325276,4382.57018334743,0.4319968037195024,0.8110866783564891,822 days 03:23:00,0,216,272,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_1x,349,1.3364342410104455,0.13971995937756887,-0.18251680718947827,1.3896532203616205,0.38968481375358166,35.04587068731441,-16.102367006874726,2.1764421760075376,2336.4342410104455,0.18051380104490222,0.4019556207334374,449 days 14:20:00,0,141,208,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_2x,349,3.521708236952903,0.2617965099444468,-0.347946479920202,1.3468736005351338,0.38968481375358166,100.54721759431004,-47.66532091959279,2.109441742014585,4521.708236952903,0.18770880102725035,0.4589899803190059,461 days 10:05:00,0,141,208,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,fixed_3x,349,6.382077107676378,0.36080488314610704,-0.4916325785847253,1.2940056706596945,0.38968481375358166,206.53973295496567,-101.9123313342674,2.0266412341949627,7382.077107676378,0.19855526742890223,0.5805789717081716,643 days 10:50:00,0,141,208,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_3x_v1,349,1.2503150860533423,0.13314260313523496,-0.1886734763150577,1.2741508900006588,0.38968481375358166,42.727921272293486,-21.41165355389,1.9955451438980907,2250.3150860533424,0.3359783883468074,0.7772535766464865,522 days 12:15:00,0,141,208,usable
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,349,1.3283509655908001,0.13911140142163303,-0.23708002494213964,1.271690338641614,0.38968481375358166,45.71735584626044,-22.954034880284613,1.991691486254881,2328.3509655908,0.5073164550591945,0.9856227948239301,1105 days 00:30:00,0,141,208,usable
