symbol,prototype,gate,leverage_mode,year,quarter,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2020,,89,0.5420588306137136,1.4617091962595081,-0.09863413426532452,0.3707865168539326,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2021,,93,-0.10122578173504874,0.9378694732091983,-0.5430413988968121,0.3010752688172043,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2022,,49,-0.43606033266488414,0.39125154448037874,-0.4248726394311102,0.24489795918367346,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2023,,75,-0.03382921506510872,0.9410669825628075,-0.2158699591942611,0.28,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2024,,82,0.15286974478549764,1.2474798132507663,-0.10573763268561687,0.4024390243902439,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2025,,76,0.4288922047720269,1.56815704026606,-0.1458932462754976,0.39473684210526316,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,2026,,24,0.026614313124839764,1.0944724824184433,-0.07998857245536228,0.375,partial_year
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2020,,89,1.1522884157347726,1.372200001528091,-0.19012081863011587,0.3707865168539326,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2021,,93,-0.46576341684691036,0.891945815994791,-1.0021533997398846,0.3010752688172043,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2022,,49,-0.8823376224001745,0.3817636134002256,-0.8767237159304556,0.24489795918367346,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2023,,75,-0.07365080562676726,0.9243783448395303,-0.33225294125349214,0.28,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2024,,82,0.2070477956742417,1.208904631600351,-0.1614447323979905,0.4024390243902439,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2025,,76,0.6991451799336869,1.4949105750501424,-0.23269768359457454,0.39473684210526316,valid
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_2x,2026,,24,0.040341116239394764,1.0680883588042405,-0.16112375926545663,0.375,partial_year
