window_id,train_start,train_end,test_start,test_end,symbol,prototype,gate,gate_status,leverage_mode,trade_count,total_return,profit_factor,max_drawdown,sample_status
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_1x,25,-0.16661182134867625,0.35240068055615487,-0.16661182134867625,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_2x,25,-0.3107934607959332,0.3372732562904421,-0.3107934607959332,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_3x,25,-0.43444204571710254,0.3221428539111737,-0.43444204571710254,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,adaptive_1x_3x_v1,25,-0.1894227780024481,0.3176546719681677,-0.1894227780024481,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,adaptive_1x_5x_v1,25,-0.21223373465621986,0.28765039812725396,-0.21223373465621986,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,fixed_1x,14,-0.0439222297400953,0.6883677981110393,-0.08346299944476365,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,fixed_2x,14,-0.09101786054070626,0.665423220365422,-0.1628120229003216,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,fixed_3x,14,-0.14061359242784377,0.6423193656669135,-0.2379416254616833,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,adaptive_1x_3x_v1,14,-0.07009136572463426,0.5737988938549797,-0.10854985131861394,valid
1,2020-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,adaptive_1x_5x_v1,14,-0.09626050170917277,0.48789337058706866,-0.13363670319246423,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_1x,24,-0.16322858403116458,0.4329194179139548,-0.1880657186706609,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_2x,24,-0.3081450074822273,0.4370674318106372,-0.3480324844299414,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,fixed_3x,24,-0.4349753088322498,0.44144574608425136,-0.4824692316841045,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,adaptive_1x_3x_v1,24,-0.16322858403116458,0.4329194179139548,-0.1880657186706609,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,usable,adaptive_1x_5x_v1,24,-0.16322858403116458,0.4329194179139548,-0.1880657186706609,valid
2,2020-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,ETHUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,usable,fixed_1x,15,-0.06985683405595589,0.6204449480076094,-0.09746543851552791,valid
