candidate,symbol,event_count,top1_positive_contribution,top3_positive_contribution,top5_positive_contribution,remove_top1_mean_fwd_ret,remove_top3_mean_fwd_ret,remove_top5_mean_fwd_ret
FB2_FAILED_BREAKOUT_FAST_REVERSION,BNBUSDT,901,0.018001173751726187,0.04403354392111075,0.06867256745442625,-0.0004908096487513245,-0.0005914620968672366,-0.0006872237702286479
FB2_FAILED_BREAKOUT_FAST_REVERSION,BTCUSDT,1001,0.016514197939562745,0.04015569358134958,0.06171364853812056,-0.0006194890301293939,-0.0007006412460993398,-0.0007750626450234155
FB2_FAILED_BREAKOUT_FAST_REVERSION,ETHUSDT,869,0.026384764277335868,0.05339242068858457,0.0795671226128882,-0.00015003804467036066,-0.00029319108340984977,-0.0004325923161771196
FB2_FAILED_BREAKOUT_FAST_REVERSION,SOLUSDT,947,0.03132205372473224,0.07615651299981321,0.10177769501493195,9.56173035129307e-05,-0.00020636561907543617,-0.0003798578816075008
IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,6245,0.004098167506950058,0.008731884672497794,0.0130301483515331,0.0005147249636391789,0.0004953286883321217,0.000477336547476294
IDLE_MR1_P4_IDLE_REVERSION,BTCUSDT,5952,0.00428233863961741,0.012651525749567712,0.01802379369373331,-4.701788061461927e-05,-7.668133058725617e-05,-9.574465949815794e-05
IDLE_MR1_P4_IDLE_REVERSION,ETHUSDT,5652,0.0043157689736812044,0.012846884974603236,0.02095088251927131,-0.0002288511999564832,-0.0002760188894270858,-0.0003208617484024283
IDLE_MR1_P4_IDLE_REVERSION,SOLUSDT,6218,0.005627235216613636,0.016567712617443404,0.026849918263604333,-0.00041239207015120763,-0.00048095363288391135,-0.0005454407926182987
MR2_DEVIATION_CONFIRMED_REVERSION,BNBUSDT,8689,0.00250807955239009,0.006640046505925064,0.01015962617310776,4.818257684099026e-06,-1.0841617215130962e-05,-2.418710374835931e-05
MR2_DEVIATION_CONFIRMED_REVERSION,BTCUSDT,8218,0.003288677220957294,0.008661106138406703,0.012857725830060042,7.100329870483035e-05,5.30749926165084e-05,3.90664778377834e-05
MR2_DEVIATION_CONFIRMED_REVERSION,ETHUSDT,7959,0.0035530400840746972,0.010296553388964475,0.016548333827593752,-0.00037931902586407594,-0.00041216241894087894,-0.0004426337842977672
MR2_DEVIATION_CONFIRMED_REVERSION,SOLUSDT,8110,0.004706159817487384,0.013209277624861347,0.021341132531609183,-0.00022345545534507028,-0.0002734648907706187,-0.00032131738802791573
RV1_LITE_ETHBTC_RELATIVE,ETHBTC,3740,0.006523977512876179,0.014848976821109576,0.02264123957942233,-0.0007510474362465384,-0.000778589728602446,-0.0008044238268589566
