candidate,event_count,original_mean,p05,p50,p95,positive_rate,bootstrap_status
FB2_FAILED_BREAKOUT_FAST_REVERSION,3717,-0.0001783528868975512,-0.0006018511870359461,-0.00016958969074061785,0.0002557088683604323,0.226,fragile_or_weak
IDLE_MR1_P4_IDLE_REVERSION,24051,-1.5383425198119466e-05,-0.00017314942114425954,-1.477459225829735e-05,0.0001508525798419932,0.446,fragile_or_weak
MR2_DEVIATION_CONFIRMED_REVERSION,32948,-0.00011131346982807416,-0.00023926045523341304,-0.00011257383780051587,1.589782314380066e-05,0.068,fragile_or_weak
RV1_LITE_ETHBTC_RELATIVE,3739,-0.0007295948901193458,-0.0010291773771243721,-0.0007307742704174684,-0.0004478774306172388,0.0,fragile_or_weak
