candidate,symbol,side,event_count,mean_fwd_ret_1,median_fwd_ret_1,plus_1atr_first_rate_1,minus_1atr_first_rate_1,ambiguous_rate_1,mean_fwd_ret_4,median_fwd_ret_4,plus_1atr_first_rate_4,minus_1atr_first_rate_4,ambiguous_rate_4,mean_fwd_ret_8,median_fwd_ret_8,plus_1atr_first_rate_8,minus_1atr_first_rate_8,ambiguous_rate_8,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,ambiguous_rate_16,mean_fwd_ret_32,median_fwd_ret_32,plus_1atr_first_rate_32,minus_1atr_first_rate_32,ambiguous_rate_32,mean_reversion_rate_32
FB2_FAILED_BREAKOUT_FAST_REVERSION,BNBUSDT,long,477,-1.0422033636621938e-05,9.087053977108184e-05,0.13417190775681342,0.18238993710691823,0.006289308176100629,-5.530879857254295e-07,0.00024579260887169774,0.350104821802935,0.4339622641509434,0.008385744234800839,-0.00018645819120203662,0.0002739019753166261,0.43186582809224316,0.5031446540880503,0.008385744234800839,0.0005530967402560664,0.00045810873400098373,0.45168067226890757,0.5252100840336135,0.008403361344537815,0.0013993465082292262,0.0010279382799950332,0.46008403361344535,0.5315126050420168,0.008403361344537815,0.6289308176100629
FB2_FAILED_BREAKOUT_FAST_REVERSION,BNBUSDT,short,424,-0.00010072923290513713,-4.652322122067343e-05,0.1179245283018868,0.14858490566037735,0.0047169811320754715,-0.0006701071212070912,-0.00026388281239586586,0.3466981132075472,0.41745283018867924,0.007075471698113208,-0.0009105108266939168,-0.0006786211395579667,0.4268867924528302,0.49528301886792453,0.007075471698113208,-0.0015159414762026824,-0.0010614684436683897,0.45990566037735847,0.5212264150943396,0.007075471698113208,-0.001836414096074315,-0.0009519239131055013,0.46462264150943394,0.5259433962264151,0.007075471698113208,0.6226415094339622
FB2_FAILED_BREAKOUT_FAST_REVERSION,BTCUSDT,long,528,-0.0003392607388193301,-5.549373115359968e-05,0.13636363636363635,0.20833333333333334,0.00946969696969697,-0.0006356452334113488,-0.00011217265500285123,0.3977272727272727,0.4185606060606061,0.013257575757575758,-0.000919583087408928,9.815120077671935e-05,0.4602272727272727,0.4772727272727273,0.013257575757575758,-0.0010095149857482682,-0.0002779394383312095,0.4734848484848485,0.5018939393939394,0.013257575757575758,-0.00016955313062318829,0.0005286178280200504,0.4772727272727273,0.509469696969697,0.013257575757575758,0.6363636363636364
FB2_FAILED_BREAKOUT_FAST_REVERSION,BTCUSDT,short,473,0.0002057072575450716,3.5458897228335395e-05,0.17547568710359407,0.15856236786469344,0.004228329809725159,4.556989966885803e-05,0.00010304747123612845,0.386892177589852,0.3974630021141649,0.012684989429175475,-0.0002795900775298634,-0.00015089275402879743,0.4587737843551797,0.46511627906976744,0.014799154334038054,-6.502541642852683e-05,-0.00015870657517980113,0.48414376321353064,0.4904862579281184,0.014799154334038054,-0.0005231688103384232,-7.245491457408271e-05,0.48414376321353064,0.5010570824524313,0.014799154334038054,0.6194503171247357
FB2_FAILED_BREAKOUT_FAST_REVERSION,ETHUSDT,long,453,0.00026023481157065636,0.00017351247078356558,0.141280353200883,0.16114790286975716,0.004415011037527594,9.46360079106197e-05,0.0005634126710361009,0.3730684326710817,0.3576158940397351,0.006622516556291391,0.0006880036368870631,0.0009555217125853943,0.47240618101545256,0.4392935982339956,0.006622516556291391,0.0002574221706962504,0.0010130078728660674,0.5099337748344371,0.47902869757174393,0.006622516556291391,0.0014082039479309835,0.0022054441912040534,0.5121412803532008,0.48123620309050774,0.006622516556291391,0.6423841059602649
FB2_FAILED_BREAKOUT_FAST_REVERSION,ETHUSDT,short,416,0.00017539238731796152,0.00017029517034400365,0.14423076923076922,0.14423076923076922,0.007211538461538462,-0.0005042108065117143,-4.164332258904668e-05,0.38461538461538464,0.375,0.014423076923076924,-0.0009584749926331864,-0.0005601707528233302,0.44711538461538464,0.4567307692307692,0.014423076923076924,-0.0003029497331706409,8.299847443210551e-05,0.46634615384615385,0.49038461538461536,0.016826923076923076,-0.00013965609246361906,-9.860136216433002e-05,0.4735576923076923,0.5024038461538461,0.016826923076923076,0.6850961538461539
FB2_FAILED_BREAKOUT_FAST_REVERSION,SOLUSDT,long,477,-4.8614697269547065e-06,0.0,0.11740041928721175,0.1719077568134172,0.0020964360587002098,0.0001479256272873109,0.0003033060357899853,0.3522012578616352,0.4129979035639413,0.008385744234800839,0.0008875391389620939,-7.251105793626422e-05,0.43186582809224316,0.4968553459119497,0.008385744234800839,0.001110923163503914,0.0003681885125181861,0.4570230607966457,0.5283018867924528,0.008385744234800839,0.0011758405146451562,-0.0016848253397732105,0.4591194968553459,0.5324947589098532,0.008385744234800839,0.5807127882599581
FB2_FAILED_BREAKOUT_FAST_REVERSION,SOLUSDT,short,470,0.0003757571292774079,0.0004117874665567345,0.14042553191489363,0.12978723404255318,0.00425531914893617,0.00017917223065342592,0.0002330746472041234,0.39787234042553193,0.3680851063829787,0.006382978723404255,8.352605749880402e-07,0.0004918276017779055,0.4702127659574468,0.44468085106382976,0.00851063829787234,-0.0005109938551535128,9.185855938609322e-05,0.5042553191489362,0.4702127659574468,0.00851063829787234,-4.063769255766428e-05,0.00039141675469483994,0.5127659574468085,0.4787234042553192,0.00851063829787234,0.6851063829787234
IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,long,4129,1.1188493011117217e-05,0.0002208610636669217,0.14797771857592637,0.19520465003632842,0.007265681763138775,8.068484231135505e-05,0.000489035599568588,0.3950108985226447,0.41244853475417775,0.010898522644708163,8.959290729761707e-05,0.0005940201966867509,0.4606442237829983,0.46960523129086945,0.010898522644708163,0.0006658241223025058,0.0011074750564499247,0.48957828405235093,0.4847309743092584,0.010906446921958314,0.001330285502460547,0.0016778671437341908,0.4975704567541302,0.489067055393586,0.010932944606413994,0.5335432308064907
IDLE_MR1_P4_IDLE_REVERSION,BNBUSDT,short,2116,7.833643453180242e-05,0.00025556825133099537,0.14130434782608695,0.15311909262759923,0.0033081285444234404,0.00022985050045254413,0.0003163748534480981,0.41257088846880907,0.3766540642722117,0.003780718336483932,0.00026770134489691703,0.0002786869167230033,0.500945179584121,0.44612476370510395,0.003780718336483932,0.00027086279664966103,0.00041366758259020475,0.5207939508506616,0.4664461247637051,0.004253308128544423,-0.0002755888077072229,-0.00014232181799100907,0.527882797731569,0.4673913043478261,0.004253308128544423,0.6129489603024575
IDLE_MR1_P4_IDLE_REVERSION,BTCUSDT,long,3857,-2.0159441544018577e-05,0.0002045842015532262,0.13611615245009073,0.1864143116411719,0.010370754472387866,-0.0001420190575184509,0.00023662754823883247,0.3655690951516723,0.4096448016593207,0.015815400570391495,-0.0003065021325266785,0.00023892387957880068,0.4383916990920882,0.4744487678339818,0.016601815823605707,-8.897863432316812e-05,0.0005552922556897322,0.4717176959003633,0.49532952776336275,0.016865594187856773,0.0006691788126920283,0.0006553754469380557,0.4779220779220779,0.5012987012987012,0.016883116883116882,0.49987036556909514
IDLE_MR1_P4_IDLE_REVERSION,BTCUSDT,short,2095,2.356769142113654e-05,0.00026854624170469243,0.1422434367541766,0.1727923627684964,0.008591885441527447,-3.505022366332778e-05,0.000261873337104257,0.3804295942720764,0.3861575178997613,0.012887828162291169,2.4000752901958912e-06,4.688517473405707e-05,0.45202863961813844,0.4529832935560859,0.012887828162291169,7.325182849448347e-05,0.00016731079591103537,0.4797136038186158,0.4892601431980907,0.012887828162291169,0.0006650139705506667,0.0005253513287011291,0.48448687350835323,0.49689737470167067,0.013842482100238664,0.5761336515513127
IDLE_MR1_P4_IDLE_REVERSION,ETHUSDT,long,3705,-0.00011448205899141401,0.0004074467393422321,0.10634278002699055,0.19973009446693657,0.006207827260458839,-0.00047190943977652543,0.000404171893781502,0.3395411605937922,0.41241565452091766,0.010256410256410256,-0.000613874437394707,0.0003777374007840617,0.4183094788009722,0.4788009721847151,0.011072103699702943,-0.0009434938191529463,0.00038622371479613005,0.4478378378378378,0.5118918918918919,0.011621621621621621,-0.000573577371043363,0.0005434781041014913,0.45670995670995673,0.5257034632034632,0.011634199134199134,0.4777327935222672
IDLE_MR1_P4_IDLE_REVERSION,ETHUSDT,short,1947,5.950847010355791e-05,0.00045699102036189654,0.1258346173600411,0.17051874678993323,0.008731381612737545,0.00028058447747676023,0.0006002212051182676,0.38777606574216744,0.3554185927067283,0.01386748844375963,0.0004403019282797721,0.0008819642730726329,0.480225988700565,0.41345659989727784,0.01386748844375963,0.0011983953619045357,0.0009669211195928451,0.5254237288135594,0.44889573703133023,0.01386748844375963,0.0017186161555004294,0.0012890289315382608,0.5305598356445814,0.45403184386235235,0.01386748844375963,0.591165896250642
IDLE_MR1_P4_IDLE_REVERSION,SOLUSDT,long,4054,-5.627188628198413e-05,0.0003383722746628237,0.1082881105081401,0.1763690182535767,0.00246669955599408,-0.0003529908451472695,0.0001923769473826109,0.3418845584607795,0.4144055254070054,0.003946719289590528,-0.0004607285911126456,0.00015743001255419387,0.4177777777777778,0.497283950617284,0.004691358024691358,-0.00033354178675520734,0.00035988483685223116,0.4487527784638182,0.5228451469498642,0.005186465794023216,0.00011324377321965966,0.00022141038414691394,0.45616201531242284,0.5300074092368486,0.005186465794023216,0.47779970399605326
IDLE_MR1_P4_IDLE_REVERSION,SOLUSDT,short,2164,-2.4334446648431793e-05,0.00033398083302316195,0.11691312384473197,0.1668207024029575,0.005083179297597043,-0.0006018272371147239,0.00013274410610769616,0.3706099815157117,0.39695009242144175,0.006469500924214418,-0.0007819502269487953,-0.00011643979106401581,0.44824399260628467,0.4671903881700554,0.006931608133086876,-0.0004587336571051952,9.392601900926056e-05,0.4833641404805915,0.4912199630314233,0.007855822550831794,0.00044776419540250984,-0.0008166538896611231,0.49168207024029575,0.4986136783733826,0.007855822550831794,0.539279112754159
MR2_DEVIATION_CONFIRMED_REVERSION,BNBUSDT,long,4487,-3.0230421633703507e-05,6.131207847959175e-05,0.09248941386226878,0.13349676844216626,0.002674392689993314,1.816820805213989e-05,0.0003395470442431048,0.32627590817918434,0.368397593046579,0.0042344550924894135,6.734586890846387e-05,0.0005455698255649732,0.43325161577891685,0.46222420325384445,0.004457321149988857,0.0004136523424511271,0.0009274617190813128,0.4819277108433735,0.49152164212405175,0.004462293618920125,0.0009412690105854386,0.001447771283318855,0.49508489722966936,0.4984361036639857,0.004468275245755138,0.7138399821707154
MR2_DEVIATION_CONFIRMED_REVERSION,BNBUSDT,short,4202,-4.737919856101608e-05,1.4958237512296968e-05,0.12541646834840553,0.12446454069490719,0.0019038553069966682,-0.0001685132896508838,-5.012368863399619e-05,0.3698238933841028,0.3695859114707282,0.003093764873869586,-0.00018448820363676258,-0.00017818079800968611,0.4621608757734412,0.44907187053783915,0.0038077106139933364,-0.00041162070263140994,-0.00033701030888266814,0.4959543074726321,0.4821513564969062,0.0038077106139933364,-0.0002921328407437714,-0.0005490509897455587,0.504521656354117,0.4890528319847692,0.0038077106139933364,0.729176582579724
