candidate,event_count,positive_year_rate,positive_quarter_rate,positive_symbol_count,worst_year_mean
FB2_FAILED_BREAKOUT_FAST_REVERSION,3718,0.6666666666666666,0.2857142857142857,1,-0.0006719411311154321
IDLE_MR1_P4_IDLE_REVERSION,24067,0.3333333333333333,0.5714285714285714,1,-0.0002137099134630794
MR2_DEVIATION_CONFIRMED_REVERSION,32976,0.3333333333333333,0.42857142857142855,2,-0.00016735920444378323
RV1_LITE_ETHBTC_RELATIVE,3740,0.6666666666666666,0.5714285714285714,0,-0.0015143078234416845
