candidate,horizon,event_count,observed_mean,random_mean,random_p05,random_p50,random_p95,percentile_vs_random,matched_event_count,fallback_match_rate,random_runs,pool_source
FB2_FAILED_BREAKOUT_FAST_REVERSION,16,3718,-0.0001783528868975512,-0.00017841089210581887,-0.00048230593256818623,-0.00018763677766060912,0.0001394265707820402,0.5209580838323353,3718,0.0,500,event_table_fallback
IDLE_MR1_P4_IDLE_REVERSION,16,24067,-1.5383425198119486e-05,-0.00038756373804521273,-0.0005226800291279273,-0.0003881670132952116,-0.00025595396726298494,1.0,24067,0.00012465201313001205,500,event_table_fallback
MR2_DEVIATION_CONFIRMED_REVERSION,16,32976,-0.00011131346982807415,0.0001652999918722591,5.832364892675618e-05,0.00016376405795332118,0.00027584858042129114,0.001996007984031936,32976,9.097525473071325e-05,500,event_table_fallback
RV1_LITE_ETHBTC_RELATIVE,16,3740,-0.0007295948901193458,-0.0007192479390187409,-0.0009960238479884676,-0.000721461489134381,-0.00043539060557351366,0.47305389221556887,3740,0.0,500,event_table_fallback
