candidate,event_count,mean_fwd_16,positive_symbol_count,percentile_vs_random,bootstrap_positive_rate,positive_year_rate,top1_positive_contribution,remove_top3_mean_fwd_ret,decision
FB2_FAILED_BREAKOUT_FAST_REVERSION,3718,-0.0001783528868975512,1,0.5209580838323353,0.226,0.6666666666666666,0.023055547423339262,-0.00044791501136296554,event_research_only
MR2_DEVIATION_CONFIRMED_REVERSION,32976,-0.00011131346982807415,2,0.001996007984031936,0.068,0.3333333333333333,0.0035139891687273666,-0.00016084848357753005,event_research_only
IDLE_MR1_P4_IDLE_REVERSION,24067,-1.5383425198119486e-05,1,1.0,0.446,0.3333333333333333,0.0045808775842155775,-8.45812911415329e-05,event_research_only
RV1_LITE_ETHBTC_RELATIVE,3740,-0.0007295948901193458,0,0.47305389221556887,0.0,0.6666666666666666,0.006523977512876179,-0.000778589728602446,event_research_only
