prototype,sizing_mode,event_id,signal_time,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,quantity,stop_loss,atr,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,trade_return,equity_before,equity_after,mae_atr,mfe_atr,exit_reason
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-01T15:30:00+00:00,2024-01-01 15:30:00+00:00,2024-01-01 15:31:00+00:00,2024-01-02 14:45:00+00:00,2309.0,2309.4618,2369.15,2368.67617,0.8660026331676064,2291.6353714285715,5.942142857142861,51.27980034136104,1.0,1.0256399001706804,2.02563990017068,49.25416044119036,0.04925416044119036,1000.0,1049.2541604411904,-0.2813463156629336,21.040927996153293,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-08T17:45:00+00:00,2024-01-08 17:45:00+00:00,2024-01-08 17:46:00+00:00,2024-01-09 00:15:00+00:00,2280.29,2280.7460579999997,2321.7,2321.23566,0.920097313561763,2245.8153437142855,11.643571428571347,37.25437402738508,1.0492541604411905,1.067881347454883,2.1171355078960734,35.137238519489,0.03348782386978051,1049.2541604411904,1084.3913989606795,-0.22811368627688222,6.77489226427833,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-10T00:15:00+00:00,2024-01-10 00:15:00+00:00,2024-01-10 00:16:00+00:00,2024-01-11 16:00:00+00:00,2369.01,2369.483802,2582.94,2582.423412,0.9152975834191243,2256.0988020000004,37.79499999999997,194.9031104472107,1.0843913989606795,1.1818429541842848,2.2662343531449642,192.63687609406574,0.17764515310495455,1084.3913989606795,1277.028275054745,-0.8785236671517371,8.530657441460516,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-12T11:15:00+00:00,2024-01-12 11:15:00+00:00,2024-01-12 11:16:00+00:00,2024-01-12 16:45:00+00:00,2624.55,2625.0749100000003,2622.02,2621.495596,0.9729461587477097,2581.7934814285722,14.427142857142728,-3.482479807251966,1.277028275054745,1.275287035151119,2.5523153102058638,-6.03479511745783,-0.004725655050354404,1277.028275054745,1270.9934799372872,-0.35453381522925986,6.571993563719198,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-16T15:15:00+00:00,2024-01-16 15:15:00+00:00,2024-01-16 15:16:00+00:00,2024-01-17 03:45:00+00:00,2532.54,2533.046508,2571.6,2571.08568,1.0035295253546819,2487.9350794285715,15.037142857142824,38.17343222204534,1.2709934799372873,1.2900801960483097,2.5610736759855968,35.612358546059745,0.028019308602446107,1270.9934799372872,1306.605838483347,-0.04365909177274899,5.3702683260498185,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-01-28T01:15:00+00:00,2024-01-28 01:15:00+00:00,2024-01-28 01:16:00+00:00,2024-01-28 12:00:00+00:00,2273.29,2273.744658,2274.58,2274.125084,1.1492986548741544,2257.122515142857,5.54071428571433,0.4372230900788283,1.306605838483347,1.3068244500283865,2.6134302885117338,-2.1762071984329054,-0.001665542227301659,1306.605838483347,1304.4296312849142,-0.19215175970097237,6.182477607322362,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-02-06T16:15:00+00:00,2024-02-06 16:15:00+00:00,2024-02-06 16:16:00+00:00,2024-02-07 03:15:00+00:00,2341.62,2342.088324,2368.31,2367.836338,1.1139030222883382,2310.9204668571424,10.389285714285766,28.68079061252271,1.3044296312849142,1.3187700265911755,2.6231996578760897,26.05759095464662,0.019976233542762192,1304.4296312849142,1330.4872222395609,-0.12978024063251306,4.804148944654513,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-02-08T15:15:00+00:00,2024-02-08 15:15:00+00:00,2024-02-08 15:16:00+00:00,2024-02-08 23:15:00+00:00,2434.14,2434.626828,2417.95,2417.46641,1.0929701479815952,2404.624685142857,10.000714285714334,-18.75582460088596,1.330487222239561,1.3211093099391178,2.6515965321786785,-21.407421133064638,-0.016089911105670224,1330.4872222395609,1309.0798011064962,-2.2625211913434486,2.865112549103665,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-02-09T08:45:00+00:00,2024-02-09 08:45:00+00:00,2024-02-09 08:46:00+00:00,2024-02-10 07:45:00+00:00,2464.22,2464.7128439999997,2494.06,2493.561188,1.0622574587488103,2446.4085582857138,6.101428571428609,30.64436858655197,1.3090798011064964,1.3244019853997722,2.6334817865062687,28.010886800045704,0.021397386756994933,1309.0798011064962,1337.090687906542,-0.5921308358697692,10.480685834699063,donchian20_exit
P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x,ETHUSDT_2024-02-11T03:45:00+00:00,2024-02-11 03:45:00+00:00,2024-02-11 03:46:00+00:00,2024-02-11 10:15:00+00:00,2519.0,2519.5038,2517.24,2516.736552,1.0613920787946753,2498.7930857142856,6.9035714285714675,-2.937135107260523,1.3370906879065418,1.3356221203529117,2.672712808259454,-5.6098479155199765,-0.004195562773908187,1337.090687906542,1331.4808399910219,-0.8696658044490146,2.853045007759887,donchian20_exit
